Binomial name,Search count
Mannheimia haemolytica,203000
Alcaligenes faecalis,201000
Vibrio anguillarum,200000
Pediococcus pentosaceus,193000
Clostridium acetobutylicum,191000
Thermus aquaticus,191000
Treponema denticola,186000
Mycobacterium marinum,186000
Geobacillus stearothermophilus,185000
Tannerella forsythia,184000
Burkholderia cenocepacia,181000
Lactobacillus crispatus,178000
Enterococcus hirae,176000
Xanthomonas axonopodis,176000
Rhodopseudomonas palustris,173000
Cronobacter sakazakii,171000
Myxococcus xanthus,170000
Pantoea agglomerans,165000
Rickettsia rickettsii,164000
Acinetobacter lwoffii,157000
Streptococcus equi,155000
Paenibacillus polymyxa,155000
Streptomyces avermitilis,154000
Mycobacterium ulcerans,151000
Fusobacterium necrophorum,148000
Lactobacillus johnsonii,146000
Bifidobacterium adolescentis,144000
Staphylococcus hominis,139000
Providencia rettgeri,137000
Shewanella putrefaciens,136000
Streptococcus gordonii,135000
Burkholderia mallei,135000
Streptomyces viridochromogenes,134000
Streptococcus dysgalactiae,134000
Mycobacterium kansasii,132000
Actinomyces naeslundii,131000
Streptomyces hygroscopicus,131000
Rhodococcus erythropolis,130000
Achromobacter xylosoxidans,130000
Streptococcus uberis,129000
Citrobacter koseri,128000
Clostridium sporogenes,126000
Actinomyces viscosus,126000
Shigella boydii,125000
Providencia stuartii,124000
Pectobacterium carotovorum,120000
Erysipelothrix rhusiopathiae,119000
Rickettsia prowazekii,118000
Desulfovibrio vulgaris,118000
Bordetella parapertussis,116000
Nocardia asteroides,116000
Halobacterium salinarum,111000
Aeromonas veronii,109000
Streptococcus iniae,108000
Pseudomonas chlororaphis,106000
Staphylococcus pseudintermedius,104000
Prevotella nigrescens,104000
Desulfovibrio desulfuricans,104000
Staphylococcus xylosus,102000
Haloferax volcanii,98600
Lacticaseibacillus paracasei,97300
Propionibacterium freudenreichii,96300
Mycobacterium intracellulare,96000
Actinomyces oris,94400
Plesiomonas shigelloides,93700
Staphylococcus lugdunensis,89900
Nitrosomonas europaea,89900
Mycoplasma mycoides,89300
Bacteroides ovatus,89200
Flavobacterium columnare,89000
Pseudomonas alcaligenes,88200
Photorhabdus luminescens,87200
Corynebacterium pseudotuberculosis,86200
Photobacterium phosphoreum,85200
Bacillus mycoides,83300
Streptomyces venezuelae,82400
Corynebacterium pseudodiphtheriticum,82200
Rickettsia conorii,82000
Methanosarcina barkeri,81800
Bartonella quintana,80900
Streptomyces clavuligerus,78700
Gluconobacter oxydans,78000
Clostridium pasteurianum,77700
Clostridium septicum,77200
Corynebacterium minutissimum,76200
Staphylococcus warneri,75700
Aeromonas caviae,74600
Enterococcus durans,74500
Histophilus somni,74300
Streptococcus intermedius,74000
Limosilactobacillus fermentum,73800
Staphylococcus capitis,71700
Bacteroides uniformis,71000
Weissella cibaria,69600
Bacillus atrophaeus,69200
Brevundimonas diminuta,67400
Corynebacterium jeikeium,67300
Lysinibacillus sphaericus,66800
Streptococcus canis,66700
Clostridium novyi,66400
Mesorhizobium loti,66000
Parabacteroides distasonis,66000
Bartonella bacilliformis,65500
Comamonas testosteroni,64600
Herbaspirillum seropedicae,62800
Pseudomonas savastanoi,62300
Pseudomonas mendocina,62000
Prevotella melaninogenica,61200
Rhodococcus rhodochrous,60900
Flavobacterium psychrophilum,60800
Burkholderia multivorans,60400
Eggerthella lenta,59900
Saccharopolyspora erythraea,59700
Staphylococcus carnosus,59300
Bdellovibrio bacteriovorus,59300
Burkholderia gladioli,58300
Vibrio splendidus,58300
Aliivibrio fischeri,58100
Ralstonia pickettii,57900
Enterococcus gallinarum,57600
Streptococcus gallolyticus,57500
Rhodococcus opacus,57000
Ruegeria pomeroyi,56800
Azospirillum lipoferum,56400
Klebsiella variicola,56200
Bacillus safensis,56000
Helicobacter hepaticus,55600
Neisseria sicca,55200
Aeromonas sobria,55000
Pantoea ananatis,54700
Streptococcus constellatus,54500
Pseudomonas fragi,54300
Sinorhizobium fredii,54200
Mycolicibacterium smegmatis,54000
Brachyspira hyodysenteriae,53900
Enterococcus casseliflavus,53400
Alicyclobacillus acidoterrestris,52900
Nocardia farcinica,52800
Burkholderia glumae,51800
Brevibacterium linens,51700
Campylobacter rectus,51000
Rhodococcus jostii,50300
Leuconostoc citreum,50100
Listeria ivanovii,50000
Bacillus mojavensis,49900
Levilactobacillus brevis,49800
Trueperella pyogenes,49500
Arthrobacter globiformis,49100
Staphylococcus simulans,48600
Delftia acidovorans,48400
Acetobacter pasteurianus,48400
Weissella confusa,48200
Lactobacillus jensenii,47800
Rhodococcus ruber,47000
Pseudomonas oleovorans,47000
Moraxella osloensis,46900
Corynebacterium striatum,46900
Serratia plymuthica,46900
Dichelobacter nodosus,46900
Nocardia brasiliensis,46700
Thiobacillus denitrificans,46400
Ideonella sakaiensis,46300
Pectobacterium atrosepticum,46100
Bacillus tequilensis,45500
Corynebacterium xerosis,45000
Renibacterium salmoninarum,44900
Vibrio mimicus,44700
Kocuria rhizophila,43700
Dickeya dadantii,43000
Raoultella ornithinolytica,42500
Acinetobacter junii,42200
Agrobacterium fabrum,42000
Bacillus spizizenii,41500
Staphylococcus hyicus,41100
Amycolatopsis mediterranei,41000
Streptomyces peucetius,40600
Sorangium cellulosum,40500
Brevibacillus brevis,40400
[Clostridium] leptum,39600
Finegoldia magna,39300
Clostridium ljungdahlii,39200
Janthinobacterium lividum,39000
Rickettsia parkeri,38600
Pantoea stewartii,38500
Corynebacterium ulcerans,38200
Stigmatella aurantiaca,37900
Oxalobacter formigenes,37200
Bilophila wadsworthia,37000
Clostridium kluyveri,36900
Carnobacterium maltaromaticum,36900
Nocardia africana,36700
Lysinibacillus fusiformis,36400
Serratia proteamaculans,35300
Salmonella bongori,35300
Campylobacter concisus,35100
Enterococcus mundtii,34700
Elizabethkingia meningoseptica,34500
Bradyrhizobium elkanii,34400
Burkholderia vietnamiensis,34100
Corynebacterium urealyticum,33800
Neisseria lactamica,33500
Xanthomonas albilineans,33400
Avibacterium paragallinarum,33200
Burkholderia ambifaria,33100
Geobacillus thermodenitrificans,33000
Rothia mucilaginosa,32700
Streptomyces noursei,32600
Citrobacter amalonaticus,32500
Elizabethkingia anophelis,32300
Acinetobacter pittii,32200
Rhizobium phaseoli,32100
Xenorhabdus nematophila,32100
Pseudomonas plecoglossicida,32000
Aerococcus urinae,31700
Leuconostoc carnosum,31600
Proteus penneri,31500
Halomonas elongata,31400
Ligilactobacillus salivarius,31300
Lactobacillus kefiranofaciens,31200
Chitinophaga pinensis,31200
Leclercia adecarboxylata,31000
Streptococcus parasanguinis,30900
Porphyromonas endodontalis,30900
Alteromonas macleodii,30800
Pseudomonas viridiflava,30700
Klebsiella granulomatis,30700
Caulobacter vibrioides,30600
Enterobacter ludwigii,30600
Rickettsia bellii,30500
Streptomyces lydicus,30400
Bifidobacterium pseudocatenulatum,30400
Streptomyces albidoflavus,30200
Streptomyces ambofaciens,30200
Citrobacter braakii,30000
Shewanella baltica,30000
Eubacterium limosum,30000
Streptomyces rochei,29900
Paenibacillus mucilaginosus,29700
Leptospira borgpetersenii,29700
Acinetobacter radioresistens,29400
Raoultella planticola,29100
Sphingobium yanoikuyae,29000
Bacteroides caccae,28900
Xanthomonas euvesicatoria,28400
Thermotoga neapolitana,28400
Staphylococcus schleiferi,27900
Bifidobacterium dentium,27700
Leuconostoc pseudomesenteroides,27200
Rickettsia akari,27200
Kocuria rosea,27100
Staphylococcus equorum,27100
Pseudomonas tolaasii,26900
Pseudomonas koreensis,26600
Legionella longbeachae,26600
Bordetella avium,26500
Mycobacteroides abscessus,26400
Priestia megaterium,26200
Microbacterium testaceum,26100
Komagataeibacter xylinus,26000
Serratia fonticola,25700
Amycolatopsis orientalis,25500
Pseudoalteromonas piscicida,25400
Pseudomonas luteola,25100
Methylomonas methanica,25000
Pantoea dispersa,24700
Filifactor alocis,24400
Pectobacterium parmentieri,24300
Salinispora tropica,24300
Paenarthrobacter aurescens,24300
Mesorhizobium ciceri,24200
Dickeya solani,24100
Neisseria subflava,24000
Xanthomonas fragariae,24000
Staphylococcus chromogenes,23900
Bacillus toyonensis,23800
Mycobacterium scrofulaceum,23800
Pandoraea pnomenusa,23700
Pseudomonas veronii,23600
Streptomyces scabiei,23500
Paenibacillus alvei,23500
Staphylococcus caprae,23400
Prevotella oris,23200
Streptomyces kanamyceticus,23000
Bifidobacterium thermophilum,23000
Capnocytophaga ochracea,22700
Neisseria mucosa,22700
Pseudomonas oryzihabitans,22600
Pseudomonas marginalis,22500
Arthrobacter psychrolactophilus,22400
Mycobacterium simiae,22300
Streptomyces nodosus,22300
Pseudomonas brassicacearum,22200
Bacillus vallismortis,22100
Nitrobacter winogradskyi,22000
Deinococcus geothermalis,21800
Edwardsiella piscicida,21700
[Clostridium] innocuum,21600
Pseudomonas monteilii,21500
Hydrogenovibrio crunogenus,21500
Staphylococcus pasteuri,21000
Serratia rubidaea,21000
Acinetobacter nosocomialis,20800
Stenotrophomonas rhizophila,20700
Listeria welshimeri,20700
Xanthomonas perforans,20600
Priestia flexa,20600
Rickettsia sibirica,20500
Novosphingobium aromaticivorans,20500
Helicobacter heilmannii,20300
Lactiplantibacillus pentosus,20000
Corynebacterium amycolatum,20000
Xanthomonas phaseoli,19900
Pseudomonas nitroreducens,19900
Cellvibrio japonicus,19900
Latilactobacillus sakei,19800
Streptomyces alboniger,19800
Bartonella vinsonii,19700
Geobacillus thermoleovorans,19700
Lentilactobacillus buchneri,19600
Raoultella terrigena,19500
Kocuria flava,19400
Streptococcus parauberis,19400
Dickeya zeae,19200
Glaesserella parasuis,19200
Campylobacter upsaliensis,19100
Pseudomonas citronellolis,19100
Comamonas thiooxydans,19100
Listeria seeligeri,19000
Streptomyces tendae,18900
Actinomadura madurae,18800
Brevibacterium casei,18800
Brevibacillus reuszeri,18800
Bacteroides xylanisolvens,18800
Borreliella burgdorferi,18700
Photobacterium profundum,18700
Photobacterium kishitanii,18400
Clostridium tertium,18400
Pseudomonas paraeruginosa,18400
Fusobacterium varium,18100
Ensifer adhaerens,18000
Rickettsia massiliae,18000
Planococcus rifietoensis,17900
Rubrivivax gelatinosus,17900
Burkholderia contaminans,17800
Bacillus paramycoides,17800
Alteromonas naphthalenivorans,17700
Bacillus halotolerans,17700
Streptomyces platensis,17700
Streptomyces parvulus,17500
Caulobacter flavus,17500
Bartonella apis,17500
Vibrio furnissii,17300
Capnocytophaga gingivalis,17300
Macrococcus caseolyticus,17200
Nitrosomonas eutropha,17200
Prevotella denticola,17100
Sagittula stellata,17100
Nitratireductor indicus,17100
Weissella paramesenteroides,17000
Delftia tsuruhatensis,17000
Xenorhabdus khoisanae,16900
Fusobacterium ulcerans,16900
Celeribacter baekdonensis,16900
Bacillus sonorensis,16800
Proteus hauseri,16800
Chryseobacterium joostei,16700
Streptococcus infantarius,16700
Nocardia nova,16600
Burkholderia pyrrocinia,16500
Shewanella loihica,16500
Helicobacter mustelae,16500
Mycobacterium malmoense,16400
Achromobacter denitrificans,16400
Anaeromyxobacter dehalogenans,16400
Staphylococcus arlettae,16400
Erwinia tracheiphila,16200
Enterobacter cancerogenus,16100
Streptomyces tsukubensis,16100
Campylobacter gracilis,16000
Actinomadura darangshiensis,15900
Shewanella frigidimarina,15900
Kribbella pittospori,15900
Xenorhabdus bovienii,15900
Nocardia cyriacigeorgica,15800
Gordonia lacunae,15700
Enterobacter kobei,15700
Helicobacter bilis,15700
Klebsiella michiganensis,15500
Brucella ceti,15300
Streptomyces glaucescens,15300
Corynebacterium efficiens,15300
Mycobacterium szulgai,15100
Pseudomonas fulva,15100
Leptospira kirschneri,15100
Staphylococcus auricularis,15000
Mycobacterium genavense,15000
Brevibacillus borstelensis,15000
Dickeya chrysanthemi,15000
Streptococcus cristatus,15000
Enterobacter bugandensis,14900
Clostridium carboxidivorans,14800
Corynebacterium renale,14800
Streptomyces violaceoruber,14700
Parabacteroides merdae,14700
Knoellia sinensis,14600
Clostridium haemolyticum,14500
Pseudomonas simiae,14400
Neisseria flavescens,14400
Corynebacterium tuberculostearicum,14400
Aeromonas media,14300
Serratia symbiotica,14300
[Mycoplasma] mobile,14200
Rhodococcus pyridinivorans,14100
Enterococcus raffinosus,14100
Fusobacterium mortiferum,14100
Kocuria varians,14000
Rickettsia aeschlimannii,14000
Bacillus smithii,14000
Gordonia terrae,13900
Corynebacterium kutscheri,13900
Aliivibrio salmonicida,13900
Xanthomonas hortorum,13800
Clostridium drakei,13800
Myxococcus fulvus,13800
Pseudomonas synxantha,13800
Microbacterium oxydans,13700
Streptomyces violaceusniger,13700
Staphylococcus gallinarum,13600
Microbacterium paraoxydans,13600
Serratia entomophila,13600
Mycoplasmoides gallisepticum,13600
Streptomyces griseoflavus,13500
Prevotella histicola,13400
Rickettsia monacensis,13300
Citrobacter youngae,13200
Vibrio metschnikovii,13200
Bordetella petrii,13200
Paenibacillus dendritiformis,13200
Pseudomonas mandelii,13200
Kluyvera cryocrescens,13100
Streptomyces chromofuscus,13100
Alistipes finegoldii,13100
Corynebacterium accolens,13000
Streptomyces diastatochromogenes,13000
Frateuria aurantia,13000
Brevibacillus agri,12700
Aeromonas jandaei,12700
Acidiphilium cryptum,12700
Corynebacterium kroppenstedtii,12700
Serratia ficaria,12600
Bacteroides cellulosilyticus,12600
Eubacterium ventriosum,12600
Kytococcus sedentarius,12500
Pseudomonas fuscovaginae,12500
Vibrio proteolyticus,12400
Streptomyces viridosporus,12400
Campylobacter showae,12400
Streptococcus infantis,12400
Streptomyces anulatus,12300
Pseudomonas mosselii,12300
Xanthomonas vasicola,12200
Moritella viscosa,12200
Staphylococcus argenteus,12200
Rhodococcus qingshengii,12100
Vibrio tapetis,12100
Methanothermus fervidus,12100
Pseudoalteromonas atlantica,12000
Actinoplanes missouriensis,12000
Streptococcus macedonicus,12000
Pantoea vagans,11900
Streptomyces chartreusis,11900
Pseudomonas rhodesiae,11800
Bibersteinia trehalosi,11700
Burkholderia dolosa,11600
Pseudoalteromonas tunicata,11600
Xylophilus ampelinus,11400
Micrococcus yunnanensis,11400
Pseudomonas alcaliphila,11300
Lelliottia amnigena,11300
Photorhabdus temperata,11300
Brevibacillus parabrevis,11200
Aeromonas dhakensis,11200
Paraburkholderia phytofirmans,11200
Streptomyces collinus,11100
Dorea longicatena,11100
Actinomyces radicidentis,11000
Streptomyces halstedii,11000
Dickeya dianthicola,11000
Corynebacterium aurimucosum,11000
Erythrobacter litoralis,11000
Burkholderia stabilis,10900
Chromobacterium subtsugae,10900
Mesorhizobium huakuii,10800
Streptomyces spectabilis,10700
Dorea formicigenerans,10700
Micrococcus lylae,10600
Streptomyces cyaneus,10600
Burkholderia plantarii,10600
Psychrobacter cryohalolentis,10600
Methylocella silvestris,10600
Myroides odoratimimus,10500
Kosakonia cowanii,10400
Streptococcus lutetiensis,10400
Clostridium saccharobutylicum,10400
Thermoanaerobacter brockii,10300
Neisseria perflava,10300
Erwinia rhapontici,10300
Brucella pinnipedialis,10300
Lactococcus raffinolactis,10300
Cutibacterium granulosum,10300
Bartonella tribocorum,10300
Streptomyces exfoliatus,10200
Frankia casuarinae,10100
Acidithiobacillus ferrivorans,10100
Aeromonas schubertii,10100
Shewanella xiamenensis,9990
Pseudomonas jessenii,9970
Shewanella decolorationis,9940
Yersinia kristensenii,9790
Streptomyces albogriseolus,9780
Pseudomonas amygdali,9780
Providencia vermicola,9730
Streptomyces acidiscabies,9690
Corynebacterium macginleyi,9680
Bacillus infantis,9570
Bartonella grahamii,9510
Sphingobium chlorophenolicum,9510
Granulicatella elegans,9470
Bacillus tropicus,9430
Pseudomonas frederiksbergensis,9390
Legionella anisa,9380
Streptomyces pilosus,9380
Bartonella elizabethae,9360
Psychrobacter arcticus,9340
Bacillus aerophilus,9280
Elizabethkingia miricola,9230
Citrobacter farmeri,9220
Bacillus wiedmannii,9210
Pseudomonas taetrolens,9170
Komagataeibacter rhaeticus,9080
Brevibacillus choshinensis,9020
Burkholderia lata,9010
Paenibacillus peoriae,8950
Pseudomonas graminis,8930
Lactococcus piscium,8930
Campylobacter ureolyticus,8890
Citrobacter werkmanii,8880
Pseudomonas extremaustralis,8860
Parageobacillus thermoglucosidasius,8830
Corynebacterium variabile,8820
Pectobacterium brasiliense,8790
Streptomyces griseorubens,8760
Bacillus albus,8750
Pseudomonas lundensis,8680
Scardovia wiggsiae,8670
Streptomyces microflavus,8650
Bacillus haynesii,8620
Vibrio mediterranei,8600
Mycobacterium celatum,8580
Streptomyces rubiginosus,8550
Rothia aeria,8540
Pseudoalteromonas luteoviolacea,8480
Staphylococcus delphini,8460
Achromobacter piechaudii,8440
Mycobacterium lentiflavum,8350
Paenibacillus elgii,8350
Cupriavidus pauculus,8310
Streptomyces griseochromogenes,8300
Rhizobium gallicum,8280
Achromobacter spanius,8240
Kluyvera intermedia,8240
Lysinibacillus xylanilyticus,8190
Micromonospora aurantiaca,8140
Herminiimonas arsenicoxydans,8140
Gluconobacter frateurii,8110
Pseudomonas moraviensis,8070
Staphylococcus saccharolyticus,8030
Bacillus cabrialesii,7970
Pseudomonas migulae,7950
Citrobacter sedlakii,7950
Deinococcus deserti,7920
Streptomyces bikiniensis,7910
Kitasatospora setae,7910
Actinomadura pelletieri,7900
Polynucleobacter necessarius,7900
Acinetobacter oleivorans,7880
Erwinia billingiae,7860
Streptococcus phocae,7860
Staphylococcus pettenkoferi,7830
Clostridium cochlearium,7830
Shewanella sediminis,7810
Yokenella regensburgei,7750
Rhodococcus aetherivorans,7730
Rhodococcus wratislaviensis,7720
Burkholderia ubonensis,7690
Mammaliicoccus sciuri,7690
Serratia grimesii,7690
Sphingomonas melonis,7660
Microbacterium esteraromaticum,7640
Bradyrhizobium yuanmingense,7610
Erwinia persicina,7600
Streptomyces thermocarboxydus,7600
Rhodococcus globerulus,7580
Streptomyces hydrogenans,7570
Streptomyces coelicoflavus,7570
Alcaligenes aquatilis,7540
Streptomyces aureus,7510
Bacillus paranthracis,7510
Helicobacter acinonychis,7500
Acinetobacter soli,7490
Gordonia rubripertincta,7470
Sphingobium herbicidovorans,7470
Streptococcus pasteurianus,7470
Pseudomonas psychrophila,7460
Staphylococcus felis,7460
Bordetella trematum,7450
Campylobacter hominis,7440
Empedobacter brevis,7440
Pseudomonas psychrotolerans,7410
Pseudomonas libanensis,7360
Arachnia propionica,7290
Streptomyces chattanoogensis,7260
Sporolactobacillus inulinus,7260
Paenibacillus curdlanolyticus,7260
Weissella hellenica,7250
Oligella urethralis,7250
Streptomyces ipomoeae,7210
Bergeyella zoohelcum,7210
Blautia hydrogenotrophica,7190
Paenibacillus terrae,7170
Streptomyces turgidiscabies,7160
Shewanella halifaxensis,7150
Providencia rustigianii,7150
Herbaspirillum rubrisubalbicans,7130
Bacillus xiamenensis,7060
Lysinibacillus macroides,7050
Streptomyces olivochromogenes,7010
Streptococcus porcinus,6990
Paeniclostridium sordellii,6970
Acidovorax facilis,6930
Mesorhizobium amorphae,6830
Actinomyces graevenitzii,6830
Mycobacterium gastri,6820
Burkholderia anthina,6780
Aeromonas bestiarum,6770
Staphylococcus kloosii,6710
Nocardia transvalensis,6700
Corynebacterium durum,6690
Streptomyces mutabilis,6660
Kocuria marina,6650
Corynebacterium glucuronolyticum,6580
Methanocorpusculum labreanum,6570
Geobacillus subterraneus,6560
Desulfobacter postgatei,6530
Streptomyces atratus,6460
Pseudomonas donghuensis,6450
Vibrio crassostreae,6450
Streptomyces azureus,6450
Streptomyces pratensis,6430
Pseudomonas brenneri,6370
Streptomyces violaceus,6290
Rickettsia rhipicephali,6270
Streptomyces canus,6270
Corynebacterium simulans,6240
Paenibacillus barengoltzii,6200
Collimonas fungivorans,6180
Gluconobacter cerinus,6160
Pseudomonas thivervalensis,6150
Bradyrhizobium liaoningense,6120
Pannonibacter phragmitetus,6120
Stenotrophomonas pavanii,6110
Streptomyces variabilis,6070
Acidovorax temperans,6070
Rickettsia canadensis,6070
Yersinia entomophaga,6040
Streptomyces laurentii,6040
Desulfatibacillum alkenivorans,6030
Rickettsia montanensis,6030
Treponema primitia,6030
Clostridium scatologenes,6010
Gluconacetobacter liquefaciens,6010
Streptomyces cellulosae,6000
Bartonella taylorii,5980
Kribbella flavida,5970
Persephonella marina,5960
Streptomyces cyaneofuscatus,5950
Solibacillus silvestris,5950
Streptomyces formicae,5940
Streptococcus pluranimalium,5940
Novosphingobium pentaromativorans,5930
Streptomyces badius,5880
Rhizobium sullae,5860
Bacillus proteolyticus,5850
Streptomyces phaeochromogenes,5850
Pseudoalteromonas carrageenovora,5820
Sphingobium indicum,5810
Limosilactobacillus mucosae,5810
Microbacterium liquefaciens,5790
Citrobacter portucalensis,5790
Streptomyces violascens,5770
Pseudomonas palleroniana,5750
Streptomyces alboflavus,5740
Ureibacillus thermosphaericus,5730
Rhodopseudomonas faecalis,5720
Kurthia gibsonii,5720
Thermosipho africanus,5720
Obesumbacterium proteus,5680
Streptomyces tanashiensis,5650
Stutzerimonas stutzeri,5640
Bacillus zhangzhouensis,5630
Vibrio tasmaniensis,5620
Staphylococcus agnetis,5610
Gordonia amicalis,5590
Sphingobium xenophagum,5570
Rhodococcus rhodnii,5570
Pseudomonas umsongensis,5560
Haloarcula japonica,5520
Pseudomonas asplenii,5520
Streptomyces aurantiacus,5520
Arthrobacter pascens,5500
Alloscardovia omnicolens,5500
Caulobacter segnis,5490
Flavobacterium hydatis,5470
Corynebacterium mastitidis,5460
Anaerobutyricum hallii,5460
Staphylococcus nepalensis,5440
Clostridium disporicum,5430
Herbaspirillum huttiense,5420
Streptomyces parvus,5400
Pseudomonas reinekei,5390
Mycobacterium triplex,5380
Nocardia coeliaca,5370
Delftia lacustris,5370
Klebsiella grimontii,5340
Streptomyces bottropensis,5320
Halorubrum sodomense,5280
Achromobacter insolitus,5280
Sinorhizobium saheli,5240
Acidiphilium multivorum,5240
Bacillus australimaris,5220
Brachyspira hampsonii,5220
Mesorhizobium mediterraneum,5190
Rickettsia peacockii,5160
Caldalkalibacillus thermarum,5140
Pseudomonas baetica,5130
Streptomyces mirabilis,5100
Paenibacillus lactis,5100
Pseudomonas deceptionensis,5090
Vibrio cyclitrophicus,5070
Streptomyces enissocaesilis,5070
Leptospira noguchii,5070
Morganella psychrotolerans,5060
Bradyrhizobium canariense,5050
Rickettsia honei,5030
Thiomonas intermedia,5030
Campylobacter hepaticus,5020
Serratia ureilytica,5020
Streptomyces rishiriensis,5010
Enterococcus thailandicus,5010
Pseudomonas vancouverensis,4980
Lentilactobacillus parabuchneri,4970
Phyllobacterium myrsinacearum,4960
Xanthomonas cucurbitae,4960
Aeromonas allosaccharophila,4950
Planococcus maritimus,4930
Yersinia aldovae,4930
Helicobacter fennelliae,4930
Streptomyces calvus,4920
Myxococcus stipitatus,4920
Gluconobacter japonicus,4900
Paraburkholderia fungorum,4890
Prevotella veroralis,4890
Escherichia marmotae,4880
Streptomyces nitrosporeus,4870
Leifsonia aquatica,4860
Bacillus pacificus,4840
Corynebacterium coyleae,4830
Aliivibrio wodanis,4830
Fructilactobacillus sanfranciscensis,4830
Brenneria goodwinii,4810
Citrobacter gillenii,4740
Moellerella wisconsensis,4740
Vibrio gazogenes,4740
Aliarcobacter butzleri,4720
Erwinia psidii,4700
Staphylococcus piscifermentans,4680
Gordonia amarae,4670
Microbacterium oleivorans,4640
Nitrococcus mobilis,4640
Rhizobium laguerreae,4630
Streptomyces griseoincarnatus,4630
Aminobacter aminovorans,4620
Burkholderia arboris,4600
Pseudomonas yamanorum,4590
Acinetobacter seifertii,4580
Pantoea eucalypti,4580
Streptomyces sioyaensis,4580
Pectobacterium aroidearum,4570
Clostridium celatum,4570
Streptomyces koyangensis,4560
Aquincola tertiaricarbonis,4560
Shewanella livingstonensis,4550
Fervidobacterium islandicum,4550
Pseudomonas moorei,4540
Haloferax alexandrinus,4540
Achromobacter ruhlandii,4520
Azohydromonas lata,4520
Tistrella mobilis,4510
Pseudomonas abietaniphila,4500
Amycolatopsis balhimycina,4480
Lentilactobacillus kefiri,4480
Prevotella amnii,4480
Mycobacterium asiaticum,4470
Cloacibacterium normanense,4460
Pseudomonas lutea,4440
Streptococcus ferus,4440
Microbacterium laevaniformans,4440
Komagataeibacter saccharivorans,4420
Alloprevotella rava,4410
Aeromonas encheleia,4410
Acinetobacter tandoii,4410
Isoptericola variabilis,4390
Shewanella benthica,4390
Pseudomonas proteolytica,4390
Helicobacter canis,4390
Streptomyces griseoaurantiacus,4390
Streptomyces bacillaris,4360
Nocardia pseudobrasiliensis,4350
Vibrio lentus,4320
Haloterrigena salifodinae,4320
Rhizobium giardinii,4310
Pseudomonas flavescens,4300
Castellaniella defragrans,4300
Achromobacter mucicolens,4280
Streptococcus lactarius,4280
Streptomyces tubercidicus,4270
Salinispora pacifica,4240
Rickettsia asembonensis,4230
Pseudomonas grimontii,4230
Pseudoxanthomonas mexicana,4230
Streptomyces atroolivaceus,4220
Streptomyces drozdowiczii,4210
Micromonospora carbonacea,4200
Staphylococcus condimenti,4200
