Binomial name,type
Aquavibrio cholerae,latin_genus_real_strain
Ventiella faecalis,latin_genus_real_strain
Arboricola pneumoniae,latin_genus_real_strain
Petraflexus fragilis,latin_genus_real_strain
Luxbacillus cereus,latin_genus_real_strain
Nixicoccus aureus,latin_genus_real_strain
Calidibacter thermophilus,latin_genus_real_strain
Sidereum metallidurans,latin_genus_real_strain
Gelubacillus licheniformis,latin_genus_real_strain
Umbralevi influenzae,latin_genus_real_strain
Caelibacter perfringens,latin_genus_real_strain
Aquilonifer dysenteriae,latin_genus_real_strain
Luminoflora rhamnosus,latin_genus_real_strain
Stellibacter agalactiae,latin_genus_real_strain
Crescobacter plantarum,latin_genus_real_strain
Flammabacter pyogenes,latin_genus_real_strain
Monticola anthracis,latin_genus_real_strain
Silvarumcella tularensis,latin_genus_real_strain
Ventusospira typhi,latin_genus_real_strain
Arboribacter melitensis,latin_genus_real_strain
Siderosoma enteritidis,latin_genus_real_strain
Fluminibacter meningitidis,latin_genus_real_strain
Glaeciabacter megaterium,latin_genus_real_strain
Ferrivibrio vulnificus,latin_genus_real_strain
Temporibacter coli,latin_genus_real_strain
Radiobacillus difficile,latin_genus_real_strain
Ignispirillum jirovecii,latin_genus_real_strain
Niveococcus pneumoniae,latin_genus_real_strain
Heliosoma epidermidis,latin_genus_real_strain
Aquaspira mirabilis,latin_genus_real_strain
Glaciigenium thermoglucosidasius,latin_genus_real_strain
Caelumcoccus sporogenes,latin_genus_real_strain
Lunabacter monocytogenes,latin_genus_real_strain
Terrafermentum diphtheriae,latin_genus_real_strain
Phosphoribacter salmonis,latin_genus_real_strain
Oralevi gingivalis,latin_genus_real_strain
Aestusbacter haemolyticus,latin_genus_real_strain
Nubibacter suis,latin_genus_real_strain
Calorella botulinum,latin_genus_real_strain
Tenebrisoma palustris,latin_genus_real_strain
Polarisfermentum maltophilia,latin_genus_real_strain
Salumispira marcescens,latin_genus_real_strain
Nocticella legionellae,latin_genus_real_strain
Firmamentibacter cloacae,latin_genus_real_strain
