Binomial name
Weissella paramesenteroides
Delftia tsuruhatensis
Xenorhabdus khoisanae
Fusobacterium ulcerans
Celeribacter baekdonensis
Bacillus sonorensis
Proteus hauseri
Chryseobacterium joostei
Streptococcus infantarius
Nocardia nova
Burkholderia pyrrocinia
Shewanella loihica
Helicobacter mustelae
Mycobacterium malmoense
Achromobacter denitrificans
Anaeromyxobacter dehalogenans
Staphylococcus arlettae
Erwinia tracheiphila
Enterobacter cancerogenus
Streptomyces tsukubensis
Campylobacter gracilis
Actinomadura darangshiensis
Shewanella frigidimarina
Kribbella pittospori
Xenorhabdus bovienii
Nocardia cyriacigeorgica
Gordonia lacunae
Enterobacter kobei
Helicobacter bilis
Klebsiella michiganensis
Brucella ceti
Streptomyces glaucescens
Corynebacterium efficiens
Mycobacterium szulgai
Pseudomonas fulva
Leptospira kirschneri
Staphylococcus auricularis
Mycobacterium genavense
Brevibacillus borstelensis
Dickeya chrysanthemi
Streptococcus cristatus
Enterobacter bugandensis
Clostridium carboxidivorans
Corynebacterium renale
Streptomyces violaceoruber
Parabacteroides merdae
Knoellia sinensis
Clostridium haemolyticum
Pseudomonas simiae
Neisseria flavescens
Corynebacterium tuberculostearicum
Aeromonas media
Serratia symbiotica
[Mycoplasma] mobile
Rhodococcus pyridinivorans
Enterococcus raffinosus
Fusobacterium mortiferum
Kocuria varians
Rickettsia aeschlimannii
Bacillus smithii
Gordonia terrae
Corynebacterium kutscheri
Aliivibrio salmonicida
Xanthomonas hortorum
Clostridium drakei
Myxococcus fulvus
Pseudomonas synxantha
Microbacterium oxydans
Streptomyces violaceusniger
Staphylococcus gallinarum
Microbacterium paraoxydans
Serratia entomophila
Mycoplasmoides gallisepticum
Streptomyces griseoflavus
Prevotella histicola
Rickettsia monacensis
Citrobacter youngae
Vibrio metschnikovii
Bordetella petrii
Paenibacillus dendritiformis
Pseudomonas mandelii
Kluyvera cryocrescens
Streptomyces chromofuscus
Alistipes finegoldii
Corynebacterium accolens
Streptomyces diastatochromogenes
Frateuria aurantia
Brevibacillus agri
Aeromonas jandaei
Acidiphilium cryptum
Corynebacterium kroppenstedtii
Serratia ficaria
Bacteroides cellulosilyticus
Eubacterium ventriosum
Kytococcus sedentarius
Pseudomonas fuscovaginae
Vibrio proteolyticus
Streptomyces viridosporus
Campylobacter showae
Streptococcus infantis
Streptomyces anulatus
Pseudomonas mosselii
Xanthomonas vasicola
Moritella viscosa
Staphylococcus argenteus
Rhodococcus qingshengii
Vibrio tapetis
Methanothermus fervidus
Pseudoalteromonas atlantica
Actinoplanes missouriensis
Streptococcus macedonicus
Pantoea vagans
Streptomyces chartreusis
Pseudomonas rhodesiae
Bibersteinia trehalosi
Burkholderia dolosa
Pseudoalteromonas tunicata
Xylophilus ampelinus
Micrococcus yunnanensis
Pseudomonas alcaliphila
Lelliottia amnigena
Photorhabdus temperata
Brevibacillus parabrevis
Aeromonas dhakensis
Paraburkholderia phytofirmans
Streptomyces collinus
Dorea longicatena
Actinomyces radicidentis
Streptomyces halstedii
Dickeya dianthicola
Corynebacterium aurimucosum
Erythrobacter litoralis
Burkholderia stabilis
Chromobacterium subtsugae
Mesorhizobium huakuii
Streptomyces spectabilis
Dorea formicigenerans
Micrococcus lylae
Streptomyces cyaneus
Burkholderia plantarii
Psychrobacter cryohalolentis
Methylocella silvestris
Myroides odoratimimus
Kosakonia cowanii
Streptococcus lutetiensis
Clostridium saccharobutylicum
Thermoanaerobacter brockii
Neisseria perflava
Erwinia rhapontici
Brucella pinnipedialis
Lactococcus raffinolactis
Cutibacterium granulosum
Bartonella tribocorum
Streptomyces exfoliatus
Frankia casuarinae
Acidithiobacillus ferrivorans
Aeromonas schubertii
Shewanella xiamenensis
Pseudomonas jessenii
Shewanella decolorationis
Yersinia kristensenii
Streptomyces albogriseolus
Pseudomonas amygdali
Providencia vermicola
Streptomyces acidiscabies
Corynebacterium macginleyi
Bacillus infantis
Bartonella grahamii
Sphingobium chlorophenolicum
Granulicatella elegans
Bacillus tropicus
Pseudomonas frederiksbergensis
Legionella anisa
Streptomyces pilosus
Bartonella elizabethae
Psychrobacter arcticus
Bacillus aerophilus
Elizabethkingia miricola
Citrobacter farmeri
Bacillus wiedmannii
Pseudomonas taetrolens
Komagataeibacter rhaeticus
Brevibacillus choshinensis
Burkholderia lata
Paenibacillus peoriae
Pseudomonas graminis
Lactococcus piscium
Campylobacter ureolyticus
Citrobacter werkmanii
Pseudomonas extremaustralis
Parageobacillus thermoglucosidasius
Corynebacterium variabile
Pectobacterium brasiliense
Streptomyces griseorubens
Bacillus albus
Pseudomonas lundensis
Scardovia wiggsiae
Streptomyces microflavus
Bacillus haynesii
Vibrio mediterranei
Mycobacterium celatum
Streptomyces rubiginosus
Rothia aeria
Pseudoalteromonas luteoviolacea
Staphylococcus delphini
Achromobacter piechaudii
Mycobacterium lentiflavum
Paenibacillus elgii
Cupriavidus pauculus
Streptomyces griseochromogenes
Rhizobium gallicum
Achromobacter spanius
Kluyvera intermedia
Lysinibacillus xylanilyticus
Micromonospora aurantiaca
Herminiimonas arsenicoxydans
Gluconobacter frateurii
Pseudomonas moraviensis
Staphylococcus saccharolyticus
Bacillus cabrialesii
Pseudomonas migulae
Citrobacter sedlakii
Deinococcus deserti
Streptomyces bikiniensis
Kitasatospora setae
Actinomadura pelletieri
Polynucleobacter necessarius
Acinetobacter oleivorans
Erwinia billingiae
Streptococcus phocae
Staphylococcus pettenkoferi
Clostridium cochlearium
Shewanella sediminis
Yokenella regensburgei
Rhodococcus aetherivorans
Rhodococcus wratislaviensis
Burkholderia ubonensis
Mammaliicoccus sciuri
Serratia grimesii
Sphingomonas melonis
Microbacterium esteraromaticum
Bradyrhizobium yuanmingense
Erwinia persicina
Streptomyces thermocarboxydus
Rhodococcus globerulus
Streptomyces hydrogenans
Streptomyces coelicoflavus
Alcaligenes aquatilis
Streptomyces aureus
Bacillus paranthracis
Helicobacter acinonychis
Acinetobacter soli
Gordonia rubripertincta
Sphingobium herbicidovorans
Streptococcus pasteurianus
Pseudomonas psychrophila
Staphylococcus felis
Bordetella trematum
Campylobacter hominis
Empedobacter brevis
Pseudomonas psychrotolerans
Pseudomonas libanensis
Arachnia propionica
Streptomyces chattanoogensis
Sporolactobacillus inulinus
Paenibacillus curdlanolyticus
Weissella hellenica
Oligella urethralis
Streptomyces ipomoeae
Bergeyella zoohelcum
Blautia hydrogenotrophica
Paenibacillus terrae
Streptomyces turgidiscabies
Shewanella halifaxensis
Providencia rustigianii
Herbaspirillum rubrisubalbicans
Bacillus xiamenensis
Lysinibacillus macroides
Streptomyces olivochromogenes
Streptococcus porcinus
Paeniclostridium sordellii
Acidovorax facilis
Mesorhizobium amorphae
Actinomyces graevenitzii
Mycobacterium gastri
Burkholderia anthina
Aeromonas bestiarum
Staphylococcus kloosii
Nocardia transvalensis
Corynebacterium durum
Streptomyces mutabilis
Kocuria marina
Corynebacterium glucuronolyticum
Methanocorpusculum labreanum
Geobacillus subterraneus
Desulfobacter postgatei
Streptomyces atratus
Pseudomonas donghuensis
Vibrio crassostreae
Streptomyces azureus
Streptomyces pratensis
Pseudomonas brenneri
Streptomyces violaceus
Rickettsia rhipicephali
Streptomyces canus
Corynebacterium simulans
Paenibacillus barengoltzii
Collimonas fungivorans
Gluconobacter cerinus
Pseudomonas thivervalensis
Bradyrhizobium liaoningense
Pannonibacter phragmitetus
Stenotrophomonas pavanii
Streptomyces variabilis
Acidovorax temperans
Rickettsia canadensis
Yersinia entomophaga
Streptomyces laurentii
Desulfatibacillum alkenivorans
Rickettsia montanensis
Treponema primitia
Clostridium scatologenes
Gluconacetobacter liquefaciens
Streptomyces cellulosae
Bartonella taylorii
Kribbella flavida
Persephonella marina
Streptomyces cyaneofuscatus
Solibacillus silvestris
Streptomyces formicae
Streptococcus pluranimalium
Novosphingobium pentaromativorans
Streptomyces badius
Rhizobium sullae
Bacillus proteolyticus
Streptomyces phaeochromogenes
Pseudoalteromonas carrageenovora
Sphingobium indicum
Limosilactobacillus mucosae
Microbacterium liquefaciens
Citrobacter portucalensis
Streptomyces violascens
Pseudomonas palleroniana
Streptomyces alboflavus
Ureibacillus thermosphaericus
Rhodopseudomonas faecalis
Kurthia gibsonii
Thermosipho africanus
Obesumbacterium proteus
Streptomyces tanashiensis
Stutzerimonas stutzeri
Bacillus zhangzhouensis
Vibrio tasmaniensis
Staphylococcus agnetis
Gordonia amicalis
Sphingobium xenophagum
Rhodococcus rhodnii
Pseudomonas umsongensis
Haloarcula japonica
Pseudomonas asplenii
Streptomyces aurantiacus
Arthrobacter pascens
Alloscardovia omnicolens
Caulobacter segnis
Flavobacterium hydatis
Corynebacterium mastitidis
Anaerobutyricum hallii
Staphylococcus nepalensis
Clostridium disporicum
Herbaspirillum huttiense
Streptomyces parvus
Pseudomonas reinekei
Mycobacterium triplex
Nocardia coeliaca
Delftia lacustris
Klebsiella grimontii
Streptomyces bottropensis
Halorubrum sodomense
Achromobacter insolitus
Sinorhizobium saheli
Acidiphilium multivorum
Bacillus australimaris
Brachyspira hampsonii
Mesorhizobium mediterraneum
Rickettsia peacockii
Caldalkalibacillus thermarum
Pseudomonas baetica
Streptomyces mirabilis
Paenibacillus lactis
Pseudomonas deceptionensis
Vibrio cyclitrophicus
Streptomyces enissocaesilis
Leptospira noguchii
Morganella psychrotolerans
Bradyrhizobium canariense
Rickettsia honei
Thiomonas intermedia
Campylobacter hepaticus
Serratia ureilytica
Streptomyces rishiriensis
Enterococcus thailandicus
Pseudomonas vancouverensis
Lentilactobacillus parabuchneri
Phyllobacterium myrsinacearum
Xanthomonas cucurbitae
Aeromonas allosaccharophila
Planococcus maritimus
Yersinia aldovae
Helicobacter fennelliae
Streptomyces calvus
Myxococcus stipitatus
Gluconobacter japonicus
Paraburkholderia fungorum
Prevotella veroralis
Escherichia marmotae
Streptomyces nitrosporeus
Leifsonia aquatica
Bacillus pacificus
Corynebacterium coyleae
Aliivibrio wodanis
Fructilactobacillus sanfranciscensis
Brenneria goodwinii
Citrobacter gillenii
Moellerella wisconsensis
Vibrio gazogenes
Aliarcobacter butzleri
Erwinia psidii
Staphylococcus piscifermentans
Gordonia amarae
Microbacterium oleivorans
Nitrococcus mobilis
Rhizobium laguerreae
Streptomyces griseoincarnatus
Aminobacter aminovorans
Burkholderia arboris
Pseudomonas yamanorum
Acinetobacter seifertii
Pantoea eucalypti
Streptomyces sioyaensis
Pectobacterium aroidearum
Clostridium celatum
Streptomyces koyangensis
Aquincola tertiaricarbonis
Shewanella livingstonensis
Fervidobacterium islandicum
Pseudomonas moorei
Haloferax alexandrinus
Achromobacter ruhlandii
Azohydromonas lata
Tistrella mobilis
Pseudomonas abietaniphila
Amycolatopsis balhimycina
Lentilactobacillus kefiri
Prevotella amnii
Mycobacterium asiaticum
Cloacibacterium normanense
Pseudomonas lutea
Streptococcus ferus
Microbacterium laevaniformans
Komagataeibacter saccharivorans
Alloprevotella rava
Aeromonas encheleia
Acinetobacter tandoii
Isoptericola variabilis
Shewanella benthica
Pseudomonas proteolytica
Helicobacter canis
Streptomyces griseoaurantiacus
Streptomyces bacillaris
Nocardia pseudobrasiliensis
Vibrio lentus
Haloterrigena salifodinae
Rhizobium giardinii
Pseudomonas flavescens
Castellaniella defragrans
Achromobacter mucicolens
Streptococcus lactarius
Streptomyces tubercidicus
Salinispora pacifica
Rickettsia asembonensis
Pseudomonas grimontii
Pseudoxanthomonas mexicana
Streptomyces atroolivaceus
Streptomyces drozdowiczii
Micromonospora carbonacea
Staphylococcus condimenti
Pseudoxanthomonas spadix
Pectobacterium betavasculorum
Streptomyces griseorubiginosus
Edwardsiella hoshinae
Mesorhizobium plurifarium
Pseudomonas helleri
Bacillus nakamurai
Xenorhabdus szentirmaii
Nocardia vaccinii
Streptomyces gulbargensis
Treponema pedis
Niallia circulans
Citrobacter murliniae
Planococcus citreus
Komagataeibacter intermedius
Nocardia globerula
Advenella kashmirensis
Pandoraea apista
Campylobacter helveticus
Burkholderia territorii
Rhodococcus coprophilus
Cytobacillus firmus
Helicobacter canadensis
Aquaspirillum serpens
Kosakonia oryzae
Pseudoalteromonas arctica
Pediococcus claussenii
Acinetobacter beijerinckii
Streptomyces candidus
Rothia nasimurium
Corynebacterium argentoratense
Acinetobacter gyllenbergii
Lactococcus plantarum
Brachybacterium paraconglomeratum
Brucella anthropi
Xanthomonas sacchari
Pandoraea sputorum
Haloferax gibbonsii
Lelliottia nimipressuralis
Pseudomonas argentinensis
Corynebacterium singulare
Micrococcus aloeverae
Mesorhizobium tianshanense
Aeromonas enteropelogenes
Streptomyces lusitanus
Gordonia sputi
Clostridium sartagoforme
Aliivibrio logei
Holdemania filiformis
Halorubrum saccharovorum
Xanthomonas populi
Oribacterium sinus
Streptomyces rutgersensis
Dickeya fangzhongdai
Halalkalibacterium halodurans
Bradyrhizobium pachyrhizi
Streptomyces sannanensis
Pseudomonas chengduensis
Ideonella dechloratans
Pseudoalteromonas flavipulchra
Streptomyces nigrescens
Staphylococcus schweitzeri
Agathobacter rectalis
Pseudomonas guariconensis
Owenweeksia hongkongensis
Burkholderia metallica
Pseudomonas toyotomiensis
Actinobaculum suis
Xenorhabdus budapestensis
Bacillus benzoevorans
Serratia quinivorans
Shewanella vesiculosa
Microbacterium maritypicum
Vibrio azureus
Phyllobacterium brassicacearum
Pseudomonas tremae
Bacteroides caecimuris
Neisseria zoodegmatis
Kutzneria albida
Halorubrum ezzemoulense
Pseudomonas alkylphenolica
Streptomyces narbonensis
Chromobacterium vaccinii
Streptomyces neyagawaensis
Rodentibacter pneumotropicus
Agrobacterium pusense
Porphyromonas uenonis
Prevotella jejuni
Burkholderia diffusa
Burkholderia latens
Pasteurella stomatis
Mycobacterium shimoidei
Staphylococcus petrasii
Pseudomonas vranovensis
Atlantibacter hermannii
Neisseria animaloris
Streptomyces pluripotens
Natronorubrum tibetense
Streptomyces flavovirens
Streptococcus criceti
Dyella japonica
Neisseria oralis
Streptomyces vietnamensis
Pseudomonas guguanensis
Acinetobacter lactucae
Bacillus mobilis
Nocardia veterana
Pectobacterium versatile
Pandoraea pulmonicola
Acidipropionibacterium acidipropionici
Streptomyces alfalfae
Pseudoxanthomonas suwonensis
Pseudoalteromonas marina
Streptomyces cinereoruber
Achromobacter insuavis
Gluconacetobacter sacchari
Bacillus gaemokensis
Brevibacillus formosus
Bacillus swezeyi
Providencia heimbachae
Bacillus stercoris
Marinobacter lipolyticus
Pediococcus inopinatus
Neisseria canis
Vibrio gigantis
Rhizobium pisi
Streptomyces pseudogriseolus
Eubacterium callanderi
Nitrospirillum amazonense
Rhodococcus zopfii
Pantoea cypripedii
Pseudoalteromonas nigrifaciens
Streptomyces tuirus
Nonomuraea gerenzanensis
Streptococcus hyointestinalis
Streptomyces caniferus
Streptomyces wedmorensis
Suttonella ornithocola
Corynebacterium falsenii
Pseudoalteromonas phenolica
Streptomyces aureoverticillatus
Bifidobacterium choerinum
Fervidobacterium pennivorans
Xanthomonas hyacinthi
Streptomyces echinatus
Streptomyces rameus
Paenibacillus lentus
Pseudoalteromonas elyakovii
Streptomyces gancidicus
Komagataeibacter nataicola
Rickettsia hoogstraalii
Streptomyces pulveraceus
Paenibacillus brasilensis
[Pseudomonas] zhaodongensis
Microbacterium flavescens
Pantoea anthophila
Micromonospora lupini
Corynebacterium freneyi
Actinomyces johnsonii
Streptomyces resistomycificus
Streptomyces thermodiastaticus
Vibrio sinaloensis
Lachnoclostridium phytofermentans
Aeromonas popoffii
Vibrio metoecus
Streptomyces arenae
Kosakonia arachidis
Streptomyces europaeiscabiei
Saccharomonospora azurea
Paraburkholderia graminis
Staphylococcus muscae
Amycolatopsis rifamycinica
Aeromonas eucrenophila
Streptomyces humidus
Mycobacterium marseillense
Streptomyces levis
Clostridium isatidis
Flavobacterium covae
Pantoea eucrina
Erwinia aphidicola
Bacillus manliponensis
Azospirillum thiophilum
Streptomyces auratus
Komagataeibacter oboediens
Amycolatopsis keratiniphila
Microbacterium trichothecenolyticum
Streptomyces filamentosus
Streptomyces lunaelactis
Rickettsia tamurae
Rhizobium favelukesii
Staphylococcus devriesei
Corynebacterium auriscanis
Collinsella intestinalis
Nocardia iowensis
Kocuria polaris
Nitrobacter vulgaris
Streptomyces althioticus
Mannheimia glucosida
Streptomyces spiroverticillatus
Streptomyces roseolus
Pseudomonas silesiensis
Streptomyces albospinus
Legionella parisiensis
Microbacterium resistens
Nocardiopsis prasina
Collimonas pratensis
Rhizobium grahamii
Bradyrhizobium lupini
Psychrobacter faecalis
Aeromonas molluscorum
Listeria marthii
Gluconacetobacter entanii
Franconibacter pulveris
Streptococcus parasuis
Clostridium puniceum
Streptomyces vinaceusdrappus
Pseudomonas weihenstephanensis
Achromobacter marplatensis
Gordonia westfalica
Arcanobacterium phocae
Rummeliibacillus stabekisii
Staphylococcus edaphicus
Pseudescherichia vulneris
Weissella ceti
Vibrio rumoiensis
Pseudoalteromonas antarctica
Streptomyces flaveolus
Pantoea septica
Bifidobacterium pullorum
Streptomyces albaduncus
Streptomyces tauricus
Flavobacterium frigoris
Nevskia ramosa
Algoriphagus machipongonensis
Myxococcus virescens
Pseudomonas punonensis
Corynebacterium pyruviciproducens
Flavobacterium succinicans
