Parent_name,Gram_stain,Motility,Cell_shape,Culture_temperature_range,Oxygen_tolerance,Spore_formation,Biosafety_level
Acetobacter pomorum,NA,no,NA,mesophilic,NA,NA,BSL-1
Acetobacter sacchari,NA,NA,NA,NA,NA,NA,NA
Acetobacter senegalensis,negative,yes,coccus,mesophilic,NA,no,BSL-1
Acetobacter sicerae,NA,NA,NA,NA,NA,NA,NA
Acetobacter suratthaniensis,NA,NA,NA,NA,NA,NA,BSL-1
Acetobacter syzygii,NA,NA,NA,mesophilic,NA,NA,BSL-1
Acetobacter thailandicus,NA,NA,NA,NA,NA,NA,BSL-1
Acetobacter tropicalis,NA,NA,NA,mesophilic,NA,NA,NA
Acetobacterium bakii,NA,NA,NA,psychrophilic,NA,NA,BSL-1
Acetobacterium carbinolicum,NA,NA,NA,mesophilic,NA,NA,BSL-1
Acetobacterium dehalogenans,NA,NA,NA,NA,NA,NA,NA
Acetobacterium fimetarium,NA,NA,NA,mesophilic,NA,NA,BSL-1
Acetobacterium malicum,NA,NA,NA,mesophilic,NA,NA,BSL-1
Acetobacterium paludosum,NA,NA,NA,psychrophilic,NA,NA,BSL-1
Acetobacterium tundrae,NA,NA,NA,psychrophilic,NA,NA,BSL-1
Acetobacterium wieringae,NA,NA,NA,mesophilic,NA,NA,BSL-1
Acetobacterium woodii,NA,NA,NA,mesophilic,NA,NA,BSL-1
Acetobacteroides hydrogenigenes,NA,NA,NA,mesophilic,NA,NA,BSL-1
Acetofilamentum rigidum,NA,NA,NA,NA,NA,NA,BSL-1
Acetohalobium arabaticum,NA,NA,NA,mesophilic,NA,NA,BSL-1
Acetomicrobium faecale,NA,NA,NA,thermophilic,NA,NA,BSL-1
Acetomicrobium flavidum,NA,NA,NA,thermophilic,NA,NA,BSL-1
Acetomicrobium hydrogeniformans,negative,no,rod,thermophilic,NA,no,BSL-1
Acetomicrobium mobile,negative,yes,rod,thermophilic,NA,no,BSL-1
Acetomicrobium thermoterrenum,negative,yes,rod,thermophilic,NA,no,BSL-1
Acetonema longum,NA,NA,NA,mesophilic,NA,NA,BSL-1
Acetothermus paucivorans,NA,NA,NA,NA,NA,NA,BSL-1
Acholeplasma axanthum,NA,NA,NA,NA,NA,NA,BSL-2
Acholeplasma brassicae,NA,NA,NA,NA,NA,NA,BSL-1
Acholeplasma equifetale,NA,NA,NA,NA,NA,NA,BSL-1
Acholeplasma equirhinis,NA,NA,NA,mesophilic,NA,NA,NA
Acholeplasma granularum,NA,NA,NA,NA,NA,NA,BSL-2
Acholeplasma hippikon,NA,NA,NA,NA,NA,NA,BSL-2
Acholeplasma laidlawii,NA,NA,NA,mesophilic,NA,NA,NA
Acholeplasma modicum,NA,NA,NA,NA,NA,NA,BSL-2
Acholeplasma morum,NA,NA,NA,NA,NA,NA,BSL-2
Acholeplasma multilocale,NA,NA,NA,NA,NA,NA,BSL-1
Acholeplasma oculi,NA,NA,NA,NA,NA,NA,BSL-2
Acholeplasma parvum,NA,NA,NA,NA,NA,NA,BSL-1
Acholeplasma vituli,NA,NA,NA,mesophilic,NA,NA,NA
Achromobacter aegrifaciens,NA,NA,NA,mesophilic,NA,NA,NA
Achromobacter agilis,negative,yes,rod,mesophilic,NA,NA,NA
Achromobacter aloeverae,negative,yes,rod,NA,NA,no,NA
Achromobacter animicus,NA,NA,NA,mesophilic,NA,NA,NA
Achromobacter anxifer,NA,NA,NA,mesophilic,NA,NA,NA
Achromobacter deleyi,NA,NA,NA,mesophilic,NA,NA,NA
Achromobacter denitrificans,NA,NA,NA,mesophilic,NA,NA,NA
Achromobacter dolens,NA,NA,NA,mesophilic,NA,NA,NA
Achromobacter insolitus,NA,NA,NA,NA,NA,NA,NA
Achromobacter insuavis,NA,NA,NA,mesophilic,NA,NA,NA
Achromobacter insulatus,NA,NA,NA,mesophilic,NA,NA,NA
Achromobacter kerstersii,negative,yes,rod,mesophilic,NA,NA,NA
Achromobacter marplatensis,NA,NA,NA,mesophilic,NA,NA,NA
Achromobacter mucicolens,NA,NA,NA,mesophilic,NA,NA,NA
Achromobacter pestifer,negative,yes,rod,mesophilic,NA,NA,NA
Achromobacter piechaudii,NA,NA,NA,mesophilic,NA,NA,NA
Achromobacter pulmonis,NA,NA,NA,mesophilic,NA,NA,NA
Achromobacter ruhlandii,NA,NA,NA,mesophilic,NA,NA,NA
Achromobacter spanius,NA,NA,NA,mesophilic,NA,NA,NA
Achromobacter veterisilvae,NA,NA,NA,NA,NA,NA,NA
Achromobacter xylosoxidans,NA,NA,NA,mesophilic,NA,NA,NA
Acidaminobacter hydrogenoformans,NA,NA,NA,mesophilic,NA,NA,BSL-1
Acidaminococcus fermentans,NA,NA,NA,mesophilic,NA,NA,BSL-2
Acidaminococcus intestini,negative,no,coccus,mesophilic,NA,no,BSL-2
Acidianus ambivalens,NA,NA,NA,hyperthermophilic,NA,NA,BSL-1
Acidianus brierleyi,NA,NA,NA,thermophilic,NA,NA,BSL-1
Acidianus infernus,NA,NA,NA,hyperthermophilic,NA,NA,BSL-1
Acidianus sulfidivorans,NA,NA,NA,thermophilic,NA,NA,BSL-1
Acidibacillus ferrooxidans,NA,NA,NA,mesophilic,NA,NA,NA
Acidibacillus sulfuroxidans,NA,NA,NA,thermophilic,NA,NA,NA
Acidibacter ferrireducens,NA,NA,NA,mesophilic,NA,NA,BSL-1
Acidibrevibacterium fodinaquatile,negative,no,rod,NA,NA,no,NA
Acidicaldus organivorans,NA,NA,NA,thermophilic,NA,NA,BSL-1
Acidicapsa acidiphila,NA,NA,NA,mesophilic,NA,NA,BSL-1
Acidicapsa acidisoli,negative,no,rod,NA,NA,no,BSL-1
Acidicapsa borealis,negative,no,rod,psychrophilic,NA,NA,BSL-1
Acidicapsa dinghuensis,negative,no,rod,NA,NA,no,NA
Acidicapsa ferrireducens,NA,NA,NA,mesophilic,NA,NA,BSL-1
Acidicapsa ligni,negative,no,rod,mesophilic,NA,NA,BSL-1
Acididesulfobacillus acetoxydans,NA,NA,NA,mesophilic,NA,NA,NA
Acidiferrimicrobium australe,NA,NA,NA,mesophilic,NA,NA,NA
Acidiferrobacter thiooxydans,NA,NA,NA,mesophilic,NA,NA,BSL-1
Acidihalobacter aeolianus,negative,yes,rod,mesophilic,NA,NA,NA
Acidihalobacter ferrooxydans,negative,yes,rod,mesophilic,NA,NA,NA
Acidihalobacter prosperus,NA,NA,NA,mesophilic,NA,NA,BSL-1
Acidihalobacter yilgarnensis,NA,NA,NA,mesophilic,NA,NA,BSL-1
Acidilobus aceticus,NA,NA,NA,hyperthermophilic,NA,NA,BSL-1
Acidilobus saccharovorans,NA,NA,NA,hyperthermophilic,NA,NA,BSL-1
Acidiluteibacter ferrifornacis,NA,NA,NA,mesophilic,NA,NA,NA
Acidimangrovimonas pyrenivorans,negative,NA,rod,NA,NA,NA,NA
Acidimangrovimonas sediminis,negative,NA,rod,NA,NA,NA,NA
Acidimicrobium ferrooxidans,positive,yes,rod,thermophilic,NA,NA,BSL-1
Acidiphilium acidophilum,NA,NA,NA,mesophilic,NA,NA,BSL-1
Acidiphilium aminilyticum,NA,NA,NA,mesophilic,NA,NA,NA
Acidiphilium angustum,NA,NA,NA,NA,NA,NA,BSL-1
Acidiphilium cryptum,NA,NA,NA,mesophilic,NA,NA,BSL-1
Acidiphilium iwatense,NA,NA,NA,NA,NA,NA,BSL-1
Acidiphilium multivorum,NA,NA,NA,mesophilic,NA,NA,NA
Acidiphilium organovorum,NA,NA,NA,NA,NA,NA,BSL-1
Acidipila rosea,NA,NA,NA,mesophilic,NA,NA,BSL-1
Acidiplasma aeolicum,NA,NA,NA,thermophilic,NA,NA,BSL-1
Acidiplasma cupricumulans,NA,NA,NA,thermophilic,NA,NA,BSL-1
Acidipropionibacterium acidipropionici,NA,NA,NA,mesophilic,NA,NA,NA
Acidipropionibacterium damnosum,NA,NA,NA,mesophilic,microaerophile,NA,BSL-1
Acidipropionibacterium jensenii,NA,NA,NA,mesophilic,NA,NA,BSL-1
Acidipropionibacterium microaerophilum,NA,NA,NA,mesophilic,NA,NA,BSL-1
Acidipropionibacterium olivae,NA,no,NA,mesophilic,NA,no,BSL-1
Acidipropionibacterium thoenii,NA,NA,NA,mesophilic,NA,NA,NA
Acidipropionibacterium virtanenii,positive,NA,rod,mesophilic,NA,NA,NA
Acidisarcina polymorpha,NA,NA,NA,NA,NA,NA,NA
Acidisoma cellulosilyticum,NA,NA,NA,psychrophilic,NA,NA,NA
Acidisoma sibiricum,negative,no,coccus,psychrophilic,NA,no,BSL-1
Acidisoma silvae,NA,NA,NA,psychrophilic,NA,NA,NA
Acidisoma tundrae,negative,no,coccus,psychrophilic,NA,no,BSL-1
Acidisphaera rubrifaciens,negative,no,coccus,mesophilic,NA,NA,BSL-1
Aciditerrimonas ferrireducens,NA,NA,NA,thermophilic,NA,NA,BSL-1
Acidithiobacillus albertensis,NA,NA,NA,mesophilic,NA,NA,BSL-1
Acidithiobacillus caldus,NA,NA,NA,mesophilic,NA,NA,BSL-1
Acidithiobacillus ferrianus,negative,yes,rod,mesophilic,NA,no,NA
Acidithiobacillus ferridurans,negative,NA,rod,mesophilic,NA,no,BSL-1
Acidithiobacillus ferriphilus,negative,yes,rod,mesophilic,NA,no,BSL-1
Acidithiobacillus ferrivorans,NA,NA,NA,mesophilic,NA,NA,BSL-1
Acidithiobacillus ferrooxidans,NA,NA,NA,mesophilic,NA,NA,NA
Acidithiobacillus sulfuriphilus,NA,yes,rod,mesophilic,NA,no,NA
Acidithiobacillus thiooxidans,NA,NA,NA,mesophilic,NA,NA,NA
Acidithrix ferrooxidans,NA,NA,NA,mesophilic,NA,NA,NA
Acidobacterium ailaaui,negative,no,rod,NA,NA,no,BSL-1
Acidobacterium capsulatum,NA,NA,NA,NA,NA,NA,NA
Acidocella aluminiidurans,negative,no,rod,mesophilic,NA,no,BSL-1
Acidocella aquatica,negative,no,rod,mesophilic,NA,no,BSL-1
Acidocella aromatica,NA,NA,NA,mesophilic,NA,NA,NA
Acidomonas methanolica,NA,NA,NA,mesophilic,NA,NA,NA
Acidothermus cellulolyticus,NA,NA,NA,thermophilic,NA,NA,NA
Acidovorax antarcticus,NA,NA,NA,NA,NA,NA,NA
Acidovorax anthurii,NA,NA,NA,mesophilic,NA,NA,NA
Acidovorax avenae,NA,NA,NA,mesophilic,NA,NA,NA
Acidovorax carolinensis,NA,NA,NA,mesophilic,NA,NA,NA
Acidovorax cattleyae,NA,NA,NA,mesophilic,NA,NA,NA
Acidovorax citrulli,NA,NA,NA,mesophilic,NA,NA,NA
Acidovorax defluvii,NA,NA,NA,mesophilic,NA,NA,NA
Acidovorax delafieldii,NA,NA,NA,mesophilic,NA,NA,NA
Acidovorax facilis,NA,NA,NA,mesophilic,NA,NA,BSL-1
Acidovorax kalamii,negative,yes,rod,NA,NA,no,NA
Acidovorax konjaci,NA,NA,NA,mesophilic,NA,NA,NA
Acidovorax lacteus,NA,NA,NA,mesophilic,NA,NA,NA
Acidovorax monticola,NA,NA,NA,NA,NA,NA,NA
Acidovorax oryzae,NA,NA,NA,mesophilic,NA,NA,NA
Acidovorax radicis,negative,yes,rod,NA,NA,NA,BSL-1
Acidovorax soli,NA,NA,NA,mesophilic,NA,NA,NA
Acidovorax temperans,NA,NA,NA,mesophilic,NA,NA,NA
Acidovorax valerianellae,NA,NA,NA,mesophilic,NA,NA,BSL-1
Acidovorax wautersii,negative,yes,rod,mesophilic,NA,NA,BSL-1
Aciduliprofundum boonei,NA,NA,NA,thermophilic,NA,NA,NA
Acinetobacter albensis,NA,NA,NA,mesophilic,NA,NA,NA
Acinetobacter amyesii,NA,NA,NA,NA,NA,NA,NA
Acinetobacter apis,NA,NA,NA,mesophilic,NA,NA,NA
Acinetobacter baretiae,NA,NA,NA,NA,NA,NA,NA
Acinetobacter baumannii,NA,NA,NA,mesophilic,NA,NA,NA
Acinetobacter baylyi,NA,NA,NA,mesophilic,NA,NA,BSL-1
Acinetobacter beijerinckii,NA,NA,NA,mesophilic,NA,NA,NA
Acinetobacter bereziniae,NA,NA,NA,mesophilic,NA,NA,NA
Acinetobacter bohemicus,NA,NA,NA,mesophilic,NA,NA,NA
Acinetobacter boissieri,negative,no,ovoid,mesophilic,NA,no,BSL-1
Acinetobacter bouvetii,NA,NA,NA,mesophilic,NA,NA,BSL-1
Acinetobacter brisouii,NA,NA,NA,mesophilic,NA,NA,BSL-1
Acinetobacter calcoaceticus,NA,NA,NA,mesophilic,NA,NA,NA
Acinetobacter celticus,negative,NA,coccus,NA,NA,NA,NA
Acinetobacter chengduensis,NA,NA,NA,mesophilic,NA,NA,NA
Acinetobacter chinensis,NA,NA,NA,NA,NA,NA,NA
Acinetobacter colistiniresistens,negative,no,coccus,mesophilic,NA,NA,NA
Acinetobacter courvalinii,NA,NA,NA,mesophilic,NA,NA,NA
Acinetobacter cumulans,NA,NA,NA,NA,NA,NA,NA
Acinetobacter defluvii,negative,no,coccus,thermophilic,NA,no,BSL-1
Acinetobacter dispersus,NA,NA,NA,mesophilic,NA,NA,NA
Acinetobacter equi,negative,no,rod,mesophilic,NA,NA,NA
Acinetobacter gandensis,NA,NA,NA,mesophilic,NA,NA,NA
Acinetobacter geminorum,NA,NA,NA,NA,NA,NA,NA
Acinetobacter gerneri,NA,NA,NA,mesophilic,NA,NA,BSL-1
Acinetobacter guerrae,NA,NA,NA,NA,NA,NA,NA
Acinetobacter guillouiae,NA,NA,NA,mesophilic,NA,NA,NA
Acinetobacter gyllenbergii,NA,NA,NA,mesophilic,NA,NA,NA
Acinetobacter haemolyticus,NA,NA,NA,mesophilic,NA,NA,NA
Acinetobacter halotolerans,NA,NA,NA,mesophilic,NA,NA,NA
Acinetobacter harbinensis,NA,NA,NA,mesophilic,NA,NA,BSL-1
Acinetobacter indicus,NA,NA,NA,mesophilic,NA,NA,BSL-1
Acinetobacter johnsonii,NA,NA,NA,mesophilic,NA,NA,NA
Acinetobacter junii,NA,NA,NA,mesophilic,NA,NA,NA
Acinetobacter kookii,NA,NA,NA,mesophilic,NA,NA,NA
Acinetobacter kyonggiensis,NA,NA,NA,mesophilic,NA,NA,NA
Acinetobacter lactucae,negative,no,NA,NA,NA,NA,NA
Acinetobacter lanii,NA,NA,NA,mesophilic,NA,NA,NA
Acinetobacter larvae,negative,no,coccus,NA,NA,no,NA
Acinetobacter libanensis,NA,NA,NA,mesophilic,NA,NA,NA
Acinetobacter lwoffii,NA,NA,NA,mesophilic,NA,NA,NA
Acinetobacter marinus,NA,NA,NA,mesophilic,NA,NA,NA
Acinetobacter modestus,NA,NA,NA,mesophilic,NA,NA,NA
Acinetobacter nectaris,negative,no,ovoid,mesophilic,NA,no,BSL-1
Acinetobacter nosocomialis,NA,NA,NA,mesophilic,NA,NA,NA
Acinetobacter oleivorans,NA,NA,NA,mesophilic,NA,NA,NA
Acinetobacter oryzae,NA,NA,NA,mesophilic,NA,NA,NA
Acinetobacter parvus,NA,NA,NA,mesophilic,NA,NA,NA
Acinetobacter piscicola,negative,no,rod,NA,NA,no,NA
Acinetobacter pittii,NA,NA,NA,mesophilic,NA,NA,NA
Acinetobacter plantarum,NA,NA,NA,mesophilic,NA,NA,NA
Acinetobacter pollinis,NA,NA,NA,NA,NA,NA,NA
Acinetobacter populi,NA,NA,NA,NA,NA,NA,BSL-1
Acinetobacter portensis,NA,NA,NA,NA,NA,NA,NA
Acinetobacter pragensis,negative,no,coccus,NA,NA,NA,NA
Acinetobacter proteolyticus,negative,NA,coccus,mesophilic,NA,NA,NA
Acinetobacter pseudolwoffii,NA,NA,NA,mesophilic,NA,NA,NA
Acinetobacter pullicarnis,negative,no,coccus,mesophilic,NA,NA,NA
Acinetobacter pullorum,NA,NA,NA,mesophilic,NA,NA,NA
Acinetobacter puyangensis,NA,NA,NA,NA,NA,NA,NA
Acinetobacter qingfengensis,NA,NA,NA,mesophilic,NA,NA,NA
Acinetobacter radioresistens,NA,NA,NA,mesophilic,NA,NA,NA
Acinetobacter rathckeae,NA,NA,NA,NA,NA,NA,NA
Acinetobacter refrigeratoris,NA,NA,NA,mesophilic,NA,NA,NA
Acinetobacter rudis,NA,NA,NA,mesophilic,NA,NA,NA
Acinetobacter schindleri,NA,NA,NA,mesophilic,NA,NA,NA
Acinetobacter seifertii,NA,NA,NA,mesophilic,NA,NA,NA
Acinetobacter seohaensis,NA,NA,NA,mesophilic,NA,NA,NA
Acinetobacter septicus,NA,NA,NA,mesophilic,NA,NA,NA
Acinetobacter shaoyimingii,NA,NA,NA,mesophilic,NA,NA,NA
Acinetobacter sichuanensis,negative,no,coccus,mesophilic,NA,no,NA
Acinetobacter silvestris,NA,NA,NA,NA,NA,NA,NA
Acinetobacter soli,NA,NA,NA,mesophilic,NA,NA,NA
Acinetobacter stercoris,NA,NA,NA,mesophilic,NA,NA,NA
Acinetobacter tandoii,NA,NA,NA,mesophilic,NA,NA,NA
Acinetobacter terrae,NA,NA,NA,NA,NA,NA,NA
Acinetobacter terrestris,NA,NA,NA,NA,NA,NA,NA
Acinetobacter tjernbergiae,NA,NA,NA,mesophilic,NA,NA,BSL-1
Acinetobacter towneri,NA,NA,NA,mesophilic,NA,NA,BSL-1
Acinetobacter ursingii,NA,NA,NA,mesophilic,NA,NA,NA
Acinetobacter variabilis,NA,NA,NA,mesophilic,NA,NA,NA
Acinetobacter venetianus,NA,NA,NA,mesophilic,NA,NA,NA
Acinetobacter vivianii,NA,NA,NA,mesophilic,NA,NA,NA
Acinetobacter wanghuae,NA,NA,NA,mesophilic,NA,NA,NA
Acinetobacter wuhouensis,negative,NA,rod,mesophilic,NA,NA,NA
Acrocarpospora catenulata,NA,NA,NA,NA,NA,NA,NA
Acrocarpospora corrugata,NA,NA,NA,mesophilic,NA,NA,BSL-1
Acrocarpospora macrocephala,NA,NA,NA,mesophilic,NA,NA,BSL-1
Acrocarpospora phusangensis,positive,NA,NA,mesophilic,NA,NA,BSL-1
Acrocarpospora pleiomorpha,NA,NA,NA,mesophilic,NA,NA,BSL-1
Actibacter haliotis,NA,NA,NA,mesophilic,NA,NA,NA
Actibacter sediminis,negative,no,rod,NA,NA,no,NA
Actibacterium atlanticum,NA,NA,NA,NA,NA,NA,BSL-1
Actibacterium lipolyticum,NA,NA,NA,NA,NA,NA,BSL-1
Actibacterium mucosum,NA,no,ovoid,mesophilic,NA,NA,BSL-1
Actibacterium naphthalenivorans,NA,NA,NA,mesophilic,NA,NA,BSL-1
Actibacterium pelagium,negative,no,rod,NA,NA,no,BSL-1
Actibacterium ureilyticum,negative,yes,rod,NA,NA,NA,NA
Actimicrobium antarcticum,NA,NA,NA,psychrophilic,NA,NA,NA
Actinacidiphila soli,positive,no,rod,mesophilic,NA,yes,NA
Actinacidiphilus wushanense,NA,NA,NA,mesophilic,NA,NA,NA
Actinoacidiphilus directus,NA,NA,NA,mesophilic,NA,NA,NA
Actinoacidiphilus flexuosus,NA,NA,NA,mesophilic,NA,NA,NA
Actinoacidiphilus helicoides,NA,NA,NA,mesophilic,NA,NA,NA
Actinoallomurus acaciae,positive,NA,NA,mesophilic,NA,yes,BSL-1
Actinoallomurus acanthiterrae,positive,no,ovoid,mesophilic,NA,yes,BSL-1
Actinoallomurus amamiensis,NA,no,rod,mesophilic,NA,yes,BSL-1
Actinoallomurus bryophytorum,NA,NA,NA,mesophilic,NA,NA,BSL-1
Actinoallomurus caesius,NA,no,rod,mesophilic,NA,yes,BSL-1
Actinoallomurus coprocola,NA,no,rod,mesophilic,NA,yes,BSL-1
Actinoallomurus fulvus,positive,NA,NA,mesophilic,NA,NA,BSL-1
Actinoallomurus iriomotensis,NA,no,rod,mesophilic,NA,yes,BSL-1
Actinoallomurus liliacearum,NA,NA,NA,mesophilic,NA,NA,BSL-1
Actinoallomurus luridus,NA,no,rod,mesophilic,NA,yes,BSL-1
Actinoallomurus oryzae,positive,NA,NA,mesophilic,NA,yes,BSL-1
Actinoallomurus purpureus,NA,no,rod,mesophilic,NA,yes,BSL-1
Actinoallomurus radicium,NA,NA,NA,mesophilic,NA,yes,BSL-1
Actinoallomurus spadix,positive,NA,NA,mesophilic,NA,NA,BSL-1
Actinoallomurus vinaceus,NA,NA,NA,mesophilic,NA,NA,BSL-1
Actinoallomurus yoronensis,NA,no,rod,mesophilic,NA,yes,BSL-1
Actinoalloteichus caeruleus,NA,NA,NA,NA,NA,NA,NA
Actinoalloteichus fjordicus,NA,NA,NA,mesophilic,NA,NA,NA
Actinoalloteichus hoggarensis,NA,NA,NA,mesophilic,NA,NA,BSL-1
Actinoalloteichus hymeniacidonis,NA,NA,NA,mesophilic,NA,NA,BSL-1
Actinoalloteichus nanshanensis,NA,NA,NA,mesophilic,NA,NA,BSL-1
Actinoalloteichus spitiensis,positive,NA,NA,mesophilic,NA,no,BSL-1
Actinobacillus anseriformium,NA,NA,NA,mesophilic,microaerophile,NA,NA
Actinobacillus arthritidis,NA,NA,NA,mesophilic,microaerophile,NA,BSL-2
Actinobacillus capsulatus,NA,NA,NA,mesophilic,NA,NA,NA
Actinobacillus delphinicola,NA,NA,NA,mesophilic,microaerophile,NA,BSL-2
Actinobacillus equuli,NA,NA,NA,NA,NA,NA,NA
Actinobacillus hominis,NA,NA,NA,mesophilic,NA,NA,NA
Actinobacillus indolicus,NA,NA,NA,mesophilic,NA,NA,BSL-1
Actinobacillus lignieresii,NA,NA,NA,mesophilic,NA,NA,NA
Actinobacillus minor,NA,NA,NA,NA,NA,NA,NA
Actinobacillus pleuropneumoniae,NA,NA,NA,mesophilic,NA,NA,NA
Actinobacillus porcinus,NA,NA,NA,mesophilic,microaerophile,NA,BSL-1
Actinobacillus porcitonsillarum,NA,NA,NA,NA,NA,NA,NA
Actinobacillus rossii,NA,NA,NA,mesophilic,NA,NA,NA
Actinobacillus salpingitidis,NA,NA,NA,NA,NA,NA,NA
Actinobacillus scotiae,NA,NA,NA,mesophilic,microaerophile,NA,BSL-2
Actinobacillus seminis,NA,NA,NA,mesophilic,NA,NA,NA
Actinobacillus succinogenes,NA,NA,NA,mesophilic,NA,NA,BSL-1
Actinobacillus suis,NA,NA,NA,mesophilic,NA,NA,NA
Actinobacillus ureae,NA,NA,NA,mesophilic,NA,NA,NA
Actinobacillus vicugnae,negative,NA,NA,NA,NA,NA,NA
Actinobaculum lemanensis,NA,NA,NA,mesophilic,NA,NA,NA
Actinobaculum massiliense,NA,NA,NA,mesophilic,NA,NA,NA
Actinobaculum suis,NA,NA,NA,NA,NA,NA,NA
Actinobaculum timonae,NA,NA,NA,mesophilic,NA,NA,NA
Actinocatenispora comari,NA,NA,NA,NA,NA,NA,NA
Actinocatenispora rupis,positive,NA,NA,mesophilic,NA,yes,BSL-1
Actinocatenispora sera,NA,no,NA,mesophilic,NA,yes,BSL-1
Actinocatenispora thailandica,NA,NA,NA,mesophilic,NA,NA,NA
Actinocorallia aurantiaca,NA,NA,NA,mesophilic,NA,NA,BSL-1
Actinocorallia aurea,NA,NA,NA,mesophilic,NA,NA,NA
Actinocorallia cavernae,positive,NA,rod,mesophilic,NA,yes,BSL-1
Actinocorallia glomerata,NA,NA,NA,mesophilic,NA,NA,BSL-1
Actinocorallia herbida,NA,NA,NA,NA,NA,NA,NA
Actinocorallia lasiicapitis,positive,no,NA,NA,NA,yes,BSL-1
Actinocorallia libanotica,NA,NA,NA,mesophilic,NA,NA,BSL-1
Actinocorallia longicatena,NA,NA,NA,mesophilic,NA,no,BSL-1
Actinocorallia populi,positive,NA,NA,NA,NA,yes,NA
Actinocrinis puniceicyclus,positive,no,NA,NA,NA,yes,BSL-1
Actinocrispum wychmicini,positive,no,NA,NA,NA,no,BSL-1
Actinokineospora acnipugnans,positive,no,rod,NA,NA,yes,NA
Actinokineospora alba,positive,NA,NA,mesophilic,NA,yes,BSL-1
Actinokineospora auranticolor,NA,NA,NA,mesophilic,NA,NA,BSL-1
Actinokineospora baliensis,positive,yes,rod,mesophilic,NA,yes,BSL-1
Actinokineospora bangkokensis,positive,no,rod,mesophilic,NA,yes,BSL-1
