Species,anthropic/claude-3-sonnet,anthropic/claude-sonnet-4,deepseek/deepseek-chat-v3-0324,deepseek/deepseek-r1-0528,google/gemini-2.5-flash,google/gemini-2.5-flash-lite,google/gemma-3-27b-it,meta-llama/llama-3.3-70b-instruct,mistralai/mistral-nemo,moonshotai/kimi-k2,openai/gpt-4,openai/gpt-4.1,openai/gpt-4.1-nano,openai/gpt-4o,openai/gpt-4o-mini,openai/gpt-5,openai/gpt-5-nano,openai/gpt-oss-120b,openai/gpt-oss-20b,openai/o4-mini,perplexity/sonar-reasoning-pro,x-ai/grok-3-mini
Streptococcus mutans,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,No Result,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Moderate,Extensive
Proteus mirabilis,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,No Result,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive
Campylobacter jejuni,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,No Result,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive
Agrobacterium tumefaciens,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,No Result,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive
Pseudomonas fluorescens,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,No Result,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive
Bacillus anthracis,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,No Result,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive
Serratia marcescens,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,No Result,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive
Streptococcus thermophilus,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,No Result,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive
Pseudomonas putida,Moderate,Extensive,Moderate,Extensive,Extensive,Extensive,Moderate,Moderate,Moderate,Extensive,Moderate,No Result,Extensive,Moderate,Moderate,Extensive,Extensive,Extensive,Extensive,Moderate,Extensive,Moderate
Bifidobacterium longum,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,No Result,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive
Legionella pneumophila,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,No Result,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive
Lactococcus lactis,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,No Result,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive
Streptococcus agalactiae,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,No Result,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive
Yersinia pestis,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,No Result,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive
Enterobacter cloacae,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,No Result,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive
Pseudomonas syringae,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,No Result,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive
Bifidobacterium bifidum,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,No Result,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,No Result,Extensive,Extensive,Extensive
Clostridioides difficile,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,No Result,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive
Moraxella catarrhalis,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Moderate,Extensive,Extensive,No Result,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive
Proteus vulgaris,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,No Result,Extensive,Extensive,Extensive,Extensive,Moderate,Extensive,Extensive,Extensive,Extensive,Extensive
Aeromonas hydrophila,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Moderate,No Result,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive
Yersinia enterocolitica,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Moderate,No Result,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive
Pasteurella multocida,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,No Result,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive
Vibrio parahaemolyticus,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,No Result,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,No Result,Extensive,Extensive,Extensive
Gardnerella vaginalis,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,No Result,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,No Result,Extensive,Extensive,Extensive
Xanthomonas campestris,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,No Result,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive
Bacillus amyloliquefaciens,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,No Result,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Limited,Extensive
Shigella flexneri,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,No Result,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,No Result,Extensive,Extensive,Extensive
Burkholderia cepacia,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,No Result,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive
Corynebacterium diphtheriae,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,No Result,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,No Result,Extensive,Extensive,Extensive
Stenotrophomonas maltophilia,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,No Result,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,No Result,Extensive,Extensive,Extensive
Klebsiella oxytoca,Moderate,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,No Result,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive
Clostridium tetani,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,No Result,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,No Result,Extensive,Extensive,Extensive
Ralstonia solanacearum,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,No Result,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive
Lactobacillus gasseri,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Moderate,Extensive,Extensive,Extensive,Moderate,No Result,Extensive,Moderate,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,NA,Extensive
Bifidobacterium animalis,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,No Result,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive
Xylella fastidiosa,Moderate,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,No Result,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive
Micrococcus luteus,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Moderate,No Result,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive
Corynebacterium glutamicum,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,No Result,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,No Result,Extensive,Extensive,Extensive
Shigella sonnei,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,No Result,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,NA,Extensive
Streptococcus suis,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,No Result,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive
Shigella dysenteriae,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,No Result,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive
Burkholderia pseudomallei,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,No Result,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive
Streptomyces coelicolor,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,No Result,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive
Aggregatibacter actinomycetemcomitans,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Moderate,No Result,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive
Staphylococcus saprophyticus,Moderate,Extensive,Moderate,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Moderate,No Result,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive
Bordetella bronchiseptica,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,No Result,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive
Brucella melitensis,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,No Result,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive
[Haemophilus] ducreyi,Moderate,Moderate,Moderate,Extensive,Extensive,Extensive,Extensive,Extensive,Moderate,Extensive,Moderate,No Result,Extensive,Extensive,Moderate,Extensive,Moderate,Extensive,Extensive,Extensive,Moderate,Extensive
Deinococcus radiodurans,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,No Result,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive
Streptococcus mitis,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,No Result,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Moderate,Extensive
Streptococcus salivarius,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Moderate,No Result,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive
Vibrio harveyi,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Moderate,No Result,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive
Xanthomonas oryzae,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,No Result,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive
Erwinia amylovora,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,No Result,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive
Azospirillum brasilense,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Moderate,No Result,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive
Prevotella intermedia,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Moderate,Extensive,Moderate,No Result,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Moderate,Extensive
Leptospira interrogans,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,No Result,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive
Sinorhizobium meliloti,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,No Result,Extensive,Extensive,Extensive,Inference Failed,Extensive,Extensive,No Result,Extensive,Extensive,Extensive
Yersinia pseudotuberculosis,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,No Result,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,No Result,Extensive,Moderate,Extensive
Streptomyces griseus,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,No Result,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,No Result,Extensive,Moderate,Extensive
Bacteroides thetaiotaomicron,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,No Result,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive
Faecalibacterium prausnitzii,Extensive,Extensive,Moderate,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,No Result,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive
Thermotoga maritima,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,No Result,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive
Actinobacillus pleuropneumoniae,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Moderate,No Result,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive
Cutibacterium acnes,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,No Result,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive
Listeria innocua,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Moderate,Moderate,Extensive,Extensive,Moderate,No Result,Extensive,Moderate,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Moderate,Extensive
Campylobacter coli,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,No Result,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive
Staphylococcus haemolyticus,Moderate,Extensive,Moderate,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Moderate,No Result,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Moderate,Extensive
Chromobacterium violaceum,Moderate,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,No Result,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Moderate,Extensive
Eikenella corrodens,Moderate,Extensive,Moderate,Extensive,Extensive,Extensive,Moderate,Moderate,Moderate,Extensive,Moderate,No Result,Extensive,Moderate,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Moderate,Extensive
Bacillus velezensis,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Moderate,No Result,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive
Mannheimia haemolytica,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Moderate,Extensive,Moderate,No Result,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive
Alcaligenes faecalis,Moderate,Extensive,Extensive,Extensive,Extensive,Extensive,Moderate,Extensive,Moderate,Extensive,Moderate,No Result,Extensive,Moderate,Extensive,Extensive,Moderate,Moderate,Moderate,Extensive,Moderate,Extensive
Vibrio anguillarum,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Moderate,No Result,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,NA,Extensive
Pediococcus pentosaceus,Extensive,Extensive,Moderate,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Moderate,No Result,Extensive,Moderate,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,NA,Extensive
Clostridium acetobutylicum,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,No Result,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive
Thermus aquaticus,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,No Result,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive
Treponema denticola,Extensive,Extensive,Moderate,Extensive,Extensive,Extensive,Extensive,Extensive,Moderate,Extensive,Moderate,No Result,Extensive,Extensive,Extensive,Extensive,Extensive,Moderate,Extensive,Extensive,Extensive,Extensive
Mycobacterium marinum,Moderate,Extensive,Moderate,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Moderate,No Result,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive
Geobacillus stearothermophilus,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Moderate,No Result,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Moderate,Extensive
Tannerella forsythia,Extensive,Extensive,Moderate,Extensive,Extensive,Extensive,Extensive,Extensive,Moderate,Extensive,Extensive,No Result,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Moderate,Extensive
Burkholderia cenocepacia,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,No Result,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive
Lactobacillus crispatus,Moderate,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Moderate,Extensive,Moderate,No Result,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive
Enterococcus hirae,Extensive,Moderate,Moderate,Extensive,Extensive,Extensive,Extensive,Moderate,Extensive,Extensive,Moderate,No Result,Extensive,Moderate,Moderate,Extensive,Extensive,Extensive,Extensive,Extensive,Limited,Extensive
Xanthomonas axonopodis,Extensive,Extensive,Moderate,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,No Result,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive
Rhodopseudomonas palustris,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,No Result,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive
Cronobacter sakazakii,Moderate,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,No Result,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Moderate,Extensive
Myxococcus xanthus,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,No Result,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive
Pantoea agglomerans,Extensive,Extensive,Moderate,Extensive,Extensive,Extensive,Extensive,Extensive,Moderate,Extensive,Extensive,No Result,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive
