Sample,openai/gpt-5-nano,openai/gpt-5,x-ai/grok-4,perplexity/sonar-reasoning-pro,openai/gpt-oss-120b,openai/o1-mini,microsoft/phi-4,openai/o3,x-ai/grok-3-mini-beta,x-ai/grok-3-mini,deepseek/deepseek-chat,deepseek/deepseek-r1,x-ai/grok-3-beta,x-ai/grok-3,openai/o4-mini,openai/o3-mini,google/gemini-2.5-flash,openai/gpt-4,google/gemini-2.0-flash-lite-001,deepseek/deepseek-chat-v3-0324,openai/o3-mini-high,qwen/qwen3-14b,openai/gpt-4o-mini-search-preview,perplexity/r1-1776,openai/gpt-4.1-nano,mistralai/mistral-7b-instruct-v0.3,openai/gpt-4o,meta-llama/llama-3.3-70b-instruct,x-ai/grok-2-1212,anthropic/claude-3.7-sonnet:thinking,openai/gpt-oss-20b,deepseek/deepseek-r1-0528,nousresearch/hermes-3-llama-3.1-70b,google/gemini-2.5-pro,google/gemini-2.5-pro-preview,anthropic/claude-sonnet-4,perplexity/sonar,meta-llama/llama-4-scout,moonshotai/kimi-k2,anthropic/claude-3.5-sonnet,google/gemini-2.0-flash-001,openai/gpt-4.1,anthropic/claude-3.7-sonnet,deepseek/deepseek-chat-v3.1,google/gemini-2.5-flash-lite,meta-llama/llama-3-70b-instruct,openai/gpt-4o-mini,google/gemma-3-12b-it,google/gemma-3-4b-it,anthropic/claude-3.5-haiku,anthropic/claude-3-haiku:beta,meta-llama/llama-3.1-8b-instruct,google/gemma-3-27b-it,anthropic/claude-3-sonnet,mistralai/mistral-nemo,meta-llama/llama-3-8b-instruct,meta-llama/llama-3.2-3b-instruct
Winter Flame,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Limited,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,Limited,Limited
Ember Wind,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Inference Failed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,Moderate,NA
Crystal Shore,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Limited,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,NA
Shadow Frost,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Extensive,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Limited,Limited,Limited
Ocean Mist,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,NA,NA,NA,Moderate,Moderate,Moderate
Twilight Spark,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Inference Failed,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lunar Glow,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Limited,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,Limited,Limited
Starlight Trail,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Limited,Moderate,NA
Amber Field,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Inference Failed,NA,NA,NA,NA,NA,Moderate,Moderate,Inference Failed
Frost Wave,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Limited,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Limited,Moderate,Limited
Sunlit Path,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,Moderate,NA
Ember Grove,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Inference Failed,NA,NA,Moderate,Moderate,Moderate
Misty Cove,NA,NA,NA,NA,NA,sNA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,Limited,Moderate
Thunder Cloud,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Limited,NA,NA,NA,NA,NA,Limited,Moderate,Limited
Sapphire Lake,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Extensive,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,Moderate,NA
Obsidian Night,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Inference Failed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Extensive,NA,NA,NA,NA,Inference Failed,NA,NA,NA,NA,NA,Extensive,NA,Limited
Whispering Sands,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,Limited,Moderate
Radiant Forest,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,Moderate
Diamond Ridge,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Limited,Moderate,Moderate
Opal Waters,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Limited,NA,NA,NA,NA,Moderate
Frozen Summit,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Extensive,Moderate,Limited
Stormy Vista,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Extensive,NA,NA,Extensive,Moderate,Moderate
Fiery Depths,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,Moderate,Limited
Celestial Path,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Limited,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,NA,Limited
Verdant Cliffs,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Limited,Moderate
Azure Depths,NA,NA,NA,Limited,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Inference Failed,NA,NA,Limited,NA,NA,NA,Limited,NA,Inference Failed
Twilight Meadow,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Limited,Limited,Moderate
Whisper Wind,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Limited,NA,Moderate
Emerald Valley,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Inference Failed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Limited,Moderate,Moderate
Cobalt Plains,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Limited,Moderate,Moderate
Silver Pine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,NA,NA,NA,NA,NA,NA,NA,Inference Failed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Limited,Moderate,Moderate
Jade Harbor,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Extensive,Moderate,NA
Ruby Sands,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Limited,Moderate,Moderate
Ironwood Forest,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Extensive,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,Moderate,NA
Sapphire Peak,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Limited,NA,NA,NA,NA,NA,NA,NA,Inference Failed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Extensive,Moderate,NA
Coral Reef,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Extensive,NA,NA,Extensive,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Extensive,NA,NA,NA,NA,NA,NA,NA,NA,NA,Extensive,NA,NA,Moderate,Limited,NA,NA,Limited,Moderate,Moderate,Moderate
Ivory Coast,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Inference Failed,NA,Limited,Limited,NA,NA,NA,Moderate,Moderate,NA
Onyx Hall,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Inference Failed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Limited,NA,Inference Failed
Goldenrod Hill,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,NA,NA,NA,NA,NA,NA,Moderate,Moderate
Midnight Sun,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Limited,NA,Moderate
Luminaricella splendens,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Limited,NA,NA,Limited,NA,NA,NA,Limited,Limited,Limited,Limited,NA,Limited,Limited,Limited,NA,Moderate,Limited,NA,Limited,Limited,Limited,Limited,Moderate,Moderate
Veloxigenium rapidus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Limited,Limited,NA,NA,NA,NA,Limited,Limited,Limited,Limited,NA,NA,Limited,NA,NA,NA,Limited,Limited,Moderate,Moderate,Limited,Moderate,Moderate,Limited
Frigusoma glaciei,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Limited,NA,Limited,NA,Limited,NA,NA,NA,NA,Limited,NA,NA,Limited,NA,NA,Limited,NA,Limited,Limited,Limited,Limited,Limited,Limited,NA,Limited,Limited,Moderate,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Limited
Ignicellula ardor,NA,NA,NA,NA,NA,Limited,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Limited,NA,Limited,NA,NA,NA,Limited,NA,NA,NA,NA,Limited,Limited,Limited,NA,NA,Limited,Limited,Limited,Limited,Limited,NA,Limited,Limited,Limited,NA,Limited,Limited,Limited,Limited,Extensive,Limited,NA,Limited,NA,Limited,Moderate,Limited,Limited,Limited,Limited
Solispira lumina,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Limited,NA,NA,NA,NA,Limited,NA,NA,NA,NA,NA,NA,Limited,Limited,Limited,Limited,NA,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Moderate
Aurorabacillus albus,NA,NA,NA,NA,NA,Limited,NA,NA,NA,NA,NA,NA,NA,NA,Limited,NA,NA,NA,Limited,NA,NA,NA,Limited,Limited,Limited,NA,NA,Moderate,Limited,Limited,NA,Limited,Limited,Limited,Limited,Limited,Moderate,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Moderate,Limited,Moderate,Moderate,Limited,Limited,Moderate,Moderate,Limited,Moderate,Limited,Moderate
Aquavibrio unda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Limited,Limited,Limited,NA,Moderate,NA,Limited,NA,NA,NA,NA,NA,Limited,Limited,Limited,Limited,Limited,Limited,NA,Moderate,Limited,Limited,Limited,NA,Limited,Limited,Moderate,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Moderate,Limited,Moderate,Limited,Moderate
Ventiella zephyri,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Limited,Limited,Limited,Limited,NA,Limited,Limited,Limited,NA,Limited,NA,Limited,Limited,Limited,Limited,Moderate,Limited,Limited,Limited,Moderate
Arboricola silvae,NA,NA,NA,NA,Limited,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Limited,Limited,NA,NA,NA,NA,NA,NA,NA,NA,Limited,Limited,NA,Moderate,Limited,NA,NA,NA,Limited,Limited,Limited,Limited,Limited,NA,Limited,Moderate,Limited,Limited,NA,Limited,Limited,Moderate,Limited,Limited,Limited,Limited,Moderate
Petraflexus saxi,NA,NA,NA,NA,NA,NA,NA,Limited,NA,NA,NA,NA,NA,NA,Limited,Limited,NA,Limited,NA,NA,Limited,NA,NA,NA,NA,NA,Limited,NA,Limited,NA,Limited,NA,Limited,Limited,Inference Failed,Limited,NA,Limited,NA,Limited,Limited,Limited,Limited,Limited,Limited,Limited,NA,Limited,Moderate,Limited,NA,Moderate,Limited,Limited,NA,Limited,Limited
Luxbacillus fulgor,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Inference Failed,NA,NA,NA,NA,NA,NA,Limited,NA,Limited,Limited,NA,Limited,NA,Limited,Limited,NA,Moderate,Limited,Limited,NA,Limited,Limited,Limited,Limited,Limited,Moderate
Nixicoccus nivalis,NA,NA,NA,Limited,NA,NA,Extensive,NA,NA,NA,NA,NA,NA,NA,NA,Limited,NA,NA,NA,NA,NA,NA,NA,Limited,Limited,NA,Limited,Limited,NA,NA,Limited,NA,Limited,Limited,NA,Limited,NA,NA,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Moderate,Moderate,Limited,Limited,Limited,Moderate
Calidibacter caloris,NA,NA,NA,NA,Limited,NA,NA,Limited,Limited,Limited,NA,Limited,NA,NA,Limited,NA,Limited,NA,NA,Limited,NA,Moderate,NA,Limited,NA,Moderate,Limited,Limited,Limited,Limited,Limited,Limited,NA,Limited,Limited,Limited,NA,NA,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Moderate,Moderate,Limited,Limited,Limited,Moderate,Limited,Moderate,Limited,Moderate
Sidereum ferrum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Inference Failed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Limited,Limited,NA,Limited,Limited,Limited,Limited,NA,Limited,Moderate,Limited,Limited
