Sample,Mean Score,Hallucination Share Across Models (%),NA_Count,Limited_Count,Moderate_Count,Extensive_Count,NoResult_Count,InferenceFailed_Count,Models_Evaluated
Siderosoma enteritidis,2.667,19.3,46,5,4,2,0,0,57
Fluminibacter meningitidis,2.544,33.3,38,12,7,0,0,0,57
Glaeciabacter megaterium,2.456,28.1,41,4,9,3,0,0,57
Ferrivibrio vulnificus,2.193,42.1,33,9,8,7,0,0,57
Temporibacter coli,2.632,24.6,42,8,5,1,0,1,57
Radiobacillus difficile,2.614,21.1,45,2,10,0,0,0,57
Ignispirillum jirovecii,2.526,38.6,35,18,3,1,0,0,57
Niveococcus pneumoniae,2.561,15.8,48,0,2,7,0,0,57
Heliosoma epidermidis,2.825,15.8,48,8,1,0,0,0,57
Aquaspira mirabilis,2.316,50.9,28,20,8,1,0,0,57
Glaciigenium thermoglucosidasius,2.105,59.6,23,21,9,4,0,0,57
Caelumcoccus sporogenes,2.719,22.8,44,10,3,0,0,0,57
Lunabacter monocytogenes,2.684,15.8,48,4,1,4,0,0,57
Terrafermentum diphtheriae,2.789,15.8,48,6,3,0,0,0,57
Phosphoribacter salmonis,2.298,56.1,25,25,6,1,0,0,57
Oralevi gingivalis,2.421,31.6,39,8,5,5,0,0,57
Aestusbacter haemolyticus,2.456,47.4,30,23,4,0,0,0,57
Nubibacter suis,2.456,45.6,31,21,5,0,0,0,57
Calorella botulinum,2.544,21.1,45,3,4,5,0,0,57
Tenebrisoma palustris,2.632,33.3,38,17,2,0,0,0,57
Polarisfermentum maltophilia,2.526,33.3,36,11,8,0,0,2,57
Salumispira marcescens,2.509,24.6,43,4,6,4,0,0,57
Nocticella legionellae,2.509,43.9,32,22,3,0,0,0,57
Firmamentibacter cloacae,2.175,57.9,24,22,8,3,0,0,57
