Binomial name	NCBI_ID	Motility	Gram staining	Aerophilicity	Extreme environment tolerance	Biofilm formation	Animal pathogenicity	Biosafety level	Health association	Host association	Plant pathogenicity	Spore formation	Hemolysis	Cell shape	Member of WA subset	Superkingdom	Phylum	Class	Order	Family	Genus	Species	FTP path	Fasta file
Nonomuraea turkmeniaca	103838	FALSE	gram stain positive	aerobic	FALSE	NA	NA	biosafety level 1	NA	NA	FALSE	TRUE	NA	bacillus	TRUE	Bacteria	Actinomycetota	Actinomycetes	Streptosporangiales	Streptosporangiaceae	Nonomuraea	Nonomuraea turkmeniaca	ftp.ncbi.nlm.nih.gov/genomes/all/GCF/005/889/735/GCF_005889735.1_ASM588973v1	GCF_005889735.1_ASM588973v1_genomic.fasta
Bradyrhizobium murdochi	1038859	TRUE	gram stain negative	aerobic	FALSE	NA	FALSE	biosafety level 1	NA	NA	FALSE	FALSE	NA	bacillus	TRUE	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Nitrobacteraceae	Bradyrhizobium	Bradyrhizobium murdochi	ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/472/965/GCA_000472965.1_ASM47296v1	GCA_000472965.1_ASM47296v1_genomic.fasta
Streptomonospora salina	104205	FALSE	gram stain positive	aerobic	NA	NA	NA	biosafety level 1	NA	NA	FALSE	TRUE	NA	NA	FALSE	Bacteria	Actinomycetota	Actinomycetes	Streptosporangiales	Nocardiopsaceae	Streptomonospora	Streptomonospora salina	ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/204/715/GCA_014204715.1_ASM1420471v1	GCA_014204715.1_ASM1420471v1_genomic.fasta
Streptomyces scopiformis	104206	FALSE	gram stain positive	aerobic	FALSE	NA	FALSE	biosafety level 1	NA	FALSE	FALSE	TRUE	NA	tail	TRUE	Bacteria	Actinomycetota	Actinomycetes	Kitasatosporales	Streptomycetaceae	Streptomyces	Streptomyces scopiformis	NA	NA
Tenacibaculum mesophilum	104268	TRUE	gram stain negative	aerobic	NA	NA	NA	biosafety level 1	NA	NA	NA	FALSE	NA	NA	FALSE	Bacteria	Bacteroidota	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Tenacibaculum	Tenacibaculum mesophilum	ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/362/255/GCF_009362255.1_ASM936225v1	GCF_009362255.1_ASM936225v1_genomic.fasta
Streptomyces zagrosensis	1042984	FALSE	gram stain positive	aerobic	FALSE	NA	NA	biosafety level 1	NA	FALSE	FALSE	TRUE	NA	tail	TRUE	Bacteria	Actinomycetota	Actinomycetes	Kitasatosporales	Streptomycetaceae	Streptomyces	Streptomyces zagrosensis	ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/203/645/GCA_014203645.1_ASM1420364v1	GCA_014203645.1_ASM1420364v1_genomic.fasta
Streptomyces ziwulingensis	1045501	FALSE	gram stain positive	aerobic	FALSE	NA	NA	biosafety level 1	NA	NA	FALSE	TRUE	NA	tail	TRUE	Bacteria	Actinomycetota	Actinomycetes	Kitasatosporales	Streptomycetaceae	Streptomyces	Streptomyces ziwulingensis	NA	NA
Methanothermobacter crinale	1045764	FALSE	gram stain positive	anaerobic	NA	NA	NA	biosafety level 1	NA	NA	FALSE	FALSE	NA	bacillus	FALSE	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanothermobacter	Methanothermobacter crinale	NA	NA
Chitinophaga filiformis	104663	FALSE	gram stain negative	aerobic	NA	NA	NA	biosafety level 1	NA	NA	FALSE	NA	NA	NA	FALSE	Bacteria	Bacteroidota	Chitinophagia	Chitinophagales	Chitinophagaceae	Chitinophaga	Chitinophaga filiformis	ftp.ncbi.nlm.nih.gov/genomes/all/GCA/023/100/805/GCA_023100805.1_ASM2310080v1	GCA_023100805.1_ASM2310080v1_genomic.fasta
Marichromatium gracile	1048	TRUE	gram stain negative	anaerobic	NA	NA	NA	biosafety level 1	NA	NA	FALSE	FALSE	NA	bacillus	FALSE	Bacteria	Pseudomonadota	Gammaproteobacteria	Chromatiales	Chromatiaceae	Marichromatium	Marichromatium gracile	ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/343/155/GCF_004343155.1_ASM434315v1	GCF_004343155.1_ASM434315v1_genomic.fasta
Nocardiopsis coralliicola	1048357	FALSE	gram stain positive	aerobic	NA	NA	NA	biosafety level 1	NA	NA	FALSE	TRUE	NA	NA	FALSE	Bacteria	Actinomycetota	Actinomycetes	Streptosporangiales	Nocardiopsaceae	Nocardiopsis	Nocardiopsis coralliicola	NA	NA
Aliidiomarina shirensis	1048642	TRUE	gram stain negative	NA	NA	NA	NA	biosafety level 1	NA	NA	NA	FALSE	NA	NA	FALSE	Bacteria	Pseudomonadota	Gammaproteobacteria	Alteromonadales	Idiomarinaceae	Aliidiomarina	Aliidiomarina shirensis	ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/987/345/GCF_003987345.1_ASM398734v1	GCF_003987345.1_ASM398734v1_genomic.fasta
Saccharothrix stipae	1049182	FALSE	gram stain positive	aerobic	NA	NA	NA	biosafety level 1	NA	NA	FALSE	TRUE	NA	NA	FALSE	Bacteria	Actinomycetota	Actinomycetes	Pseudonocardiales	Pseudonocardiaceae	Saccharothrix	Saccharothrix stipae	NA	NA
Limosilactobacillus frumenti	104955	FALSE	gram stain positive	anaerobic	FALSE	NA	FALSE	biosafety level 1	NA	NA	FALSE	FALSE	NA	NA	TRUE	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Limosilactobacillus	Limosilactobacillus frumenti	ftp.ncbi.nlm.nih.gov/genomes/all/GCF/008/876/665/GCF_008876665.1_ASM887666v1	GCF_008876665.1_ASM887666v1_genomic.fasta
Kocuria indica	1049583	FALSE	gram stain positive	aerobic	FALSE	NA	NA	biosafety level 1	NA	NA	FALSE	FALSE	NA	NA	FALSE	Bacteria	Actinomycetota	Actinomycetes	Micrococcales	Micrococcaceae	Kocuria	Kocuria indica	ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/328/535/GCF_004328535.1_ASM432853v1	GCF_004328535.1_ASM432853v1_genomic.fasta
Salinispora oceanensis	1050199	FALSE	gram stain positive	aerobic	FALSE	NA	FALSE	biosafety level 1	NA	FALSE	FALSE	TRUE	NA	NA	TRUE	Bacteria	Actinomycetota	Actinomycetes	Micromonosporales	Micromonosporaceae	Salinispora	Salinispora oceanensis	ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/383/575/GCA_000383575.1_ASM38357v1	GCA_000383575.1_ASM38357v1_genomic.fasta
Saccharothrix tamanrassetensis	1051531	FALSE	gram stain positive	aerobic	NA	NA	NA	biosafety level 1	NA	NA	FALSE	TRUE	NA	bacillus	FALSE	Bacteria	Actinomycetota	Actinomycetes	Pseudonocardiales	Pseudonocardiaceae	Saccharothrix	Saccharothrix tamanrassetensis	ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/203/665/GCA_014203665.1_ASM1420366v1	GCA_014203665.1_ASM1420366v1_genomic.fasta
Clostridium punense	1054297	TRUE	gram stain positive	anaerobic	FALSE	NA	NA	biosafety level 1	NA	NA	FALSE	TRUE	NA	bacillus	TRUE	Bacteria	Bacillota	Clostridia	Eubacteriales	Clostridiaceae	Clostridium	Clostridium punense	ftp.ncbi.nlm.nih.gov/genomes/all/GCA/017/874/425/GCA_017874425.1_ASM1787442v1	GCA_017874425.1_ASM1787442v1_genomic.fasta
Pseudomonas karstica	1055468	TRUE	gram stain negative	aerobic	FALSE	NA	NA	biosafety level 1	NA	FALSE	NA	FALSE	NA	bacillus	TRUE	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas karstica	ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/707/515/GCF_009707515.1_ASM970751v1	GCF_009707515.1_ASM970751v1_genomic.fasta
Pseudomonas spelaei	1055469	TRUE	gram stain negative	aerobic	FALSE	NA	NA	biosafety level 1	NA	NA	NA	FALSE	NA	bacillus	FALSE	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas spelaei	ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/724/245/GCF_009724245.1_ASM972424v1	GCF_009724245.1_ASM972424v1_genomic.fasta
Gordonia phosphorivorans	1056982	FALSE	gram stain positive	aerobic	NA	NA	NA	biosafety level 1	NA	NA	FALSE	FALSE	NA	NA	FALSE	Bacteria	Actinomycetota	Actinomycetes	Mycobacteriales	Gordoniaceae	Gordonia	Gordonia phosphorivorans	NA	NA
Aeromonas bestiarum	105751	TRUE	gram stain negative	aerobic	FALSE	NA	TRUE	biosafety level 1	NA	NA	FALSE	FALSE	gamma	bacillus	TRUE	Bacteria	Pseudomonadota	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas	Aeromonas bestiarum	ftp.ncbi.nlm.nih.gov/genomes/all/GCF/028/751/155/GCF_028751155.1_ASM2875115v1	GCF_028751155.1_ASM2875115v1_genomic.fasta
Cereibacter sphaeroides	1063	TRUE	gram stain negative	aerobic	NA	NA	NA	biosafety level 1	NA	FALSE	NA	TRUE	NA	bacillus	FALSE	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Paracoccaceae	Cereibacter	Cereibacter sphaeroides	ftp.ncbi.nlm.nih.gov/genomes/all/GCA/012/647/365/GCA_012647365.1_ASM1264736v1	GCA_012647365.1_ASM1264736v1_genomic.fasta
Frankia casuarinae	106370	FALSE	gram stain positive	aerobic	FALSE	NA	NA	biosafety level 1	NA	TRUE	FALSE	TRUE	NA	NA	TRUE	Bacteria	Actinomycetota	Actinomycetes	Frankiales	Frankiaceae	Frankia	Frankia casuarinae	ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/013/345/GCA_000013345.1_ASM1334v1	GCA_000013345.1_ASM1334v1_genomic.fasta
Streptosporangium subroseum	106412	FALSE	gram stain positive	aerobic	NA	NA	NA	biosafety level 1	NA	NA	FALSE	TRUE	NA	NA	FALSE	Bacteria	Actinomycetota	Actinomycetes	Streptosporangiales	Streptosporangiaceae	Streptosporangium	Streptosporangium subroseum	ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/188/345/GCA_900188345.1_IMG-taxon_2671180041_annotated_assembly	GCA_900188345.1_IMG-taxon_2671180041_annotated_assembly_genomic.fasta
Ensifer adhaerens	106592	TRUE	gram stain negative	aerobic	FALSE	NA	NA	biosafety level 1	NA	FALSE	FALSE	FALSE	NA	bacillus	TRUE	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Rhizobiaceae	Ensifer	Ensifer adhaerens	ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/697/965/GCA_000697965.2_ASM69796v2	GCA_000697965.2_ASM69796v2_genomic.fasta
Rickettsia asembonensis	1068590	FALSE	gram stain negative	aerobic	FALSE	NA	TRUE	NA	NA	TRUE	FALSE	FALSE	NA	bacillus	TRUE	Bacteria	Pseudomonadota	Alphaproteobacteria	Rickettsiales	Rickettsiaceae	Rickettsia	Rickettsia asembonensis	ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/828/125/GCA_000828125.2_ASM82812v2	GCA_000828125.2_ASM82812v2_genomic.fasta
Pedobacter kyungheensis	1069985	FALSE	gram stain negative	aerobic	NA	NA	NA	biosafety level 1	NA	NA	FALSE	FALSE	NA	bacillus	FALSE	Bacteria	Bacteroidota	Sphingobacteriia	Sphingobacteriales	Sphingobacteriaceae	Pedobacter	Pedobacter kyungheensis	ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/812/965/GCA_000812965.1_ASM81296v1	GCA_000812965.1_ASM81296v1_genomic.fasta
Herbidospora soli	1070425	FALSE	gram stain positive	aerobic	NA	NA	NA	biosafety level 1	NA	NA	FALSE	TRUE	NA	coccus	FALSE	Bacteria	Actinomycetota	Actinomycetes	Streptosporangiales	Streptosporangiaceae	Herbidospora	Herbidospora soli	NA	NA
Halarchaeum solikamskense	1073081	FALSE	gram stain negative	aerobic	NA	NA	NA	biosafety level 1	NA	NA	FALSE	FALSE	NA	NA	FALSE	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae	Halarchaeum	Halarchaeum solikamskense	ftp.ncbi.nlm.nih.gov/genomes/all/GCA/017/874/695/GCA_017874695.1_ASM1787469v1	GCA_017874695.1_ASM1787469v1_genomic.fasta
Methylobacterium fujisawaense	107400	TRUE	gram stain negative	aerobic	NA	NA	NA	biosafety level 1	NA	NA	FALSE	FALSE	NA	bacillus	FALSE	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Methylobacteriaceae	Methylobacterium	Methylobacterium fujisawaense	ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/138/435/GCA_014138435.1_ASM1413843v1	GCA_014138435.1_ASM1413843v1_genomic.fasta
Companilactobacillus heilongjiangensis	1074467	FALSE	gram stain positive	aerobic	NA	NA	NA	biosafety level 1	NA	NA	FALSE	FALSE	NA	NA	FALSE	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Companilactobacillus	Companilactobacillus heilongjiangensis	ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/831/645/GCA_000831645.3_ASM83164v3	GCA_000831645.3_ASM83164v3_genomic.fasta
Rhodopseudomonas palustris	1076	TRUE	gram stain negative	aerobic	FALSE	TRUE	FALSE	biosafety level 1	NA	FALSE	FALSE	FALSE	NA	bacillus	TRUE	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Nitrobacteraceae	Rhodopseudomonas	Rhodopseudomonas palustris	ftp.ncbi.nlm.nih.gov/genomes/all/GCA/016/584/445/GCA_016584445.1_ASM1658444v1	GCA_016584445.1_ASM1658444v1_genomic.fasta
