Model	Organization	Publication date	Reference	Parameters	Training compute (FLOP)	Training compute notes	Training dataset	Approach	Confidence	Abstract	Epochs	Benchmark data	Model accessibility	Country (of organization)	Last modified	Training cloud compute vendor	Training data center	Archived links	Batch size	Batch size notes	Organization categorization
GPT-4b-micro	OpenAI,Retro Biosciences	2025-01-17	OpenAI’s new model, called GPT-4b micro, was trained to suggest ways to re-engineer the protein factors to increase their function.			GPT-4b is a micro model compared to the other ChatGPT options as it was only trained on protein data.	Unspecified unreleased		Unknown	OpenAI’s new model, called GPT-4b micro, was trained to suggest ways to re-engineer the protein factors to increase their function. According to OpenAI, researchers used the model’s suggestions to change two of the Yamanaka factors to be more than 50 times as effective—at least according to some preliminary measures.   “Just across the board, the proteins seem better than what the scientists were able to produce by themselves,” says John Hallman, an OpenAI researcher.			Unreleased	United States of America,United States of America	2025-05-01 14:42:42+00:00						Industry,Industry
GPT-5	OpenAI	2025-08-07	GPT-5 System Card						Unknown					United States of America	2025-08-22 14:16:42+00:00						Industry
gpt-5-mini	OpenAI	2025-08-07	GPT-5 System Card						Unknown					United States of America	2025-08-22 14:16:58+00:00						Industry
gpt-5-nano	OpenAI	2025-08-07	GPT-5 System Card						Unknown					United States of America	2025-08-22 14:17:04+00:00						Industry
gpt-oss-120b	OpenAI	2025-08-05	gpt-oss-120b & gpt-oss-20b Model Card	116830000000	4.94E+24	"The training run for gpt-oss-120b required 2.1 million H100-hours to complete" (2.1e6 hours)*(1,979 H100 FLOP/s)*(30% utilization)*(60*60) = 4.49e24 They also do post training similar to o3, which we assume adds at least 10% as much compute, so we multiply this estimate by 1.1 to get 4.94e24  			Confident				Open weights (unrestricted)	United States of America	2025-08-11 14:56:58+00:00						Industry
gpt-oss-20b	OpenAI	2025-08-05	gpt-oss-120b & gpt-oss-20b Model Card	20910000000	5.49E+23	"The training run for gpt-oss-120b required 2.1 million H100-hours to complete, with gpt-oss-20b needing almost 10x fewer" assuming "almost 10x fewer" means ~9x fewer: 4.94e24/9 = 5.49e23			Confident				Open weights (unrestricted)	United States of America	2025-08-11 14:56:58+00:00						Industry
o3-pro	OpenAI	2025-06-10							Unknown					United States of America	2025-08-11 14:56:58+00:00						Industry
o4-mini	OpenAI	2025-04-16	Introducing OpenAI o3 and o4-mini: Our smartest and most capable models to date with full tool access			We can’t make a precise estimate, but seems unlikely to exceed 10^25 FLOP. We think active parameter count is 10-30B. This would require >55T tokens to reach 10^25 FLOP at the large size, i.e. well beyond 10x overtraining relative to Chinchilla.	Unspecified unreleased		Unknown	Today, we’re releasing OpenAI o3 and o4-mini, the latest in our o-series of models trained to think for longer before responding. These are the smartest models we’ve released to date, representing a step change in ChatGPT's capabilities for everyone from curious users to advanced researchers. For the first time, our reasoning models can agentically use and combine every tool within ChatGPT—this includes searching the web, analyzing uploaded files and other data with Python, reasoning deeply about visual inputs, and even generating images. Critically, these models are trained to reason about when and how to use tools to produce detailed and thoughtful answers in the right output formats, typically in under a minute, to solve more complex problems. This allows them to tackle multi-faceted questions more effectively, a step toward a more agentic ChatGPT that can independently execute tasks on your behalf. The combined power of state-of-the-art reasoning with full tool access translates into significantly stronger performance across academic benchmarks and real-world tasks, setting a new standard in both intelligence and usefulness. <..> OpenAI o4-mini is a smaller model optimized for fast, cost-efficient reasoning—it achieves remarkable performance for its size and cost, particularly in math, coding, and visual tasks. It is the best-performing benchmarked model on AIME 2024 and 2025. Although access to a computer meaningfully reduces the difficulty of the AIME exam, we also found it notable that o4-mini achieves 99.5% pass@1 (100% consensus@8) on AIME 2025 when given access to a Python interpreter. While these results should not be compared to the performance of models without tool access, they are one example of how effectively o4-mini leverages available tools; o3 shows similar improvements on AIME 2025 from tool use (98.4% pass@1, 100% consensus@8).			API access	United States of America	2025-07-01 12:36:40+00:00						Industry
GPT-4.1	OpenAI	2025-04-14	Introducing GPT-4.1 in the API: A new series of GPT models featuring major improvements on coding, instruction following, and long context—plus our first-ever nano model.			Flagship model from a leading developer in mid-2025; very likely it used >1e25 FLOP.	Unspecified unreleased		Unknown	Today, we’re launching three new models in the API: GPT‑4.1, GPT‑4.1 mini, and GPT‑4.1 nano. These models outperform GPT‑4o and GPT‑4o mini across the board, with major gains in coding and instruction following. They also have larger context windows—supporting up to 1 million tokens of context—and are able to better use that context with improved long-context comprehension. They feature a refreshed knowledge cutoff of June 2024.  GPT‑4.1 excels at the following industry standard measures:   Coding: GPT‑4.1 scores 54.6% on SWE-bench Verified, improving by 21.4%abs over GPT‑4o and 26.6%abs over GPT‑4.5—making it a leading model for coding. Instruction following: On Scale’s MultiChallenge⁠(opens in a new window) benchmark, a measure of instruction following ability, GPT‑4.1 scores 38.3%, a 10.5%abs increase over GPT‑4o. Long context: On Video-MME⁠(opens in a new window), a benchmark for multimodal long context understanding, GPT‑4.1 sets a new state-of-the-art result—scoring 72.0% on the long, no subtitles category, a 6.7%abs improvement over GPT‑4o.			API access	United States of America	2025-06-30 17:51:55+00:00						Industry
GPT-4.1-mini	OpenAI	2025-04-14	Introducing GPT-4.1 in the API: A new series of GPT models featuring major improvements on coding, instruction following, and long context—plus our first-ever nano model.				Unspecified unreleased		Unknown	GPT‑4.1 mini is a significant leap in small model performance, even beating GPT‑4o in many benchmarks. It matches or exceeds GPT‑4o in intelligence evals while reducing latency by nearly half and reducing cost by 83%. 			API access	United States of America	2025-05-30 18:50:46+00:00						Industry
GPT-4.1-nano	OpenAI	2025-04-14	Introducing GPT-4.1 in the API: A new series of GPT models featuring major improvements on coding, instruction following, and long context—plus our first-ever nano model.				Unspecified unreleased		Unknown	For tasks that demand low latency, GPT‑4.1 nano is our fastest and cheapest model available. It delivers exceptional performance at a small size with its 1 million token context window, and scores 80.1% on MMLU, 50.3% on GPQA, and 9.8% on Aider polyglot coding—even higher than GPT‑4o mini. It’s ideal for tasks like classification or autocompletion.			API access	United States of America	2025-05-30 18:50:47+00:00						Industry
GPT-4.5	OpenAI	2025-02-27	Introducing GPT-4.5		2.10E+26	Speculative estimate based on GPT-N typically incrementing  by about 100x each version number (https://www.youtube.com/watch?v=6nJZopACRuQ) and 10x each 0.5 version number (https://x.com/karpathy/status/1895213020982472863).  OpenAI said GPT-4.5 was a “new order of magnitude in compute”, which they could have meant somewhat loosely. But seems quite likely >1e26 based on that statement, plus 4.5's high inference costs, and <5e26 because OpenAI probably didn’t have a substantially >100k H100 cluster in mid-2024.  In the "Pretraining GPT-4.5" interview, they state they used multi-cluster training: https://youtu.be/6nJZopACRuQ?si=FFJC-gEmGPZjvoPM&t=617 	Unspecified unreleased		Speculative	We advance AI capabilities by scaling two complementary paradigms: unsupervised learning and reasoning. These represent two axes of intelligence.  Unsupervised learning increases world model accuracy and intuition. Models like GPT‑3.5, GPT‑4, and GPT‑4.5 advance this paradigm. Scaling reasoning⁠, on the other hand, teaches models to think and produce a chain of thought before they respond, allowing them to tackle complex STEM or logic problems. Models like OpenAI o1 and OpenAI o3‑mini advance this paradigm. GPT‑4.5 is an example of scaling unsupervised learning by scaling up compute and data, along with architecture and optimization innovations. GPT‑4.5 was trained on Microsoft Azure AI supercomputers. The result is a model that has broader knowledge and a deeper understanding of the world, leading to reduced hallucinations and more reliability across a wide range of topics.			API access	United States of America	2025-08-01 16:23:42+00:00	Azure AI					Industry
o3-mini	OpenAI	2025-01-31	Pushing the frontier of cost-effective reasoning.			We can’t make a precise estimate, but seems unlikely to exceed 10^25 FLOP. We think active parameter count is 10-30B. This would require >55T tokens to reach 10^25 FLOP at the large size, i.e. well beyond 10x overtraining relative to Chinchilla.	Unspecified unreleased		Unknown	We’re releasing OpenAI o3-mini, the newest, most cost-efficient model in our reasoning series, available in both ChatGPT and the API today. Previewed in December 2024⁠, this powerful and fast model advances the boundaries of what small models can achieve, delivering exceptional STEM capabilities—with particular strength in science, math, and coding—all while maintaining the low cost and reduced latency of OpenAI o1-mini.  OpenAI o3-mini is our first small reasoning model that supports highly requested developer features including function calling⁠(opens in a new window), Structured Outputs⁠(opens in a new window), and developer messages⁠(opens in a new window), making it production-ready out of the gate. Like OpenAI o1-mini and OpenAI o1-preview, o3-mini will support streaming⁠(opens in a new window). Also, developers can choose between three reasoning effort⁠(opens in a new window) options—low, medium, and high—to optimize for their specific use cases. This flexibility allows o3-mini to “think harder” when tackling complex challenges or prioritize speed when latency is a concern. o3-mini does not support vision capabilities, so developers should continue using OpenAI o1 for visual reasoning tasks. o3-mini is rolling out in the Chat Completions API, Assistants API, and Batch API starting today to select developers in API usage tiers 3-5⁠			API access	United States of America	2025-07-01 12:36:41+00:00						Industry
o3	OpenAI	2024-12-20	Our most powerful reasoning model with leading performance on coding, math, science, and vision				Unspecified unreleased		Unknown	Today, we’re releasing OpenAI o3 and o4-mini, the latest in our o-series of models trained to think for longer before responding. These are the smartest models we’ve released to date, representing a step change in ChatGPT's capabilities for everyone from curious users to advanced researchers. For the first time, our reasoning models can agentically use and combine every tool within ChatGPT—this includes searching the web, analyzing uploaded files and other data with Python, reasoning deeply about visual inputs, and even generating images. Critically, these models are trained to reason about when and how to use tools to produce detailed and thoughtful answers in the right output formats, typically in under a minute, to solve more complex problems. This allows them to tackle multi-faceted questions more effectively, a step toward a more agentic ChatGPT that can independently execute tasks on your behalf. The combined power of state-of-the-art reasoning with full tool access translates into significantly stronger performance across academic benchmarks and real-world tasks, setting a new standard in both intelligence and usefulness. <..> OpenAI o3 is our most powerful reasoning model that pushes the frontier across coding, math, science, visual perception, and more. It sets a new SOTA on benchmarks including Codeforces, SWE-bench (without building a custom model-specific scaffold), and MMMU. It’s ideal for complex queries requiring multi-faceted analysis and whose answers may not be immediately obvious. It performs especially strongly at visual tasks like analyzing images, charts, and graphics. In evaluations by external experts, o3 makes 20 percent fewer major errors than OpenAI o1 on difficult, real-world tasks—especially excelling in areas like programming, business/consulting, and creative ideation. Early testers highlighted its analytical rigor as a thought partner and emphasized its ability to generate and critically evaluate novel hypotheses—particularly within biology, math, and engineering contexts.  ________ model was announced 2024/12/20  from ARS technica: "On Friday, during Day 12 of its "12 days of OpenAI," OpenAI CEO Sam Altman announced its latest AI "reasoning" models, o3 and o3-mini, which build upon the o1 models launched earlier this year. The company is not releasing them yet but will make these models available for public safety testing and research access today."  https://arstechnica.com/information-technology/2024/12/openai-announces-o3-and-o3-mini-its-next-simulated-reasoning-models/  model was released 2025/04/16			API access	United States of America	2025-06-25 18:41:17+00:00						Industry
o1	OpenAI	2024-12-05	Introducing ChatGPT Pro: Broadening usage of frontier AI.				Unspecified unreleased		Unknown	We've developed a new series of AI models designed to spend more time thinking before they respond. They can reason through complex tasks and solve harder problems than previous models in science, coding, and math.  Today, we are releasing the first of this series in ChatGPT and our API. This is a preview and we expect regular updates and improvements. Alongside this release, we’re also including evaluations for the next update, currently in development.			API access	United States of America	2025-08-19 20:56:36+00:00						Industry
o1-mini	OpenAI	2024-09-12	Learning to reason with LLMs			We can’t make a precise estimate, but seems unlikely to exceed 10^25 FLOP. We think active parameter count is 10-30B. This would require >55T tokens to reach 10^25 FLOP at the large size, i.e. well beyond 10x overtraining relative to Chinchilla.	Unspecified unreleased		Unknown	We've developed a new series of AI models designed to spend more time thinking before they respond. They can reason through complex tasks and solve harder problems than previous models in science, coding, and math.  ...  We’re also releasing OpenAI o1-mini, a faster, cheaper reasoning model that is particularly effective at coding. As a smaller model, o1-mini is 80% cheaper than o1-preview, making it a powerful, cost-effective model for applications that require reasoning but not broad world knowledge.			API access	United States of America	2025-08-11 14:22:24+00:00						Industry
gpt-4o-mini	OpenAI	2024-07-18	GPT-4o mini: advancing cost-efficient intelligence		7.36E+24	Training compute estimated from benchmark scores.  90% CI [3.23e+24, 2.05e+25]	Unspecified unreleased		Speculative	OpenAI is committed to making intelligence as broadly accessible as possible. Today, we're announcing GPT-4o mini, our most cost-efficient small model. We expect GPT-4o mini will significantly expand the range of applications built with AI by making intelligence much more affordable. GPT-4o mini scores 82% on MMLU and currently outperforms GPT-41 on chat preferences in LMSYS leaderboard(opens in a new window). It is priced at 15 cents per million input tokens and 60 cents per million output tokens, an order of magnitude more affordable than previous frontier models and more than 60% cheaper than GPT-3.5 Turbo.			API access	United States of America	2025-08-11 14:22:24+00:00						Industry
Hermes 3 405B	Nous Research	2024-08-14	Hermes 3 Technical Report	405000000000			Hermes 3		Confident	Instruct (or “chat”) tuned models have become the primary way in which most people interact with large language models. As opposed to “base” or “foundation” models, instruct-tuned models are optimized to respond to imperative statements. We present Hermes 3, a neutrally-aligned generalist instruct and tool use model with strong reasoning and creative abilities. Its largest version, Hermes 3 405B, achieves state of the art performance among open weight models on several public benchmarks. The weights for all models are available at https://huggingface.co/NousResearch.	4		Open weights (restricted use)	United States of America	2025-06-24 13:12:29+00:00						Industry
Hermes 3 70B	Nous Research	2024-08-14	Hermes 3 Technical Report	70000000000			Hermes 3		Confident	Instruct (or “chat”) tuned models have become the primary way in which most people interact with large language models. As opposed to “base” or “foundation” models, instruct-tuned models are optimized to respond to imperative statements. We present Hermes 3, a neutrally-aligned generalist instruct and tool use model with strong reasoning and creative abilities. Its largest version, Hermes 3 405B, achieves state of the art performance among open weight models on several public benchmarks. The weights for all models are available at https://huggingface.co/NousResearch.	3		Open weights (restricted use)	United States of America	2025-06-24 13:12:29+00:00						Industry
Hermes 3 8B	Nous Research	2024-08-14	Hermes 3 Technical Report	8000000000			Hermes 3		Confident	Instruct (or “chat”) tuned models have become the primary way in which most people interact with large language models. As opposed to “base” or “foundation” models, instruct-tuned models are optimized to respond to imperative statements. We present Hermes 3, a neutrally-aligned generalist instruct and tool use model with strong reasoning and creative abilities. Its largest version, Hermes 3 405B, achieves state of the art performance among open weight models on several public benchmarks. The weights for all models are available at https://huggingface.co/NousResearch.	4		Open weights (restricted use)	United States of America	2025-06-24 13:12:29+00:00						Industry
Kimi-K2	Moonshot	2025-07-11	Kimi K2: Open Agentic Intelligence	1000000000000	2.98E+24	6 FLOP / parameter / token * 32 * 10^9 activated parameters * 15.5 * 10^12 tokens = 2.976e+24 FLOP	Unspecified unreleased		Confident	Kimi K2 is our latest Mixture-of-Experts model with 32 billion activated parameters and 1 trillion total parameters. It achieves state-of-the-art performance in frontier knowledge, math, and coding among non-thinking models. But it goes further — meticulously optimized for agentic tasks, Kimi K2 does not just answer; it acts. And now, it is within your reach. Today, we are open-sourcing: Kimi-K2-Base: The foundation model, a strong start for researchers and builders who want full control for fine-tuning and custom solutions. Kimi-K2-Instruct: The post-trained model best for drop-in, general-purpose chat and agentic experiences. It is a reflex-grade model without long thinking. With Kimi K2, advanced agentic intelligence is more open and accessible than ever. We can't wait to see what you build.			Open weights (restricted use)	China	2025-08-11 17:19:30+00:00						Industry
Kimi-1.6	Moonshot	2025-02-27					Unspecified unreleased		Unknown				Unreleased	China	2025-07-14 07:40:55+00:00						Industry
Mistral-Small-3.1	Mistral AI	2025-03-17	Mistral Small 3.1: the best model in its weight class.	24000000000		At least 1.152e+24 FLOP (base model Mistral Small 3 training compute)	Unspecified unreleased		Confident	Building on Mistral Small 3, this new model comes with improved text performance, multimodal understanding, and an expanded context window of up to 128k tokens. The model outperforms comparable models like Gemma 3 and GPT-4o Mini, while delivering inference speeds of 150 tokens per second. Lightweight: Mistral Small 3.1 can run on a single RTX 4090 or a Mac with 32GB RAM. This makes it a great fit for on-device use cases.  Fast-response conversational assistance: Ideal for virtual assistants and other applications where quick, accurate responses are essential.   Low-latency function calling: Capable of rapid function execution within automated or agentic workflows  Fine-tuning for specialized domains: Mistral Small 3.1 can be fine-tuned to specialize in specific domains, creating accurate subject matter experts. This is particularly useful in fields like legal advice, medical diagnostics, and technical support.  Foundation for advanced reasoning: We continue to be impressed by how the community builds on top of open Mistral models. Just in the last few weeks, we have seen several excellent reasoning models built on Mistral Small 3, such as the DeepHermes 24B by Nous Research. To that end, we are releasing both base and instruct checkpoints for Mistral Small 3.1 to enable further downstream customization of the model.  Mistral Small 3.1 can be used across various enterprise and consumer applications that require multimodal understanding, such as document verification, diagnostics, on-device image processing, visual inspection for quality checks, object detection in security systems, image-based customer support, and general purpose assistance.			Open weights (unrestricted)	France	2025-07-02 12:16:12+00:00						Industry
Mistral-Small-3	Mistral AI	2025-01-30	Mistral Small 3, a latency-optimized 24B-parameter model released under the Apache 2.0 license.	24000000000	1.15E+24	6ND = 6*8T tokens * 24B parameters = 1.152e+24 FLOP	Unspecified unreleased		Confident	Mistral Small 3 is competitive with larger models such as Llama 3.3 70B or Qwen 32B, and is an excellent open replacement for opaque proprietary models like GPT4o-mini. Mistral Small 3 is on par with Llama 3.3 70B instruct, while being more than 3x faster on the same hardware.  Mistral Small 3 is a pre-trained and instructed model catered to the ‘80%’ of generative AI tasks—those that require robust language and instruction following performance, with very low latency.  We designed this new model to saturate performance at a size suitable for local deployment. Particularly, Mistral Small 3 has far fewer layers than competing models, substantially reducing the time per forward pass. At over 81% accuracy on MMLU and 150 tokens/s latency, Mistral Small is currently the most efficient model of its category.  We’re releasing both a pretrained and instruction-tuned checkpoint under Apache 2.0. The checkpoints can serve as a powerful base for accelerating progress. Note that Mistral Small 3 is neither trained with RL nor synthetic data, so is earlier in the model production pipeline than models like Deepseek R1 (a great and complementary piece of open-source technology!). It can serve as a great base model for building accrued reasoning capacities. We look forward to seeing how the open-source community adopts and customizes it.			Open weights (unrestricted)	France	2025-08-01 16:23:40+00:00						Industry
Ministral-3B	Mistral AI	2024-10-16	Un Ministral, des Ministraux Introducing the world’s best edge models.	3000000000			Unspecified unreleased		Confident	On the first anniversary of the release of Mistral 7B, the model that revolutionized independent frontier AI innovation for millions, we are proud to introduce two new state-of-the-art models for on-device computing and at-the-edge use cases. We call them les Ministraux: Ministral 3B and Ministral 8B.  These models set a new frontier in knowledge, commonsense, reasoning, function-calling, and efficiency in the sub-10B category, and can be used or tuned to a variety of uses, from orchestrating agentic workflows to creating specialist task workers. Both models support up to 128k context length (currently 32k on vLLM) and Ministral 8B has a special interleaved sliding-window attention pattern for faster and memory-efficient inference.  Ministral 3B is a state-of-the-art Small Language Model (SLM) optimized for edge computing and on-device applications. As it is designed for low-latency and compute-efficient inference, it it also the perfect model for standard GenAI applications that have real-time requirements and high-volume.			API access	France	2025-08-11 14:22:24+00:00						Industry
