====================================================================================================
CLAUDE-3.5-SONNET BIOSAFETY: FULL COMPARISON
====================================================================================================

Fetching predictions for 'anthropic/claude-3.5-sonnet'...
Fetching ground truth biosafety levels...
Loaded 3741 ground-truth species with biosafety labels.

Building comparison table...
Total ground-truth species compared: 3741
Status counts:
  match: 3252
  mismatch: 456
  missing: 33

Mismatches by ground-truth → predicted:
  BSL-1 → BSL-2: 368
  BSL-2 → BSL-1: 79
  BSL-1 → BSL-3: 6
  BSL-2 → BSL-3: 3

FULL TABLE (species, GT, Claude, status):
Species                                  |   GT    | Claude  |  Status  
Actinomadura physcomitrii                |  BSL-1  |  BSL-1  |   match  
Actinomadura roseirufa                   |  BSL-1  |  BSL-1  |   match  
Actinomadura rubrisoli                   |  BSL-1  |  BSL-1  |   match  
Actinomadura scrupuli                    |  BSL-1  |  BSL-1  |   match  
Actinomadura sporangiiformans            |  BSL-1  |  BSL-1  |   match  
Actinomadura vinacea                     |  BSL-1  |  BSL-1  |   match  
Actinomadura violacea                    |  BSL-1  |  BSL-1  |   match  
Actinomadura viridis                     |  BSL-1  |  BSL-1  |   match  
Actinomadura xylanilytica                |  BSL-1  |  BSL-1  |   match  
Actinomadura yumaensis                   |  BSL-1  |  BSL-1  |   match  
Actinomyces bowdenii                     |  BSL-2  |  BSL-2  |   match  
Actinomyces graevenitzii                 |  BSL-2  |  BSL-2  |   match  
Actinomyces haliotis                     |  BSL-1  |  BSL-1  |   match  
Actinomyces johnsonii                    |  BSL-2  |  BSL-1  | mismatch 
Actinomyces naeslundii                   |  BSL-2  |  BSL-2  |   match  
Actinomyces oris                         |  BSL-2  |  BSL-2  |   match  
Actinomyces radicidentis                 |  BSL-2  |  BSL-2  |   match  
Actinomyces viscosus                     |  BSL-2  |  BSL-2  |   match  
Actinomyces vulturis                     |  BSL-1  |  BSL-2  | mismatch 
Actinophytocola algeriensis              |  BSL-1  |  BSL-1  |   match  
Actinophytocola burenkhanensis           |  BSL-1  |  BSL-1  |   match  
Actinophytocola gilvus                   |  BSL-1  |  BSL-1  |   match  
Actinophytocola oryzae                   |  BSL-1  |  BSL-1  |   match  
Actinoplanes globisporus                 |  BSL-1  |  BSL-1  |   match  
Actinoplanes missouriensis               |  BSL-1  |  BSL-1  |   match  
Actinopolymorpha cephalotaxi             |  BSL-1  |  BSL-1  |   match  
Actinopolymorpha pittospori              |  BSL-1  |  BSL-1  |   match  
Actinopolymorpha rutila                  |  BSL-1  |  BSL-1  |   match  
Actinopolymorpha singaporensis           |  BSL-1  |  BSL-1  |   match  
Actinorectispora metalli                 |  BSL-1  |  BSL-1  |   match  
Actinotignum sanguinis                   |  BSL-2  |  BSL-2  |   match  
Advenella incenata                       |  BSL-2  |  BSL-1  | mismatch 
Advenella kashmirensis                   |  BSL-1  |  BSL-1  |   match  
Aerococcus urinae                        |  BSL-1  |  BSL-2  | mismatch 
Aeromonas allosaccharophila              |  BSL-2  |  BSL-2  |   match  
Aeromonas aquatica                       |  BSL-1  |  BSL-2  | mismatch 
Aeromonas australiensis                  |  BSL-1  |  BSL-2  | mismatch 
Aeromonas bestiarum                      |  BSL-1  |  BSL-2  | mismatch 
Aeromonas bivalvium                      |  BSL-1  |  BSL-2  | mismatch 
Aeromonas caviae                         |  BSL-2  |  BSL-2  |   match  
Aeromonas dhakensis                      |  BSL-2  |  BSL-2  |   match  
Aeromonas encheleia                      |  BSL-1  |  BSL-2  | mismatch 
Aeromonas enteropelogenes                |  BSL-2  |  BSL-2  |   match  
Aeromonas eucrenophila                   |  BSL-1  |  BSL-2  | mismatch 
Aeromonas finlandensis                   |  BSL-1  |  BSL-2  | mismatch 
Aeromonas fluvialis                      |  BSL-1  |  BSL-2  | mismatch 
Aeromonas hydrophila                     |  BSL-2  |  BSL-2  |   match  
Aeromonas jandaei                        |  BSL-2  |  BSL-2  |   match  
Aeromonas lacus                          |  BSL-1  |  BSL-2  | mismatch 
Aeromonas lusitana                       |  BSL-1  |  BSL-2  | mismatch 
Aeromonas media                          |  BSL-1  |  BSL-2  | mismatch 
Aeromonas molluscorum                    |  BSL-1  |  BSL-2  | mismatch 
Aeromonas piscicola                      |  BSL-1  |  BSL-2  | mismatch 
Aeromonas popoffii                       |  BSL-1  |  BSL-2  | mismatch 
Aeromonas rivipollensis                  |  BSL-1  |  BSL-2  | mismatch 
Aeromonas rivuli                         |  BSL-1  |  BSL-2  | mismatch 
Aeromonas sanarellii                     |  BSL-1  |  BSL-2  | mismatch 
Aeromonas schubertii                     |  BSL-2  |  BSL-2  |   match  
Aeromonas simiae                         |  BSL-1  |  BSL-2  | mismatch 
Aeromonas sobria                         |  BSL-2  |  BSL-2  |   match  
Aeromonas taiwanensis                    |  BSL-1  |  BSL-2  | mismatch 
Aeromonas tecta                          |  BSL-1  |  BSL-2  | mismatch 
Aerosticca soli                          |  BSL-1  |  BSL-1  |   match  
Aestuariimicrobium kwangyangense         |  BSL-1  |  BSL-1  |   match  
Aestuariimicrobium soli                  |  BSL-1  |  BSL-1  |   match  
Afipia carboxidovorans                   |  BSL-2  |  BSL-1  | mismatch 
Aggregatibacter actinomycetemcomitans    |  BSL-2  |  BSL-2  |   match  
Aggregatibacter kilianii                 |  BSL-2  |  BSL-2  |   match  
Agrobacterium burrii                     |  BSL-1  |  BSL-1  |   match  
Agrobacterium leguminum                  |  BSL-1  |  BSL-1  |   match  
Agrobacterium pusense                    |  BSL-1  |  BSL-1  |   match  
Agrobacterium salinitolerans             |  BSL-1  |  BSL-1  |   match  
Agrobacterium tumefaciens                |  BSL-1  |  BSL-1  |   match  
Agromyces allii                          |  BSL-1  |  BSL-1  |   match  
Agromyces aureus                         |  BSL-1  |  BSL-1  |   match  
Agromyces insulae                        |  BSL-1  |  BSL-1  |   match  
Agromyces italicus                       |  BSL-1  |  BSL-1  |   match  
Agromyces lapidis                        |  BSL-1  |  BSL-1  |   match  
Agromyces salentinus                     |  BSL-1  |  BSL-1  |   match  
Agromyces seonyuensis                    |  BSL-1  |  BSL-1  |   match  
Agromyces terreus                        |  BSL-1  |  BSL-1  |   match  
Alcaligenes endophyticus                 |  BSL-1  |  BSL-1  |   match  
Alcaligenes faecalis                     |  BSL-2  |  BSL-2  |   match  
Alcanivorax xiamenensis                  |  BSL-1  |  BSL-1  |   match  
Algoriphagus machipongonensis            |  BSL-1  |  BSL-1  |   match  
Aliarcobacter butzleri                   |  BSL-2  |  BSL-2  |   match  
Alicyclobacillus acidoterrestris         |  BSL-1  |  BSL-1  |   match  
Alicyclobacillus fastidiosus             |  BSL-1  |  BSL-1  |   match  
Alicyclobacillus hesperidum              |  BSL-1  |  BSL-1  |   match  
Alicyclobacillus sacchari                |  BSL-1  |  BSL-1  |   match  
Alicyclobacillus suci                    |  BSL-1  |  BSL-1  |   match  
Aliivibrio finisterrensis                |  BSL-1  |  BSL-1  |   match  
Aliivibrio fischeri                      |  BSL-1  |  BSL-1  |   match  
Aliivibrio logei                         |  BSL-1  |  BSL-2  | mismatch 
Aliivibrio salmonicida                   |  BSL-1  |  BSL-2  | mismatch 
Aliivibrio sifiae                        |  BSL-1  |  BSL-1  |   match  
Aliivibrio wodanis                       |  BSL-1  |  BSL-2  | mismatch 
Alishewanella fetalis                    |  BSL-1  |  BSL-2  | mismatch 
Alishewanella tabrizica                  |  BSL-1  |  BSL-1  |   match  
Alistipes finegoldii                     |  BSL-1  |  BSL-1  |   match  
Alkalibacillus filiformis                |  BSL-1  |  BSL-1  |   match  
Alkalibacillus haloalkaliphilus          |  BSL-1  |  BSL-1  |   match  
Alkalibacillus silvisoli                 |  BSL-1  |  BSL-1  |   match  
Alkalihalophilus marmarensis             |  BSL-1  |  BSL-1  |   match  
Alloalcanivorax dieselolei               |  BSL-1  |  BSL-1  |   match  
Alloalcanivorax xenomutans               |  BSL-1  |  BSL-1  |   match  
Allohumibacter endophyticus              |  BSL-1  |  BSL-1  |   match  
Alloprevotella rava                      |  BSL-1  |  BSL-1  |   match  
Allopusillimonas ginsengisoli            |  BSL-1  |    -    |  missing 
Allopusillimonas soli                    |  BSL-1  |    -    |  missing 
Allorhizobium borbori                    |  BSL-1  |  BSL-1  |   match  
Alloscardovia omnicolens                 |  BSL-1  |  BSL-1  |   match  
Alloscardovia venturai                   |  BSL-1  |  BSL-1  |   match  
Alteromonas aestuariivivens              |  BSL-1  |  BSL-1  |   match  
Alteromonas australica                   |  BSL-1  |  BSL-1  |   match  
Alteromonas gracilis                     |  BSL-1  |  BSL-1  |   match  
Alteromonas hispanica                    |  BSL-1  |  BSL-1  |   match  
Alteromonas lipolytica                   |  BSL-1  |  BSL-1  |   match  
Alteromonas lipotrueae                   |  BSL-1  |  BSL-1  |   match  
Alteromonas macleodii                    |  BSL-1  |  BSL-1  |   match  
Alteromonas marina                       |  BSL-1  |  BSL-1  |   match  
Alteromonas naphthalenivorans            |  BSL-1  |  BSL-1  |   match  
Alteromonas portus                       |  BSL-1  |  BSL-1  |   match  
Alteromonas simiduii                     |  BSL-1  |  BSL-1  |   match  
Alteromonas tagae                        |  BSL-1  |  BSL-1  |   match  
Aminobacter aganoensis                   |  BSL-1  |  BSL-1  |   match  
Aminobacter aminovorans                  |  BSL-1  |  BSL-1  |   match  
Aminobacter anthyllidis                  |  BSL-1  |  BSL-1  |   match  
Aminobacter carboxidus                   |  BSL-1  |  BSL-1  |   match  
Aminobacter lissarensis                  |  BSL-1  |  BSL-1  |   match  
Aminobacter niigataensis                 |  BSL-1  |  BSL-1  |   match  
Ampullimonas aquatilis                   |  BSL-1  |  BSL-1  |   match  
Amycolatopsis acidicola                  |  BSL-1  |  BSL-1  |   match  
Amycolatopsis albidoflavus               |  BSL-1  |  BSL-1  |   match  
Amycolatopsis azurea                     |  BSL-1  |  BSL-1  |   match  
Amycolatopsis balhimycina                |  BSL-1  |  BSL-1  |   match  
Amycolatopsis bullii                     |  BSL-1  |  BSL-1  |   match  
Amycolatopsis cappadoca                  |  BSL-1  |  BSL-1  |   match  
Amycolatopsis dendrobii                  |  BSL-1  |  BSL-1  |   match  
Amycolatopsis eburnea                    |  BSL-1  |  BSL-1  |   match  
Amycolatopsis japonica                   |  BSL-1  |  BSL-1  |   match  
Amycolatopsis kentuckyensis              |  BSL-2  |  BSL-1  | mismatch 
Amycolatopsis keratiniphila              |  BSL-1  |  BSL-1  |   match  
Amycolatopsis lexingtonensis             |  BSL-2  |  BSL-1  | mismatch 
Amycolatopsis lurida                     |  BSL-1  |  BSL-1  |   match  
Amycolatopsis mediterranei               |  BSL-1  |  BSL-1  |   match  
Amycolatopsis oliviviridis               |  BSL-1  |  BSL-1  |   match  
Amycolatopsis orientalis                 |  BSL-1  |  BSL-1  |   match  
Amycolatopsis pretoriensis               |  BSL-2  |  BSL-1  | mismatch 
Amycolatopsis regifaucium                |  BSL-1  |  BSL-1  |   match  
Amycolatopsis rifamycinica               |  BSL-1  |  BSL-1  |   match  
Amycolatopsis roodepoortensis            |  BSL-1  |  BSL-1  |   match  
Amycolatopsis silviterrae                |  BSL-1  |  BSL-1  |   match  
Amycolatopsis tolypomycina               |  BSL-1  |  BSL-1  |   match  
Amycolatopsis vancoresmycina             |  BSL-1  |  BSL-1  |   match  
Anaerobutyricum hallii                   |  BSL-1  |  BSL-1  |   match  
Anaeromyxobacter dehalogenans            |  BSL-1  |  BSL-1  |   match  
Aquamicrobium aestuarii                  |  BSL-1  |  BSL-1  |   match  
Aquamicrobium ahrensii                   |  BSL-1  |  BSL-1  |   match  
Aquamicrobium defluvii                   |  BSL-1  |  BSL-1  |   match  
Aquamicrobium terrae                     |  BSL-1  |  BSL-1  |   match  
Aquaspirillum arcticum                   |  BSL-1  |  BSL-1  |   match  
Aquaspirillum serpens                    |  BSL-1  |  BSL-1  |   match  
Aquaspirillum soli                       |  BSL-1  |  BSL-1  |   match  
Aquibium oceanicum                       |  BSL-1  |  BSL-1  |   match  
Aquincola tertiaricarbonis               |  BSL-1  |  BSL-1  |   match  
Aquitalea denitrificans                  |  BSL-1  |  BSL-1  |   match  
Aquitalea magnusonii                     |  BSL-1  |  BSL-1  |   match  
Aquitalea pelogenes                      |  BSL-1  |  BSL-1  |   match  
Arachnia propionica                      |  BSL-2  |  BSL-2  |   match  
Arcanobacterium buesumense               |  BSL-2  |  BSL-2  |   match  
Arcanobacterium canis                    |  BSL-1  |  BSL-2  | mismatch 
Arcanobacterium hippocoleae              |  BSL-1  |  BSL-2  | mismatch 
Arcanobacterium phocae                   |  BSL-2  |  BSL-2  |   match  
Arcanobacterium pluranimalium            |  BSL-2  |  BSL-2  |   match  
Arcanobacterium wilhelmae                |  BSL-1  |  BSL-2  | mismatch 
Arenivirga flava                         |  BSL-1  |  BSL-1  |   match  
Arhodomonas aquaeolei                    |  BSL-1  |  BSL-1  |   match  
Arhodomonas recens                       |  BSL-1  |  BSL-1  |   match  
Arsenicicoccus bolidensis                |  BSL-1  |  BSL-1  |   match  
Arsenicicoccus dermatophilus             |  BSL-2  |  BSL-2  |   match  
Arthrobacter bambusae                    |  BSL-1  |  BSL-1  |   match  
Arthrobacter cavernae                    |  BSL-1  |  BSL-1  |   match  
Arthrobacter globiformis                 |  BSL-1  |  BSL-1  |   match  
Arthrobacter gyeryongensis               |  BSL-1  |  BSL-1  |   match  
Arthrobacter ipis                        |  BSL-1  |  BSL-1  |   match  
Arthrobacter methylotrophus              |  BSL-1  |  BSL-1  |   match  
Arthrobacter pascens                     |  BSL-1  |  BSL-1  |   match  
Arthrobacter polaris                     |  BSL-1  |  BSL-1  |   match  
Arthrobacter psychrochitiniphilus        |  BSL-1  |  BSL-1  |   match  
Arthrobacter psychrolactophilus          |  BSL-1  |  BSL-1  |   match  
Arthrobacter russicus                    |  BSL-2  |  BSL-1  | mismatch 
Arthrobacter ulcerisalmonis              |  BSL-1  |  BSL-2  | mismatch 
Asaia siamensis                          |  BSL-1  |  BSL-1  |   match  
Asticcacaulis benevestitus               |  BSL-1  |  BSL-1  |   match  
Asticcacaulis taihuensis                 |  BSL-1  |  BSL-1  |   match  
Atlantibacter hermannii                  |  BSL-2  |  BSL-2  |   match  
Atlantibacter subterranea                |  BSL-2  |  BSL-1  | mismatch 
Avibacterium avium                       |  BSL-2  |  BSL-2  |   match  
Avibacterium gallinarum                  |  BSL-2  |  BSL-2  |   match  
Avibacterium paragallinarum              |  BSL-2  |  BSL-2  |   match  
Avibacterium volantium                   |  BSL-1  |  BSL-2  | mismatch 
Azohydromonas lata                       |  BSL-1  |  BSL-1  |   match  
Azorhizobium oxalatiphilum               |  BSL-1  |  BSL-1  |   match  
Azospirillum brasilense                  |  BSL-1  |  BSL-1  |   match  
Azospirillum cavernae                    |  BSL-1  |  BSL-1  |   match  
Azospirillum doebereinerae               |  BSL-1  |  BSL-1  |   match  
Azospirillum fermentarium                |  BSL-1  |  BSL-1  |   match  
Azospirillum formosense                  |  BSL-1  |  BSL-1  |   match  
Azospirillum griseum                     |  BSL-1  |  BSL-1  |   match  
Azospirillum humicireducens              |  BSL-1  |  BSL-1  |   match  
Azospirillum lipoferum                   |  BSL-1  |  BSL-1  |   match  
Azospirillum melinis                     |  BSL-1  |  BSL-1  |   match  
Azospirillum palustre                    |  BSL-1  |  BSL-1  |   match  
Azospirillum picis                       |  BSL-1  |  BSL-1  |   match  
Azospirillum rugosum                     |  BSL-1  |  BSL-1  |   match  
Azospirillum thiophilum                  |  BSL-1  |  BSL-1  |   match  
Bacillus aerophilus                      |  BSL-1  |  BSL-1  |   match  
Bacillus amyloliquefaciens               |  BSL-1  |  BSL-1  |   match  
Bacillus anthracis                       |  BSL-3  |  BSL-3  |   match  
Bacillus arachidis                       |  BSL-1  |  BSL-1  |   match  
Bacillus atrophaeus                      |  BSL-1  |  BSL-1  |   match  
Bacillus australimaris                   |  BSL-1  |  BSL-1  |   match  
Bacillus benzoevorans                    |  BSL-1  |  BSL-1  |   match  
Bacillus cabrialesii                     |  BSL-1  |  BSL-1  |   match  
Bacillus canaveralius                    |  BSL-1  |  BSL-1  |   match  
Bacillus ectoiniformans                  |  BSL-1  |  BSL-1  |   match  
Bacillus gaemokensis                     |  BSL-1  |  BSL-1  |   match  
Bacillus gobiensis                       |  BSL-1  |  BSL-1  |   match  
Bacillus halotolerans                    |  BSL-1  |  BSL-1  |   match  
Bacillus haynesii                        |  BSL-1  |  BSL-1  |   match  
Bacillus infantis                        |  BSL-1  |  BSL-1  |   match  
Bacillus isabeliae                       |  BSL-1  |  BSL-1  |   match  
Bacillus manliponensis                   |  BSL-1  |  BSL-1  |   match  
Bacillus manusensis                      |  BSL-1  |  BSL-1  |   match  
Bacillus mojavensis                      |  BSL-1  |  BSL-1  |   match  
Bacillus mycoides                        |  BSL-2  |  BSL-1  | mismatch 
Bacillus nakamurai                       |  BSL-1  |  BSL-1  |   match  
Bacillus pakistanensis                   |  BSL-1  |  BSL-1  |   match  
Bacillus paranthracis                    |  BSL-2  |  BSL-2  |   match  
Bacillus rhizoplanae                     |  BSL-1  |  BSL-1  |   match  
Bacillus safensis                        |  BSL-1  |  BSL-1  |   match  
Bacillus smithii                         |  BSL-1  |  BSL-1  |   match  
Bacillus sonorensis                      |  BSL-1  |  BSL-1  |   match  
Bacillus spizizenii                      |  BSL-1  |  BSL-1  |   match  
Bacillus stercoris                       |  BSL-1  |  BSL-1  |   match  
Bacillus subtilis                        |  BSL-1  |  BSL-1  |   match  
Bacillus swezeyi                         |  BSL-1  |  BSL-1  |   match  
Bacillus tequilensis                     |  BSL-1  |  BSL-1  |   match  
Bacillus thuringiensis                   |  BSL-1  |  BSL-2  | mismatch 
Bacillus vallismortis                    |  BSL-1  |  BSL-1  |   match  
Bacillus velezensis                      |  BSL-1  |  BSL-1  |   match  
Bacillus xiamenensis                     |  BSL-1  |  BSL-1  |   match  
Bacillus zhangzhouensis                  |  BSL-1  |  BSL-1  |   match  
Bacteroides caccae                       |  BSL-2  |  BSL-2  |   match  
Bacteroides caecimuris                   |  BSL-1  |  BSL-1  |   match  
Bacteroides cellulosilyticus             |  BSL-1  |  BSL-1  |   match  
Bacteroides facilis                      |  BSL-1  |  BSL-1  |   match  
Bacteroides gallinarum                   |  BSL-1  |  BSL-2  | mismatch 
Bacteroides koreensis                    |  BSL-1  |  BSL-1  |   match  
Bacteroides kribbi                       |  BSL-1  |  BSL-1  |   match  
Bacteroides luhongzhouii                 |  BSL-1  |  BSL-1  |   match  
Bacteroides ovatus                       |  BSL-1  |  BSL-2  | mismatch 
Bacteroides thetaiotaomicron             |  BSL-2  |  BSL-2  |   match  
Bacteroides uniformis                    |  BSL-2  |  BSL-2  |   match  
Bacteroides xylanisolvens                |  BSL-1  |  BSL-1  |   match  
Bacteroides zhangwenhongii               |  BSL-1  |  BSL-1  |   match  
Bartonella acomydis                      |  BSL-1  |  BSL-2  | mismatch 
Bartonella ancashensis                   |  BSL-2  |  BSL-2  |   match  
Bartonella bacilliformis                 |  BSL-2  |  BSL-2  |   match  
Bartonella callosciuri                   |  BSL-1  |  BSL-2  | mismatch 
Bartonella capreoli                      |  BSL-2  |  BSL-2  |   match  
Bartonella chomelii                      |  BSL-1  |  BSL-2  | mismatch 
Bartonella coopersplainsensis            |  BSL-2  |  BSL-2  |   match  
Bartonella elizabethae                   |  BSL-2  |  BSL-2  |   match  
Bartonella florencae                     |  BSL-2  |  BSL-2  |   match  
Bartonella fuyuanensis                   |  BSL-2  |  BSL-2  |   match  
Bartonella grahamii                      |  BSL-2  |  BSL-2  |   match  
Bartonella heixiaziensis                 |  BSL-2  |  BSL-2  |   match  
Bartonella jaculi                        |  BSL-1  |  BSL-2  | mismatch 
Bartonella japonica                      |  BSL-2  |  BSL-2  |   match  
Bartonella kosoyi                        |  BSL-2  |  BSL-2  |   match  
Bartonella krasnovii                     |  BSL-2  |  BSL-2  |   match  
Bartonella pachyuromydis                 |  BSL-1  |  BSL-2  | mismatch 
