Model,Model_Display,Phenotype,Balanced_Accuracy,Precision,Sample_Size,Metric_Type
deepseek/deepseek-r1,deepseek-r1,animal_pathogenicity,0.785,0.8377,2051,binary
deepseek/deepseek-r1,deepseek-r1,biofilm_formation,0.5793,0.7465,253,binary
deepseek/deepseek-r1,deepseek-r1,biosafety_level,0.9057,0.6182,3711,multiclass
deepseek/deepseek-r1,deepseek-r1,cell_shape,0.7164,0.6561,3295,multiclass
deepseek/deepseek-r1,deepseek-r1,extreme_environment_tolerance,0.7254,0.2709,3350,binary
deepseek/deepseek-r1,deepseek-r1,gram_staining,0.6526,0.6517,3840,multiclass
deepseek/deepseek-r1,deepseek-r1,host_association,0.7193,0.5613,2665,binary
deepseek/deepseek-r1,deepseek-r1,motility,0.8826,0.8644,2950,binary
deepseek/deepseek-r1,deepseek-r1,plant_pathogenicity,0.7359,0.4721,3729,binary
deepseek/deepseek-r1,deepseek-r1,spore_formation,0.9399,0.9648,3611,binary
google/gemini-2.0-flash-lite-001,gemini-2.0-flash-lite-001,animal_pathogenicity,0.7922,0.8266,2051,binary
google/gemini-2.0-flash-lite-001,gemini-2.0-flash-lite-001,biofilm_formation,0.5367,0.726,253,binary
google/gemini-2.0-flash-lite-001,gemini-2.0-flash-lite-001,biosafety_level,0.8176,0.7052,3711,multiclass
google/gemini-2.0-flash-lite-001,gemini-2.0-flash-lite-001,cell_shape,0.7107,0.5576,3294,multiclass
google/gemini-2.0-flash-lite-001,gemini-2.0-flash-lite-001,extreme_environment_tolerance,0.6669,0.1877,3350,binary
google/gemini-2.0-flash-lite-001,gemini-2.0-flash-lite-001,gram_staining,0.6483,0.6474,3840,multiclass
google/gemini-2.0-flash-lite-001,gemini-2.0-flash-lite-001,host_association,0.7656,0.6231,2665,binary
google/gemini-2.0-flash-lite-001,gemini-2.0-flash-lite-001,motility,0.7932,0.6861,2950,binary
google/gemini-2.0-flash-lite-001,gemini-2.0-flash-lite-001,plant_pathogenicity,0.7485,0.225,3729,binary
google/gemini-2.0-flash-lite-001,gemini-2.0-flash-lite-001,spore_formation,0.961,0.9463,3612,binary
google/gemini-2.5-flash-lite,gemini-2.5-flash-lite,animal_pathogenicity,0.7117,0.8809,2051,binary
google/gemini-2.5-flash-lite,gemini-2.5-flash-lite,biofilm_formation,0.5431,0.7277,253,binary
google/gemini-2.5-flash-lite,gemini-2.5-flash-lite,biosafety_level,0.7399,0.6963,3711,multiclass
google/gemini-2.5-flash-lite,gemini-2.5-flash-lite,cell_shape,0.6954,0.6118,3290,multiclass
google/gemini-2.5-flash-lite,gemini-2.5-flash-lite,extreme_environment_tolerance,0.6848,0.3479,3350,binary
google/gemini-2.5-flash-lite,gemini-2.5-flash-lite,gram_staining,0.6394,0.6368,3840,multiclass
google/gemini-2.5-flash-lite,gemini-2.5-flash-lite,host_association,0.536,0.4139,2665,binary
google/gemini-2.5-flash-lite,gemini-2.5-flash-lite,motility,0.8564,0.7831,2950,binary
google/gemini-2.5-flash-lite,gemini-2.5-flash-lite,plant_pathogenicity,0.7452,0.6,3729,binary
google/gemini-2.5-flash-lite,gemini-2.5-flash-lite,spore_formation,0.9124,0.9729,3612,binary
google/gemini-2.5-pro,gemini-2.5-pro,animal_pathogenicity,0.7894,0.8164,2050,binary
google/gemini-2.5-pro,gemini-2.5-pro,biofilm_formation,0.5452,0.7277,253,binary
google/gemini-2.5-pro,gemini-2.5-pro,biosafety_level,0.8682,0.6964,3711,multiclass
google/gemini-2.5-pro,gemini-2.5-pro,cell_shape,0.7135,0.6283,3295,multiclass
google/gemini-2.5-pro,gemini-2.5-pro,extreme_environment_tolerance,0.7216,0.1961,3350,binary
google/gemini-2.5-pro,gemini-2.5-pro,gram_staining,0.6947,0.6817,3840,multiclass
google/gemini-2.5-pro,gemini-2.5-pro,host_association,0.7656,0.6167,2665,binary
google/gemini-2.5-pro,gemini-2.5-pro,motility,0.8753,0.8006,2949,binary
google/gemini-2.5-pro,gemini-2.5-pro,plant_pathogenicity,0.7158,0.812,3729,binary
google/gemini-2.5-pro,gemini-2.5-pro,spore_formation,0.9656,0.9501,3612,binary
google/gemini-flash-1.5,gemini-flash-1.5,animal_pathogenicity,0.8485,0.8041,2050,binary
google/gemini-flash-1.5,gemini-flash-1.5,biofilm_formation,0.5023,0.7085,253,binary
google/gemini-flash-1.5,gemini-flash-1.5,biosafety_level,0.8236,0.5012,3710,multiclass
google/gemini-flash-1.5,gemini-flash-1.5,cell_shape,0.623,0.5709,3294,multiclass
google/gemini-flash-1.5,gemini-flash-1.5,extreme_environment_tolerance,0.6332,0.1509,3349,binary
google/gemini-flash-1.5,gemini-flash-1.5,gram_staining,0.6282,0.6309,3839,multiclass
google/gemini-flash-1.5,gemini-flash-1.5,host_association,0.6321,0.49,2664,binary
google/gemini-flash-1.5,gemini-flash-1.5,motility,0.8201,0.7543,2950,binary
google/gemini-flash-1.5,gemini-flash-1.5,plant_pathogenicity,0.7785,0.4441,3729,binary
google/gemini-flash-1.5,gemini-flash-1.5,spore_formation,0.9511,0.9116,3611,binary
google/gemini-pro,gemini-pro,animal_pathogenicity,0.8275,0.7917,2028,binary
google/gemini-pro,gemini-pro,biofilm_formation,0.5401,0.7277,251,binary
google/gemini-pro,gemini-pro,biosafety_level,0.8792,0.5553,3678,multiclass
google/gemini-pro,gemini-pro,cell_shape,0.6527,0.5707,3263,multiclass
google/gemini-pro,gemini-pro,extreme_environment_tolerance,0.6005,0.3889,3319,binary
google/gemini-pro,gemini-pro,gram_staining,0.6236,0.6253,3805,multiclass
google/gemini-pro,gemini-pro,host_association,0.7276,0.6077,2644,binary
google/gemini-pro,gemini-pro,motility,0.8083,0.7395,2923,binary
google/gemini-pro,gemini-pro,plant_pathogenicity,0.6744,0.2606,3694,binary
google/gemini-pro,gemini-pro,spore_formation,0.8925,0.9215,3581,binary
google/gemini-pro-1.5,gemini-pro-1.5,animal_pathogenicity,0.8158,0.8251,2046,binary
google/gemini-pro-1.5,gemini-pro-1.5,biofilm_formation,0.569,0.7431,252,binary
google/gemini-pro-1.5,gemini-pro-1.5,biosafety_level,0.8863,0.5937,3705,multiclass
google/gemini-pro-1.5,gemini-pro-1.5,cell_shape,0.7069,0.5908,3289,multiclass
google/gemini-pro-1.5,gemini-pro-1.5,extreme_environment_tolerance,0.6349,0.1563,3344,binary
google/gemini-pro-1.5,gemini-pro-1.5,gram_staining,0.6404,0.6411,3833,multiclass
google/gemini-pro-1.5,gemini-pro-1.5,host_association,0.7592,0.6809,2659,binary
google/gemini-pro-1.5,gemini-pro-1.5,motility,0.7556,0.6485,2945,binary
google/gemini-pro-1.5,gemini-pro-1.5,plant_pathogenicity,0.7938,0.2588,3723,binary
google/gemini-pro-1.5,gemini-pro-1.5,spore_formation,0.9654,0.9393,3607,binary
google/gemma-7b-it,gemma-7b-it,animal_pathogenicity,0.6939,0.5869,2035,binary
google/gemma-7b-it,gemma-7b-it,biofilm_formation,0.5,0.7063,252,binary
google/gemma-7b-it,gemma-7b-it,biosafety_level,0.5389,0.3953,3683,multiclass
google/gemma-7b-it,gemma-7b-it,cell_shape,0.2845,0.4356,3268,multiclass
google/gemma-7b-it,gemma-7b-it,extreme_environment_tolerance,0.4993,0.0971,3321,binary
google/gemma-7b-it,gemma-7b-it,gram_staining,0.4258,0.5294,3810,multiclass
google/gemma-7b-it,gemma-7b-it,host_association,0.5836,0.6283,2643,binary
google/gemma-7b-it,gemma-7b-it,motility,0.5227,0.4716,2928,binary
google/gemma-7b-it,gemma-7b-it,plant_pathogenicity,0.6588,0.1517,3701,binary
google/gemma-7b-it,gemma-7b-it,spore_formation,0.6693,0.9672,3584,binary
openai/gpt-3.5-turbo-0125,gpt-3.5-turbo-0125,animal_pathogenicity,0.7444,0.8425,2051,binary
openai/gpt-3.5-turbo-0125,gpt-3.5-turbo-0125,biofilm_formation,0.4972,0.7063,253,binary
openai/gpt-3.5-turbo-0125,gpt-3.5-turbo-0125,biosafety_level,0.6642,0.5708,3711,multiclass
openai/gpt-3.5-turbo-0125,gpt-3.5-turbo-0125,cell_shape,0.68,0.6354,3284,multiclass
openai/gpt-3.5-turbo-0125,gpt-3.5-turbo-0125,extreme_environment_tolerance,0.6277,0.6268,3350,binary
openai/gpt-3.5-turbo-0125,gpt-3.5-turbo-0125,gram_staining,0.642,0.6427,3840,multiclass
openai/gpt-3.5-turbo-0125,gpt-3.5-turbo-0125,host_association,0.696,0.8529,2665,binary
openai/gpt-3.5-turbo-0125,gpt-3.5-turbo-0125,motility,0.7887,0.6878,2950,binary
openai/gpt-3.5-turbo-0125,gpt-3.5-turbo-0125,plant_pathogenicity,0.7272,0.4154,3729,binary
openai/gpt-3.5-turbo-0125,gpt-3.5-turbo-0125,spore_formation,0.9059,0.9243,3612,binary
openai/gpt-4,gpt-4,animal_pathogenicity,0.7513,0.8918,2051,binary
openai/gpt-4,gpt-4,biofilm_formation,0.6173,0.7725,253,binary
openai/gpt-4,gpt-4,biosafety_level,0.7779,0.6038,3711,multiclass
openai/gpt-4,gpt-4,cell_shape,0.634,0.6013,3295,multiclass
openai/gpt-4,gpt-4,extreme_environment_tolerance,0.7185,0.4412,3350,binary
openai/gpt-4,gpt-4,gram_staining,0.6463,0.6455,3840,multiclass
openai/gpt-4,gpt-4,host_association,0.7869,0.8392,2665,binary
openai/gpt-4,gpt-4,motility,0.8384,0.8312,2950,binary
openai/gpt-4,gpt-4,plant_pathogenicity,0.7378,0.2003,3729,binary
openai/gpt-4,gpt-4,spore_formation,0.9216,0.9609,3612,binary
openai/gpt-4.1-nano,gpt-4.1-nano,animal_pathogenicity,0.7519,0.8808,2048,binary
openai/gpt-4.1-nano,gpt-4.1-nano,biofilm_formation,0.5471,0.7321,252,binary
openai/gpt-4.1-nano,gpt-4.1-nano,biosafety_level,0.8703,0.5217,3709,multiclass
openai/gpt-4.1-nano,gpt-4.1-nano,cell_shape,0.9166,0.7031,3290,multiclass
openai/gpt-4.1-nano,gpt-4.1-nano,extreme_environment_tolerance,0.6769,0.4887,3347,binary
openai/gpt-4.1-nano,gpt-4.1-nano,gram_staining,0.5756,0.6487,3837,multiclass
openai/gpt-4.1-nano,gpt-4.1-nano,host_association,0.7737,0.779,2663,binary
openai/gpt-4.1-nano,gpt-4.1-nano,motility,0.8272,0.8628,2950,binary
openai/gpt-4.1-nano,gpt-4.1-nano,plant_pathogenicity,0.6935,0.7227,3726,binary
openai/gpt-4.1-nano,gpt-4.1-nano,spore_formation,0.7982,0.9683,3610,binary
openai/gpt-4o,gpt-4o,animal_pathogenicity,0.8187,0.8687,2051,binary
openai/gpt-4o,gpt-4o,biofilm_formation,0.5543,0.7325,253,binary
openai/gpt-4o,gpt-4o,biosafety_level,0.873,0.6474,3711,multiclass
openai/gpt-4o,gpt-4o,cell_shape,0.7092,0.6856,3295,multiclass
openai/gpt-4o,gpt-4o,extreme_environment_tolerance,0.6613,0.1718,3350,binary
openai/gpt-4o,gpt-4o,gram_staining,0.6413,0.6526,3840,multiclass
openai/gpt-4o,gpt-4o,host_association,0.8085,0.8104,2665,binary
openai/gpt-4o,gpt-4o,motility,0.8621,0.7806,2950,binary
openai/gpt-4o,gpt-4o,plant_pathogenicity,0.7325,0.2797,3729,binary
openai/gpt-4o,gpt-4o,spore_formation,0.9317,0.9339,3612,binary
openai/gpt-5,gpt-5,animal_pathogenicity,0.7818,0.8382,2050,binary
openai/gpt-5,gpt-5,biofilm_formation,0.5051,0.7097,253,binary
openai/gpt-5,gpt-5,biosafety_level,0.8731,0.6501,3704,multiclass
openai/gpt-5,gpt-5,cell_shape,0.7242,0.6506,3294,multiclass
openai/gpt-5,gpt-5,extreme_environment_tolerance,0.7088,0.3565,3349,binary
openai/gpt-5,gpt-5,gram_staining,0.649,0.6533,3839,multiclass
openai/gpt-5,gpt-5,host_association,0.7934,0.6519,2664,binary
openai/gpt-5,gpt-5,motility,0.9088,0.8532,2949,binary
openai/gpt-5,gpt-5,plant_pathogenicity,0.7143,0.8545,3727,binary
openai/gpt-5,gpt-5,spore_formation,0.9489,0.9679,3611,binary
openai/gpt-5-nano,gpt-5-nano,animal_pathogenicity,0.7181,0.907,2050,binary
openai/gpt-5-nano,gpt-5-nano,biofilm_formation,0.5012,0.708,253,binary
openai/gpt-5-nano,gpt-5-nano,biosafety_level,0.8443,0.5627,3710,multiclass
openai/gpt-5-nano,gpt-5-nano,cell_shape,0.7078,0.7097,3294,multiclass
openai/gpt-5-nano,gpt-5-nano,extreme_environment_tolerance,0.6874,0.245,3349,binary
openai/gpt-5-nano,gpt-5-nano,gram_staining,0.677,0.6565,3839,multiclass
openai/gpt-5-nano,gpt-5-nano,host_association,0.7762,0.6399,2664,binary
openai/gpt-5-nano,gpt-5-nano,motility,0.8554,0.8075,2949,binary
openai/gpt-5-nano,gpt-5-nano,plant_pathogenicity,0.7345,0.6688,3728,binary
openai/gpt-5-nano,gpt-5-nano,spore_formation,0.9094,0.956,3611,binary
openai/gpt-oss-120b,gpt-oss-120b,animal_pathogenicity,0.7422,0.8533,2048,binary
openai/gpt-oss-120b,gpt-oss-120b,biofilm_formation,0.5947,0.7511,252,binary
openai/gpt-oss-120b,gpt-oss-120b,biosafety_level,0.772,0.6556,3707,multiclass
openai/gpt-oss-120b,gpt-oss-120b,cell_shape,0.7111,0.6239,3289,multiclass
openai/gpt-oss-120b,gpt-oss-120b,extreme_environment_tolerance,0.7144,0.4545,3346,binary
openai/gpt-oss-120b,gpt-oss-120b,gram_staining,0.6498,0.6514,3832,multiclass
openai/gpt-oss-120b,gpt-oss-120b,host_association,0.7956,0.6793,2659,binary
openai/gpt-oss-120b,gpt-oss-120b,motility,0.8649,0.8718,2947,binary
openai/gpt-oss-120b,gpt-oss-120b,plant_pathogenicity,0.7117,0.8519,3718,binary
openai/gpt-oss-120b,gpt-oss-120b,spore_formation,0.9625,0.9665,3603,binary
openai/gpt-oss-20b,gpt-oss-20b,animal_pathogenicity,0.7348,0.8462,2048,binary
openai/gpt-oss-20b,gpt-oss-20b,biofilm_formation,0.5492,0.7296,253,binary
openai/gpt-oss-20b,gpt-oss-20b,biosafety_level,0.8283,0.5675,3705,multiclass
openai/gpt-oss-20b,gpt-oss-20b,cell_shape,0.6688,0.66,3287,multiclass
openai/gpt-oss-20b,gpt-oss-20b,extreme_environment_tolerance,0.6617,0.3301,3347,binary
openai/gpt-oss-20b,gpt-oss-20b,gram_staining,0.6612,0.6515,3837,multiclass
openai/gpt-oss-20b,gpt-oss-20b,host_association,0.7756,0.6703,2662,binary
openai/gpt-oss-20b,gpt-oss-20b,motility,0.8733,0.8393,2947,binary
openai/gpt-oss-20b,gpt-oss-20b,plant_pathogenicity,0.7241,0.7795,3720,binary
openai/gpt-oss-20b,gpt-oss-20b,spore_formation,0.9135,0.9652,3607,binary
x-ai/grok-3-mini,grok-3-mini,animal_pathogenicity,0.818,0.851,2051,binary
x-ai/grok-3-mini,grok-3-mini,biofilm_formation,0.5082,0.7112,253,binary
x-ai/grok-3-mini,grok-3-mini,biosafety_level,0.9043,0.5664,3711,multiclass
x-ai/grok-3-mini,grok-3-mini,cell_shape,0.7074,0.6916,3295,multiclass
x-ai/grok-3-mini,grok-3-mini,extreme_environment_tolerance,0.7196,0.3113,3350,binary
x-ai/grok-3-mini,grok-3-mini,gram_staining,0.6538,0.6516,3840,multiclass
x-ai/grok-3-mini,grok-3-mini,host_association,0.7087,0.5349,2665,binary
x-ai/grok-3-mini,grok-3-mini,motility,0.8838,0.8595,2950,binary
x-ai/grok-3-mini,grok-3-mini,plant_pathogenicity,0.7786,0.4962,3729,binary
x-ai/grok-3-mini,grok-3-mini,spore_formation,0.9494,0.945,3612,binary
meta-llama/llama-3-70b-instruct:nitro,llama-3-70b-instruct:nitro,animal_pathogenicity,0.8331,0.8495,2050,binary
meta-llama/llama-3-70b-instruct:nitro,llama-3-70b-instruct:nitro,biofilm_formation,0.4968,0.7061,253,binary
meta-llama/llama-3-70b-instruct:nitro,llama-3-70b-instruct:nitro,biosafety_level,0.825,0.6585,3709,multiclass
meta-llama/llama-3-70b-instruct:nitro,llama-3-70b-instruct:nitro,cell_shape,0.7068,0.6184,3288,multiclass
meta-llama/llama-3-70b-instruct:nitro,llama-3-70b-instruct:nitro,extreme_environment_tolerance,0.6263,0.1418,3349,binary
meta-llama/llama-3-70b-instruct:nitro,llama-3-70b-instruct:nitro,gram_staining,0.6459,0.6443,3838,multiclass
meta-llama/llama-3-70b-instruct:nitro,llama-3-70b-instruct:nitro,host_association,0.6588,0.5106,2664,binary
meta-llama/llama-3-70b-instruct:nitro,llama-3-70b-instruct:nitro,motility,0.7999,0.6949,2949,binary
meta-llama/llama-3-70b-instruct:nitro,llama-3-70b-instruct:nitro,plant_pathogenicity,0.7541,0.2523,3727,binary
meta-llama/llama-3-70b-instruct:nitro,llama-3-70b-instruct:nitro,spore_formation,0.9173,0.9215,3610,binary
meta-llama/llama-3-8b-instruct:nitro,llama-3-8b-instruct:nitro,animal_pathogenicity,0.7815,0.8194,2051,binary
meta-llama/llama-3-8b-instruct:nitro,llama-3-8b-instruct:nitro,biofilm_formation,0.5,0.7075,253,binary
meta-llama/llama-3-8b-instruct:nitro,llama-3-8b-instruct:nitro,biosafety_level,0.5379,0.4506,3711,multiclass
meta-llama/llama-3-8b-instruct:nitro,llama-3-8b-instruct:nitro,cell_shape,0.4729,0.4398,3290,multiclass
meta-llama/llama-3-8b-instruct:nitro,llama-3-8b-instruct:nitro,extreme_environment_tolerance,0.5679,0.1164,3350,binary
meta-llama/llama-3-8b-instruct:nitro,llama-3-8b-instruct:nitro,gram_staining,0.5401,0.5837,3757,multiclass
meta-llama/llama-3-8b-instruct:nitro,llama-3-8b-instruct:nitro,host_association,0.5954,0.4561,2665,binary
meta-llama/llama-3-8b-instruct:nitro,llama-3-8b-instruct:nitro,motility,0.7671,0.6613,2950,binary
meta-llama/llama-3-8b-instruct:nitro,llama-3-8b-instruct:nitro,plant_pathogenicity,0.6901,0.4588,3729,binary
meta-llama/llama-3-8b-instruct:nitro,llama-3-8b-instruct:nitro,spore_formation,0.8649,0.5623,3612,binary
perplexity/llama-3-sonar-small-32k-chat,llama-3-sonar-small-32k-chat,animal_pathogenicity,0.7604,0.6993,2050,binary
perplexity/llama-3-sonar-small-32k-chat,llama-3-sonar-small-32k-chat,biofilm_formation,0.5,0.7075,253,binary
perplexity/llama-3-sonar-small-32k-chat,llama-3-sonar-small-32k-chat,biosafety_level,0.6079,0.4625,3708,multiclass
perplexity/llama-3-sonar-small-32k-chat,llama-3-sonar-small-32k-chat,cell_shape,0.4025,0.2786,3292,multiclass
perplexity/llama-3-sonar-small-32k-chat,llama-3-sonar-small-32k-chat,extreme_environment_tolerance,0.6346,0.1796,3348,binary
perplexity/llama-3-sonar-small-32k-chat,llama-3-sonar-small-32k-chat,gram_staining,0.5753,0.5831,3837,multiclass
perplexity/llama-3-sonar-small-32k-chat,llama-3-sonar-small-32k-chat,host_association,0.4982,0.3938,2663,binary
perplexity/llama-3-sonar-small-32k-chat,llama-3-sonar-small-32k-chat,motility,0.6424,0.549,2948,binary
perplexity/llama-3-sonar-small-32k-chat,llama-3-sonar-small-32k-chat,plant_pathogenicity,0.6607,0.9459,3726,binary
perplexity/llama-3-sonar-small-32k-chat,llama-3-sonar-small-32k-chat,spore_formation,0.8845,0.6715,3610,binary
mistralai/mistral-7b-instruct,mistral-7b-instruct,animal_pathogenicity,0.7444,0.8569,2050,binary
mistralai/mistral-7b-instruct,mistral-7b-instruct,biofilm_formation,0.607,0.7638,253,binary
mistralai/mistral-7b-instruct,mistral-7b-instruct,biosafety_level,0.71,0.4448,3691,multiclass
mistralai/mistral-7b-instruct,mistral-7b-instruct,cell_shape,0.4868,0.502,3287,multiclass
mistralai/mistral-7b-instruct,mistral-7b-instruct,extreme_environment_tolerance,0.5739,0.1189,3349,binary
mistralai/mistral-7b-instruct,mistral-7b-instruct,gram_staining,0.4854,0.6337,3805,multiclass
mistralai/mistral-7b-instruct,mistral-7b-instruct,host_association,0.6485,0.492,2663,binary
mistralai/mistral-7b-instruct,mistral-7b-instruct,motility,0.6947,0.6521,2948,binary
mistralai/mistral-7b-instruct,mistral-7b-instruct,plant_pathogenicity,0.6873,0.2663,3726,binary
mistralai/mistral-7b-instruct,mistral-7b-instruct,spore_formation,0.8614,0.8857,3609,binary
mistralai/mixtral-8x7b-instruct:nitro,mixtral-8x7b-instruct:nitro,animal_pathogenicity,0.6955,0.8927,2051,binary
mistralai/mixtral-8x7b-instruct:nitro,mixtral-8x7b-instruct:nitro,biofilm_formation,0.5,0.7075,253,binary
mistralai/mixtral-8x7b-instruct:nitro,mixtral-8x7b-instruct:nitro,biosafety_level,0.5812,0.6026,3711,multiclass
mistralai/mixtral-8x7b-instruct:nitro,mixtral-8x7b-instruct:nitro,cell_shape,0.5716,0.5638,3264,multiclass
mistralai/mixtral-8x7b-instruct:nitro,mixtral-8x7b-instruct:nitro,extreme_environment_tolerance,0.6174,0.1503,3350,binary
mistralai/mixtral-8x7b-instruct:nitro,mixtral-8x7b-instruct:nitro,gram_staining,0.6145,0.6183,3840,multiclass
mistralai/mixtral-8x7b-instruct:nitro,mixtral-8x7b-instruct:nitro,host_association,0.5884,0.4425,2665,binary
mistralai/mixtral-8x7b-instruct:nitro,mixtral-8x7b-instruct:nitro,motility,0.7831,0.8619,2950,binary
mistralai/mixtral-8x7b-instruct:nitro,mixtral-8x7b-instruct:nitro,plant_pathogenicity,0.7077,0.2816,3729,binary
mistralai/mixtral-8x7b-instruct:nitro,mixtral-8x7b-instruct:nitro,spore_formation,0.9159,0.7882,3612,binary
openai/o1-mini,o1-mini,animal_pathogenicity,0.766,0.8421,2035,binary
openai/o1-mini,o1-mini,biofilm_formation,0.5168,0.7125,251,binary
openai/o1-mini,o1-mini,biosafety_level,0.8364,0.5693,3681,multiclass
openai/o1-mini,o1-mini,cell_shape,0.7102,0.6619,3269,multiclass
openai/o1-mini,o1-mini,extreme_environment_tolerance,0.6861,0.2208,3320,binary
openai/o1-mini,o1-mini,gram_staining,0.6679,0.6522,3807,multiclass
openai/o1-mini,o1-mini,host_association,0.7582,0.6239,2649,binary
openai/o1-mini,o1-mini,motility,0.8638,0.8011,2921,binary
openai/o1-mini,o1-mini,plant_pathogenicity,0.7334,0.6082,3695,binary
openai/o1-mini,o1-mini,spore_formation,0.9448,0.9625,3578,binary
openchat/openchat-7b,openchat-7b,animal_pathogenicity,0.7411,0.8581,2051,binary
openchat/openchat-7b,openchat-7b,biofilm_formation,0.5875,0.7682,253,binary
openchat/openchat-7b,openchat-7b,biosafety_level,0.5196,0.4371,3708,multiclass
openchat/openchat-7b,openchat-7b,cell_shape,0.4981,0.3221,3292,multiclass
openchat/openchat-7b,openchat-7b,extreme_environment_tolerance,0.5654,0.2443,3347,binary
openchat/openchat-7b,openchat-7b,gram_staining,0.6803,0.6061,3837,multiclass
openchat/openchat-7b,openchat-7b,host_association,0.6564,0.5537,2663,binary
openchat/openchat-7b,openchat-7b,motility,0.7013,0.7695,2947,binary
openchat/openchat-7b,openchat-7b,plant_pathogenicity,0.676,0.1492,3726,binary
openchat/openchat-7b,openchat-7b,spore_formation,0.7608,0.9869,3609,binary
google/palm-2-chat-bison-32k,palm-2-chat-bison-32k,animal_pathogenicity,0.7922,0.8311,2051,binary
google/palm-2-chat-bison-32k,palm-2-chat-bison-32k,biofilm_formation,0.5277,0.7197,253,binary
