====================================================================================================
COMPLETE LIST: TAIL MORPHOLOGY SPECIES AND MODEL PREDICTIONS
====================================================================================================

Fetching data...

====================================================================================================
SPECIES-BY-SPECIES BREAKDOWN
====================================================================================================

Legend: ✓ = correct (tail), ✗ = wrong (bacillus/other), - = no prediction

Species                                       | gpt-4.1-nano |    gpt-5     |    gpt-4o    | gemini-2.5-p | claude-3.5-s | deepseek-r1  | 
Streptomyces aureus                           |      ✓       |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    | 
Streptomyces avermitilis                      |      ✓       |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    | 
Streptomyces bacillaris                       |      ✓       |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    | 
Streptomyces badius                           |      ✓       |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    | 
Streptomyces bangladeshensis                  |      ✓       |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    | 
Streptomyces bauhiniae                        |      ✓       |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    | 
Streptomyces bikiniensis                      |      ✓       |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    | 
Streptomyces bobili                           |      ✓       |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    | 
Streptomyces boluensis                        |      ✓       |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    | 
Streptomyces bottropensis                     |      ✓       |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    | 
Streptomyces brevispora                       |      ✓       |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    | 
Streptomyces bullii                           |      ✓       |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    | 
Streptomyces caeni                            |      ✓       |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    | 
Streptomyces cahuitamycinicus                 |      ✓       |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    | 
Streptomyces calvus                           |      ✓       |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    | 
Streptomyces candidus                         |      ✓       |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    | 
Streptomyces caniferus                        |      ✓       |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    | 
Streptomyces caniscabiei                      |      ✓       |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    | 
Streptomyces canus                            |      ✓       |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    | 
Streptomyces capitiformicae                   |      ✓       |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    | 
Streptomyces carpinensis                      |      ✓       |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    | 
Streptomyces catenulae                        |      ✓       |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    | 
Streptomyces cellostaticus                    |      ✓       |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    | 
Streptomyces chartreusis                      |      ✓       |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    | 
Streptomyces chattanoogensis                  |      ✓       |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    | 
Streptomyces chiangmaiensis                   |      ✓       |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    | 
Streptomyces chilikensis                      |      ✓       |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    | 
Streptomyces chromofuscus                     |      ✓       |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    | 
Streptomyces chryseus                         |      ✓       |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    | 
Streptomyces cinereoruber                     |      ✓       |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    | 
Streptomyces cinereospinus                    |      ✓       |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    | 
Streptomyces cinerochromogenes                |      ✓       |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    | 
Streptomyces cinnabarigriseus                 |      ✓       |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    | 
Streptomyces clavifer                         |      ✓       |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    | 
Streptomyces clavuligerus                     |      ✓       |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    | 
Streptomyces coelicoflavus                    |      ✓       |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    | 
Streptomyces coelicolor                       |      ✓       |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    | 
Streptomyces coeruleofuscus                   |      ✓       |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    | 
Streptomyces collinus                         |      ✓       |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    | 
Streptomyces coriariae                        |      ✓       |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    | 
Streptomyces cremeus                          |      ✓       |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    | 
Streptomyces crystallinus                     |      ✓       |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    | 
Streptomyces cyaneofuscatus                   |      ✓       |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    | 
Streptomyces cyaneus                          |      ✓       |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    | 
Streptomyces cylindrosporus                   |      ✓       |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    | 
Streptomyces daghestanicus                    |      ✓       |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    | 
Streptomyces dangxiongensis                   |      ✓       |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    | 
Streptomyces deccanensis                      |      ✓       |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    | 
Streptomyces decoyicus                        |      ✓       |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    | 
Streptomyces dengpaensis                      |      ✓       |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    | 
Streptomyces deserti                          |      ✓       |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    | 
Streptomyces diastatochromogenes              |      ✓       |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    | 
Streptomyces drozdowiczii                     |      ✓       |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    | 
Streptomyces durmitorensis                    |      ✓       |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    | 
Streptomyces durocortorensis                  |      ✓       |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    | 
Streptomyces echinatus                        |      ✓       |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    | 
Streptomyces enissocaesilis                   |      ✓       |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    | 
Streptomyces erythrogriseus                   |      ✓       |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    | 
Streptomyces europaeiscabiei                  |      ✓       |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    | 
Streptomyces eurythermus                      |      ✓       |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    | 
Streptomyces exfoliatus                       |      ✓       |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    | 
Streptomyces fabae                            |      ✓       |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    | 
Streptomyces fagopyri                         |      ✓       |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    | 
Streptomyces filamentosus                     |      ✓       |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    | 
Streptomyces finlayi                          |      ✓       |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    | 
Streptomyces flaveolus                        |      ✓       |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    | 
Streptomyces flavofungini                     |      ✓       |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    | 
Streptomyces flavovariabilis                  |      ✓       |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    | 
Streptomyces flavovirens                      |      ✓       |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    | 
Streptomyces formicae                         |      ✓       |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    | 
Streptomyces fragilis                         |      ✓       |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    | 
Streptomyces fructofermentans                 |      ✓       |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    | 
Streptomyces fulvorobeus                      |      ✓       |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    | 
Streptomyces fumigatiscleroticus              |      ✓       |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    | 
Streptomyces gelaticus                        |      ✓       |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    | 
Streptomyces geranii                          |      ✓       |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    | 
Streptomyces geysiriensis                     |      ✓       |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    | 
Streptomyces glaucescens                      |      ✓       |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    | 
Streptomyces glebosus                         |      ✓       |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    | 
Streptomyces gougerotii                       |      ✓       |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    | 
Streptomyces graminifolii                     |      ✓       |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    | 
Streptomyces graminilatus                     |      ✓       |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    | 
Streptomyces griseiscabiei                    |      ✓       |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    | 
Streptomyces griseoaurantiacus                |      ✓       |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    | 
Streptomyces griseochromogenes                |      ✓       |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    | 
Streptomyces griseoflavus                     |      ✓       |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    | 
Streptomyces griseoincarnatus                 |      ✓       |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    | 
Streptomyces griseoloalbus                    |      ✓       |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    | 
Streptomyces griseorubens                     |      ✓       |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    | 
Streptomyces griseorubiginosus                |      ✓       |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    | 
Streptomyces griseus                          |      ✓       |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    | 
Streptomyces gulbargensis                     |      ✓       |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    | 
Streptomyces guryensis                        |      ✓       |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    | 
Streptomyces halstedii                        |      ✓       |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    | 
Streptomyces hayashii                         |      ✓       |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    | 
Streptomyces heilongjiangensis                |      ✓       |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    | 
Streptomyces heliomycini                      |      ✓       |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    | 
Streptomyces hilarionis                       |      ✓       |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    | 
Streptomyces hokutonensis                     |      ✓       |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    | 
Streptomyces huasconensis                     |      ✓       |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    | 
Streptomyces humidus                          |      ✓       |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    | 
Streptomyces hydrogenans                      |      ✓       |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    | 
Streptomyces hygroscopicus                    |      ✓       |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    | 
Streptomyces indoligenes                      |      ✓       |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    | 
Streptomyces inhibens                         |      ✓       |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    | 
Streptomyces intermedius                      |      ✓       |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    | 
Streptomyces ipomoeae                         |      ✓       |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    | 
Streptomyces javensis                         |      ✓       |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    | 
Streptomyces jeddahensis                      |      ✓       |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    | 
Streptomyces jietaisiensis                    |      ✓       |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    | 
Streptomyces kaempferi                        |      ✓       |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    | 
Streptomyces kanamyceticus                    |      ✓       |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    | 
Streptomyces koyangensis                      |      ✓       |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    | 
Streptomyces kronopolitis                     |      ✓       |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    | 
Streptomyces krungchingensis                  |      ✓       |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    | 
Streptomyces kurssanovii                      |      ✓       |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    | 
Streptomyces labedae                          |      ✓       |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    | 
Streptomyces lacrimifluminis                  |      ✓       |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    | 
Streptomyces laculatispora                    |      ✓       |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    | 
Streptomyces lasiicapitis                     |      ✓       |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    | 
Streptomyces lateritius                       |      ✓       |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    | 
Streptomyces laurentii                        |      ✓       |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    | 
Streptomyces lienomycini                      |      ✓       |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    | 
Streptomyces liliifuscus                      |      ✓       |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    | 
Streptomyces liliiviolaceus                   |      ✓       |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    | 
Streptomyces litmocidini                      |      ✓       |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    | 
Streptomyces lomondensis                      |      ✓       |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    | 
Streptomyces longhuiensis                     |      ✓       |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    | 
Streptomyces lunaelactis                      |      ✓       |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    | 
Streptomyces lushanensis                      |      ✓       |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    | 
Streptomyces luteogriseus                     |      ✓       |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    | 
Streptomyces lydicamycinicus                  |      ✓       |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    | 
Streptomyces lydicus                          |      ✓       |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    | 
Streptomyces malachitofuscus                  |      ✓       |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    | 
Streptomyces malachitospinus                  |      ✓       |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    | 
Streptomyces marokkonensis                    |      ✓       |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    | 
Streptomyces matensis                         |      ✓       |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    | 
Streptomyces mauvecolor                       |      ✓       |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    | 
Streptomyces melanogenes                      |      ✓       |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    | 
Streptomyces microflavus                      |      ✓       |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    | 
Streptomyces minutiscleroticus                |      ✓       |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    | 
Streptomyces mirabilis                        |      ✓       |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    | 
Streptomyces monomycini                       |      ✓       |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    | 
Streptomyces muensis                          |      ✓       |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    | 
Streptomyces musisoli                         |      ✓       |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    | 
Streptomyces mutomycini                       |      ✓       |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    | 
Streptomyces narbonensis                      |      ✓       |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    | 
Streptomyces neyagawaensis                    |      ✓       |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    | 
Streptomyces nigrescens                       |      ✓       |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    | 
Streptomyces nitrosporeus                     |      ✓       |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    | 
Streptomyces niveoruber                       |      ✓       |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    | 
Streptomyces nodosus                          |      ✓       |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    | 
