binomial_name,Anthropic claude-sonnet-4,Google gemini-2.5-flash-lite,OpenAI gpt-4o,DeepSeek deepseek-chat-v3-0324,OpenAI gpt-oss-20b,OpenAI gpt-oss-120b,xAI grok-3-mini,OpenAI gpt-4.1-nano,OpenAI gpt-5,OpenAI gpt-4,OpenAI gpt-5-nano
actinomadura bangladeshensis,limited,limited,limited,limited,limited,limited,limited,moderate,NA,limited,limited
actinomadura barringtoniae,limited,limited,limited,limited,limited,NA,limited,NA,limited,NA,NA
actinomadura chokoriensis,limited,limited,limited,limited,limited,limited,limited,NA,limited,limited,NA
actinomadura citrea,limited,limited,limited,moderate,limited,,moderate,limited,limited,limited,limited
actinomadura darangshiensis,limited,limited,limited,limited,limited,limited,limited,NA,limited,limited,limited
actinomadura fibrosa,limited,limited,limited,limited,limited,limited,moderate,moderate,limited,NA,limited
actinomadura formosensis,limited,limited,limited,limited,limited,limited,moderate,NA,limited,NA,limited
actinomadura geliboluensis,limited,limited,limited,limited,limited,limited,limited,NA,limited,limited,NA
actinomadura glauciflava,limited,limited,limited,limited,limited,limited,moderate,NA,limited,NA,NA
actinomadura graeca,limited,limited,limited,limited,limited,limited,limited,moderate,limited,NA,limited
actinomadura jiaoheensis,limited,limited,limited,limited,limited,limited,limited,NA,NA,limited,NA
actinomadura lepetitiana,limited,limited,limited,limited,limited,limited,moderate,NA,limited,NA,NA
actinomadura litoris,limited,limited,limited,limited,limited,NA,limited,limited,limited,limited,NA
actinomadura luteofluorescens,limited,limited,limited,limited,limited,limited,moderate,moderate,limited,NA,NA
actinomadura macra,limited,limited,limited,moderate,limited,limited,moderate,moderate,limited,NA,NA
actinomadura madurae,moderate,extensive,moderate,moderate,moderate,moderate,moderate,extensive,moderate,NA,moderate
actinomadura mexicana,limited,limited,limited,limited,limited,limited,moderate,moderate,limited,NA,limited
actinomadura meyerae,limited,limited,limited,limited,limited,limited,moderate,NA,limited,NA,NA
actinomadura montaniterrae,limited,limited,limited,limited,limited,limited,limited,NA,limited,limited,NA
actinomadura napierensis,limited,limited,limited,limited,limited,limited,limited,NA,NA,limited,NA
actinomadura nitritigenes,limited,limited,limited,limited,limited,limited,moderate,moderate,limited,NA,NA
actinomadura parmotrematis,limited,limited,limited,limited,limited,limited,limited,NA,limited,NA,NA
actinomadura pelletieri,moderate,moderate,limited,moderate,moderate,moderate,moderate,extensive,limited,limited,moderate
actinomadura physcomitrii,limited,limited,limited,limited,limited,limited,limited,NA,limited,NA,NA
actinomadura roseirufa,limited,limited,limited,limited,limited,limited,limited,NA,limited,NA,NA
actinomadura rubrisoli,limited,limited,limited,limited,limited,limited,limited,moderate,limited,NA,limited
actinomadura scrupuli,limited,limited,limited,limited,limited,NA,NA,limited,NA,NA,NA
actinomadura sporangiiformans,limited,limited,limited,limited,limited,limited,limited,NA,NA,NA,limited
actinomadura vinacea,limited,limited,limited,limited,limited,limited,moderate,moderate,limited,NA,limited
actinomadura violacea,limited,limited,limited,moderate,moderate,moderate,moderate,moderate,limited,NA,limited
actinomadura viridis,limited,moderate,limited,limited,moderate,limited,moderate,moderate,limited,NA,NA
actinomadura xylanilytica,limited,limited,limited,limited,limited,limited,limited,moderate,limited,NA,limited
actinomadura yumaensis,limited,limited,limited,limited,limited,limited,limited,limited,limited,NA,NA
actinomyces bowdenii,limited,limited,limited,limited,limited,limited,moderate,limited,limited,NA,limited
actinomyces graevenitzii,limited,moderate,moderate,moderate,limited,moderate,moderate,moderate,moderate,limited,limited
actinomyces haliotis,limited,limited,limited,limited,limited,limited,limited,NA,limited,NA,limited
actinomyces johnsonii,limited,moderate,limited,moderate,moderate,moderate,NA,moderate,NA,NA,NA
actinomyces naeslundii,extensive,extensive,extensive,moderate,extensive,extensive,extensive,extensive,extensive,moderate,moderate
actinomyces oris,moderate,extensive,moderate,moderate,moderate,extensive,extensive,extensive,extensive,moderate,moderate
actinomyces radicidentis,limited,limited,limited,limited,limited,moderate,moderate,extensive,limited,limited,limited
actinomyces viscosus,extensive,extensive,moderate,moderate,extensive,extensive,extensive,extensive,moderate,moderate,extensive
actinomyces vulturis,limited,limited,limited,NA,limited,limited,limited,NA,NA,limited,limited
actinophytocola algeriensis,limited,limited,limited,limited,limited,limited,limited,NA,limited,limited,limited
actinophytocola burenkhanensis,limited,limited,limited,limited,limited,limited,limited,NA,limited,limited,NA
actinophytocola gilvus,limited,limited,limited,limited,limited,limited,limited,limited,limited,limited,limited
actinophytocola oryzae,limited,limited,limited,limited,limited,limited,limited,NA,limited,limited,limited
actinoplanes globisporus,limited,moderate,moderate,moderate,moderate,moderate,moderate,extensive,moderate,NA,limited
actinoplanes missouriensis,moderate,moderate,moderate,moderate,moderate,moderate,moderate,extensive,extensive,NA,NA
actinopolymorpha cephalotaxi,limited,NA,limited,limited,limited,limited,limited,NA,limited,NA,NA
actinopolymorpha pittospori,limited,limited,limited,limited,limited,limited,limited,NA,limited,NA,NA
actinopolymorpha rutila,limited,NA,limited,limited,limited,limited,limited,NA,limited,NA,NA
actinopolymorpha singaporensis,limited,limited,limited,limited,limited,limited,limited,NA,limited,limited,limited
actinorectispora metalli,limited,limited,limited,limited,limited,limited,limited,NA,limited,NA,NA
actinotignum sanguinis,moderate,limited,limited,limited,limited,moderate,moderate,moderate,limited,moderate,limited
advenella incenata,limited,moderate,limited,limited,limited,limited,NA,NA,limited,NA,limited
advenella kashmirensis,limited,limited,moderate,limited,,limited,moderate,moderate,moderate,limited,limited
aerococcus urinae,moderate,moderate,moderate,moderate,moderate,extensive,moderate,extensive,extensive,moderate,moderate
aeromonas allosaccharophila,limited,limited,moderate,moderate,moderate,moderate,moderate,limited,moderate,limited,NA
aeromonas aquatica,limited,moderate,limited,limited,moderate,moderate,moderate,moderate,NA,NA,NA
aeromonas australiensis,limited,moderate,limited,limited,limited,limited,limited,NA,limited,limited,NA
aeromonas bestiarum,moderate,limited,moderate,moderate,limited,moderate,moderate,moderate,moderate,limited,moderate
aeromonas bivalvium,limited,limited,limited,limited,limited,limited,limited,moderate,limited,limited,NA
aeromonas caviae,extensive,extensive,extensive,moderate,extensive,extensive,extensive,extensive,extensive,moderate,moderate
aeromonas dhakensis,moderate,extensive,moderate,moderate,extensive,extensive,moderate,extensive,extensive,moderate,extensive
aeromonas encheleia,moderate,limited,limited,moderate,limited,limited,moderate,limited,limited,NA,NA
aeromonas enteropelogenes,limited,limited,limited,limited,moderate,limited,moderate,moderate,NA,NA,NA
aeromonas eucrenophila,moderate,limited,moderate,moderate,limited,moderate,moderate,moderate,moderate,NA,NA
aeromonas finlandensis,limited,moderate,limited,limited,moderate,limited,limited,NA,NA,NA,NA
aeromonas fluvialis,moderate,limited,limited,moderate,extensive,moderate,moderate,extensive,limited,limited,moderate
aeromonas hydrophila,extensive,extensive,extensive,extensive,extensive,extensive,extensive,extensive,extensive,moderate,extensive
aeromonas jandaei,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,limited,moderate
aeromonas lacus,limited,limited,limited,moderate,NA,limited,moderate,moderate,limited,NA,limited
aeromonas lusitana,limited,limited,limited,limited,limited,NA,limited,moderate,limited,NA,limited
aeromonas media,moderate,moderate,moderate,moderate,limited,limited,moderate,moderate,extensive,moderate,limited
aeromonas molluscorum,limited,limited,limited,limited,limited,limited,limited,moderate,limited,limited,limited
aeromonas piscicola,limited,limited,limited,moderate,limited,limited,moderate,moderate,limited,NA,NA
aeromonas popoffii,limited,moderate,limited,moderate,limited,limited,moderate,moderate,moderate,limited,NA
aeromonas rivipollensis,limited,limited,limited,limited,limited,limited,limited,moderate,moderate,limited,NA
aeromonas rivuli,limited,limited,limited,moderate,limited,limited,limited,moderate,limited,limited,limited
aeromonas sanarellii,limited,moderate,limited,limited,limited,moderate,NA,moderate,limited,limited,limited
aeromonas schubertii,moderate,moderate,moderate,limited,limited,moderate,moderate,moderate,moderate,NA,limited
aeromonas simiae,limited,moderate,limited,limited,limited,limited,limited,limited,limited,limited,limited
aeromonas sobria,extensive,extensive,moderate,moderate,extensive,extensive,extensive,extensive,extensive,moderate,moderate
aeromonas taiwanensis,limited,limited,limited,limited,moderate,limited,limited,moderate,limited,NA,limited
aeromonas tecta,limited,limited,limited,moderate,limited,limited,moderate,moderate,limited,NA,NA
aeromonas veronii,extensive,extensive,extensive,extensive,extensive,extensive,extensive,extensive,extensive,moderate,extensive
aerosticca soli,limited,limited,limited,NA,NA,NA,NA,NA,NA,NA,NA
aestuariimicrobium kwangyangense,limited,limited,limited,limited,limited,limited,limited,NA,limited,limited,limited
aestuariimicrobium soli,limited,limited,limited,limited,limited,limited,limited,NA,NA,NA,NA
afipia carboxidovorans,limited,limited,limited,limited,limited,limited,limited,moderate,moderate,limited,limited
agathobacter rectalis,moderate,limited,moderate,moderate,moderate,moderate,extensive,extensive,extensive,NA,moderate
aggregatibacter actinomycetemcomitans,extensive,extensive,extensive,extensive,extensive,extensive,extensive,extensive,extensive,moderate,extensive
aggregatibacter kilianii,limited,limited,limited,limited,limited,limited,moderate,moderate,limited,NA,limited
agrobacterium albertimagni,limited,limited,limited,limited,NA,NA,NA,moderate,limited,NA,limited
agrobacterium burrii,limited,limited,limited,limited,limited,NA,NA,moderate,NA,NA,NA
agrobacterium fabrum,extensive,extensive,extensive,moderate,extensive,extensive,extensive,extensive,extensive,moderate,extensive
agrobacterium leguminum,limited,limited,NA,limited,NA,NA,NA,limited,NA,NA,NA
agrobacterium pusense,limited,limited,limited,moderate,limited,limited,limited,moderate,moderate,limited,limited
agrobacterium salinitolerans,limited,limited,limited,limited,limited,,limited,limited,limited,limited,NA
agrobacterium tumefaciens,extensive,extensive,extensive,extensive,extensive,extensive,extensive,extensive,extensive,extensive,extensive
agromyces allii,limited,limited,limited,limited,limited,limited,limited,NA,limited,NA,NA
agromyces aureus,limited,limited,limited,limited,limited,NA,limited,moderate,limited,NA,NA
agromyces insulae,limited,limited,limited,limited,limited,limited,limited,NA,limited,limited,limited
agromyces italicus,limited,limited,limited,limited,limited,limited,limited,limited,limited,NA,limited
agromyces lapidis,limited,limited,limited,limited,NA,limited,limited,limited,limited,limited,limited
agromyces salentinus,limited,limited,limited,limited,limited,limited,limited,limited,limited,limited,limited
agromyces seonyuensis,limited,limited,limited,limited,limited,limited,limited,NA,limited,limited,NA
agromyces terreus,limited,limited,limited,limited,limited,limited,moderate,NA,limited,NA,limited
alcaligenes aquatilis,limited,limited,limited,limited,limited,limited,moderate,moderate,NA,NA,NA
alcaligenes endophyticus,limited,limited,limited,limited,limited,limited,limited,moderate,NA,limited,limited
alcaligenes faecalis,extensive,extensive,moderate,extensive,moderate,moderate,extensive,extensive,extensive,moderate,moderate
alcanivorax xiamenensis,limited,moderate,limited,moderate,moderate,moderate,moderate,moderate,moderate,limited,limited
algoriphagus machipongonensis,limited,limited,limited,limited,limited,limited,limited,moderate,limited,limited,limited
aliarcobacter butzleri,extensive,extensive,extensive,moderate,extensive,extensive,extensive,extensive,extensive,moderate,extensive
alicyclobacillus acidoterrestris,extensive,extensive,moderate,moderate,extensive,extensive,extensive,extensive,extensive,moderate,extensive
alicyclobacillus fastidiosus,limited,moderate,limited,limited,limited,limited,moderate,moderate,limited,NA,limited
alicyclobacillus hesperidum,limited,moderate,limited,limited,limited,limited,moderate,limited,limited,NA,limited
alicyclobacillus sacchari,limited,limited,limited,moderate,limited,limited,moderate,moderate,limited,NA,NA
alicyclobacillus suci,limited,limited,limited,limited,NA,NA,NA,moderate,NA,limited,NA
aliivibrio finisterrensis,limited,limited,limited,moderate,limited,limited,limited,NA,limited,NA,NA
aliivibrio fischeri,extensive,extensive,extensive,extensive,extensive,extensive,extensive,extensive,extensive,extensive,extensive
aliivibrio logei,limited,moderate,moderate,moderate,limited,limited,moderate,moderate,moderate,NA,limited
aliivibrio salmonicida,extensive,extensive,moderate,moderate,extensive,moderate,extensive,extensive,extensive,moderate,extensive
aliivibrio sifiae,limited,limited,NA,limited,limited,moderate,NA,NA,NA,NA,NA
aliivibrio wodanis,moderate,moderate,moderate,moderate,moderate,moderate,moderate,extensive,moderate,limited,moderate
alishewanella fetalis,limited,limited,limited,limited,limited,moderate,limited,NA,limited,moderate,NA
alishewanella tabrizica,limited,limited,limited,limited,limited,limited,limited,limited,NA,limited,limited
alistipes finegoldii,moderate,extensive,moderate,moderate,moderate,moderate,moderate,extensive,moderate,limited,limited
alkalibacillus filiformis,limited,limited,limited,moderate,limited,limited,limited,limited,limited,NA,limited
alkalibacillus haloalkaliphilus,limited,moderate,limited,moderate,limited,limited,moderate,moderate,limited,NA,limited
alkalibacillus silvisoli,limited,limited,limited,limited,limited,limited,limited,limited,limited,limited,limited
alkalihalophilus marmarensis,limited,limited,limited,limited,limited,limited,limited,NA,NA,limited,limited
alloalcanivorax dieselolei,limited,limited,moderate,limited,limited,limited,moderate,extensive,moderate,moderate,NA
alloalcanivorax xenomutans,limited,limited,limited,NA,limited,NA,NA,NA,limited,NA,NA
allohumibacter endophyticus,limited,limited,limited,limited,limited,limited,limited,NA,limited,limited,NA
alloprevotella rava,limited,limited,limited,limited,limited,moderate,NA,moderate,limited,limited,limited
allorhizobium borbori,limited,limited,limited,limited,limited,NA,NA,NA,limited,NA,limited
alloscardovia omnicolens,limited,limited,moderate,limited,limited,moderate,moderate,limited,moderate,limited,limited
alloscardovia venturai,limited,limited,limited,limited,limited,limited,limited,limited,NA,limited,NA
alteromonas aestuariivivens,limited,limited,limited,limited,limited,limited,NA,moderate,limited,NA,NA
alteromonas australica,limited,moderate,limited,limited,limited,limited,moderate,moderate,moderate,NA,NA
alteromonas gracilis,limited,limited,moderate,limited,moderate,limited,NA,moderate,limited,limited,NA
alteromonas hispanica,limited,moderate,moderate,limited,limited,limited,moderate,moderate,limited,NA,limited
alteromonas lipolytica,limited,limited,limited,moderate,moderate,moderate,NA,moderate,limited,NA,NA
alteromonas lipotrueae,limited,limited,limited,NA,NA,NA,NA,NA,limited,NA,NA
alteromonas macleodii,extensive,extensive,extensive,extensive,extensive,extensive,extensive,extensive,extensive,moderate,extensive
alteromonas marina,moderate,moderate,limited,moderate,moderate,,moderate,extensive,NA,NA,NA
alteromonas naphthalenivorans,limited,limited,limited,moderate,moderate,moderate,moderate,moderate,NA,limited,limited
alteromonas portus,limited,limited,limited,limited,limited,limited,moderate,moderate,NA,NA,NA
alteromonas simiduii,limited,limited,limited,moderate,limited,NA,NA,NA,NA,limited,NA
alteromonas tagae,limited,limited,limited,limited,limited,NA,moderate,limited,limited,NA,NA
aminobacter aganoensis,limited,limited,limited,limited,moderate,limited,moderate,moderate,limited,NA,limited
aminobacter aminovorans,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,NA,limited
aminobacter anthyllidis,limited,limited,limited,limited,limited,limited,limited,NA,limited,NA,limited
aminobacter carboxidus,limited,limited,limited,moderate,moderate,limited,moderate,limited,NA,NA,NA
aminobacter lissarensis,limited,limited,limited,limited,limited,limited,limited,NA,limited,NA,NA
aminobacter niigataensis,limited,limited,limited,limited,moderate,moderate,limited,moderate,moderate,limited,limited
ampullimonas aquatilis,limited,limited,limited,limited,NA,limited,limited,NA,limited,limited,NA
amycolatopsis acidicola,limited,limited,limited,limited,limited,NA,limited,limited,limited,NA,NA
amycolatopsis albidoflavus,moderate,limited,moderate,moderate,moderate,moderate,moderate,extensive,limited,NA,limited
amycolatopsis azurea,limited,limited,moderate,moderate,limited,limited,limited,moderate,moderate,NA,limited
amycolatopsis balhimycina,limited,limited,moderate,moderate,moderate,moderate,moderate,extensive,moderate,moderate,moderate
amycolatopsis bullii,limited,limited,limited,limited,limited,limited,NA,NA,limited,limited,NA
amycolatopsis cappadoca,limited,NA,limited,limited,limited,NA,moderate,NA,NA,NA,NA
amycolatopsis dendrobii,limited,limited,limited,limited,limited,limited,limited,limited,limited,NA,limited
amycolatopsis eburnea,limited,limited,limited,moderate,moderate,moderate,moderate,moderate,limited,limited,limited
amycolatopsis japonica,limited,limited,limited,limited,moderate,limited,moderate,moderate,moderate,NA,limited
amycolatopsis kentuckyensis,limited,limited,limited,limited,limited,limited,limited,moderate,limited,NA,moderate
amycolatopsis keratiniphila,limited,moderate,limited,moderate,limited,limited,moderate,moderate,moderate,NA,NA
amycolatopsis lexingtonensis,limited,limited,limited,limited,limited,limited,moderate,moderate,limited,NA,NA
amycolatopsis lurida,limited,limited,limited,moderate,limited,limited,moderate,moderate,moderate,NA,limited
amycolatopsis mediterranei,extensive,extensive,extensive,extensive,extensive,extensive,extensive,extensive,extensive,moderate,extensive
amycolatopsis oliviviridis,limited,limited,limited,limited,limited,NA,moderate,NA,limited,NA,NA
amycolatopsis orientalis,extensive,extensive,moderate,moderate,moderate,extensive,extensive,extensive,extensive,moderate,extensive
amycolatopsis pretoriensis,limited,limited,limited,limited,limited,,moderate,moderate,limited,limited,NA
amycolatopsis regifaucium,limited,limited,limited,limited,limited,NA,NA,NA,limited,NA,NA
amycolatopsis rifamycinica,moderate,moderate,moderate,moderate,NA,moderate,extensive,extensive,moderate,NA,NA
amycolatopsis roodepoortensis,limited,limited,limited,limited,limited,limited,moderate,limited,limited,limited,NA
amycolatopsis silviterrae,limited,limited,limited,limited,limited,limited,limited,NA,limited,limited,NA
amycolatopsis tolypomycina,limited,limited,limited,moderate,limited,limited,NA,moderate,limited,limited,NA
amycolatopsis vancoresmycina,limited,moderate,limited,moderate,limited,moderate,moderate,moderate,limited,limited,limited
anaerobutyricum hallii,moderate,limited,moderate,moderate,moderate,moderate,moderate,extensive,extensive,NA,moderate
anaeromyxobacter dehalogenans,moderate,moderate,moderate,moderate,extensive,moderate,moderate,extensive,moderate,moderate,moderate
aquamicrobium aestuarii,limited,limited,limited,limited,limited,moderate,limited,moderate,limited,limited,limited
aquamicrobium ahrensii,limited,limited,limited,limited,limited,limited,limited,limited,limited,limited,NA
aquamicrobium defluvii,limited,limited,moderate,limited,limited,limited,limited,moderate,limited,NA,limited
aquamicrobium terrae,limited,limited,limited,limited,limited,limited,limited,moderate,limited,NA,NA
aquaspirillum arcticum,limited,limited,limited,limited,limited,limited,limited,limited,limited,limited,NA
aquaspirillum serpens,limited,extensive,moderate,moderate,limited,limited,moderate,moderate,moderate,limited,limited
