species,phenotype,phenotype_label,model_id,model_display,knowledge_group,prediction
Agathobacter rectalis,biosafety_level,Biosafety Level,x-ai/grok-3-mini,xAI grok-3-mini,extensive,biosafety level 1
Agrobacterium fabrum,biosafety_level,Biosafety Level,x-ai/grok-3-mini,xAI grok-3-mini,extensive,biosafety level 1
Burkholderia glumae,biosafety_level,Biosafety Level,x-ai/grok-3-mini,xAI grok-3-mini,extensive,biosafety level 1
Burkholderia mallei,biosafety_level,Biosafety Level,x-ai/grok-3-mini,xAI grok-3-mini,extensive,biosafety level 3
Burkholderia multivorans,biosafety_level,Biosafety Level,x-ai/grok-3-mini,xAI grok-3-mini,extensive,biosafety level 2
Clostridium ljungdahlii,biosafety_level,Biosafety Level,x-ai/grok-3-mini,xAI grok-3-mini,extensive,biosafety level 1
Escherichia coli,biosafety_level,Biosafety Level,x-ai/grok-3-mini,xAI grok-3-mini,extensive,biosafety level 2
Lactobacillus acidophilus,biosafety_level,Biosafety Level,x-ai/grok-3-mini,xAI grok-3-mini,extensive,biosafety level 1
Mycobacterium tuberculosis,biosafety_level,Biosafety Level,x-ai/grok-3-mini,xAI grok-3-mini,extensive,biosafety level 3
Mycoplasma mycoides,biosafety_level,Biosafety Level,x-ai/grok-3-mini,xAI grok-3-mini,extensive,biosafety level 2
Mycoplasmoides pneumoniae,biosafety_level,Biosafety Level,x-ai/grok-3-mini,xAI grok-3-mini,extensive,biosafety level 2
Pasteurella multocida,biosafety_level,Biosafety Level,x-ai/grok-3-mini,xAI grok-3-mini,extensive,biosafety level 2
Prevotella nigrescens,biosafety_level,Biosafety Level,x-ai/grok-3-mini,xAI grok-3-mini,extensive,biosafety level 2
Ralstonia pickettii,biosafety_level,Biosafety Level,x-ai/grok-3-mini,xAI grok-3-mini,extensive,biosafety level 2
Rickettsia parkeri,biosafety_level,Biosafety Level,x-ai/grok-3-mini,xAI grok-3-mini,extensive,biosafety level 3
Rickettsia prowazekii,biosafety_level,Biosafety Level,x-ai/grok-3-mini,xAI grok-3-mini,extensive,biosafety level 3
Staphylococcus saprophyticus,biosafety_level,Biosafety Level,x-ai/grok-3-mini,xAI grok-3-mini,extensive,biosafety level 2
Streptococcus equi,biosafety_level,Biosafety Level,x-ai/grok-3-mini,xAI grok-3-mini,extensive,biosafety level 2
Streptococcus parasanguinis,biosafety_level,Biosafety Level,x-ai/grok-3-mini,xAI grok-3-mini,extensive,biosafety level 2
Streptomyces coelicolor,biosafety_level,Biosafety Level,x-ai/grok-3-mini,xAI grok-3-mini,extensive,biosafety level 1
Treponema denticola,biosafety_level,Biosafety Level,x-ai/grok-3-mini,xAI grok-3-mini,extensive,biosafety level 2
[Haemophilus] ducreyi,biosafety_level,Biosafety Level,x-ai/grok-3-mini,xAI grok-3-mini,extensive,biosafety level 2
Aeromonas sobria,host_association,Host Association,anthropic/claude-sonnet-4,Anthropic claude-sonnet-4,extensive,TRUE
Amycolatopsis orientalis,host_association,Host Association,anthropic/claude-sonnet-4,Anthropic claude-sonnet-4,extensive,FALSE
Arthrobacter globiformis,host_association,Host Association,anthropic/claude-sonnet-4,Anthropic claude-sonnet-4,extensive,FALSE
Brevibacterium linens,host_association,Host Association,anthropic/claude-sonnet-4,Anthropic claude-sonnet-4,extensive,TRUE
Corynebacterium glutamicum,host_association,Host Association,anthropic/claude-sonnet-4,Anthropic claude-sonnet-4,extensive,FALSE
Stutzerimonas stutzeri,host_association,Host Association,anthropic/claude-sonnet-4,Anthropic claude-sonnet-4,extensive,TRUE
Acinetobacter lwoffii,plant_pathogenicity,Plant Pathogenicity,anthropic/claude-sonnet-4,Anthropic claude-sonnet-4,extensive,FALSE
Campylobacter coli,plant_pathogenicity,Plant Pathogenicity,anthropic/claude-sonnet-4,Anthropic claude-sonnet-4,extensive,FALSE
Campylobacter jejuni,plant_pathogenicity,Plant Pathogenicity,anthropic/claude-sonnet-4,Anthropic claude-sonnet-4,extensive,FALSE
Klebsiella oxytoca,plant_pathogenicity,Plant Pathogenicity,anthropic/claude-sonnet-4,Anthropic claude-sonnet-4,extensive,FALSE
Klebsiella pneumoniae,plant_pathogenicity,Plant Pathogenicity,anthropic/claude-sonnet-4,Anthropic claude-sonnet-4,extensive,FALSE
Acetobacter pasteurianus,spore_formation,Spore Formation,openai/gpt-oss-120b,OpenAI gpt-oss-120b,extensive,FALSE
Actinobacillus pleuropneumoniae,spore_formation,Spore Formation,openai/gpt-oss-120b,OpenAI gpt-oss-120b,extensive,FALSE
Aggregatibacter actinomycetemcomitans,spore_formation,Spore Formation,openai/gpt-oss-120b,OpenAI gpt-oss-120b,extensive,FALSE
Agrobacterium fabrum,spore_formation,Spore Formation,openai/gpt-oss-120b,OpenAI gpt-oss-120b,extensive,FALSE
Avibacterium paragallinarum,spore_formation,Spore Formation,openai/gpt-oss-120b,OpenAI gpt-oss-120b,extensive,FALSE
Bacteroides cellulosilyticus,spore_formation,Spore Formation,openai/gpt-oss-120b,OpenAI gpt-oss-120b,extensive,FALSE
Bdellovibrio bacteriovorus,spore_formation,Spore Formation,openai/gpt-oss-120b,OpenAI gpt-oss-120b,extensive,FALSE
Bibersteinia trehalosi,spore_formation,Spore Formation,openai/gpt-oss-120b,OpenAI gpt-oss-120b,extensive,FALSE
Bifidobacterium adolescentis,spore_formation,Spore Formation,openai/gpt-oss-120b,OpenAI gpt-oss-120b,extensive,FALSE
Bifidobacterium dentium,spore_formation,Spore Formation,openai/gpt-oss-120b,OpenAI gpt-oss-120b,extensive,FALSE
Borreliella afzelii,spore_formation,Spore Formation,openai/gpt-oss-120b,OpenAI gpt-oss-120b,extensive,FALSE
Borreliella burgdorferi,spore_formation,Spore Formation,openai/gpt-oss-120b,OpenAI gpt-oss-120b,extensive,FALSE
Borreliella garinii,spore_formation,Spore Formation,openai/gpt-oss-120b,OpenAI gpt-oss-120b,extensive,FALSE
Brachyspira hyodysenteriae,spore_formation,Spore Formation,openai/gpt-oss-120b,OpenAI gpt-oss-120b,extensive,FALSE
Burkholderia cepacia,spore_formation,Spore Formation,openai/gpt-oss-120b,OpenAI gpt-oss-120b,extensive,FALSE
Burkholderia glumae,spore_formation,Spore Formation,openai/gpt-oss-120b,OpenAI gpt-oss-120b,extensive,FALSE
Burkholderia multivorans,spore_formation,Spore Formation,openai/gpt-oss-120b,OpenAI gpt-oss-120b,extensive,FALSE
Campylobacter jejuni,spore_formation,Spore Formation,openai/gpt-oss-120b,OpenAI gpt-oss-120b,extensive,FALSE
Clostridioides difficile,spore_formation,Spore Formation,openai/gpt-oss-120b,OpenAI gpt-oss-120b,extensive,TRUE
Clostridium acetobutylicum,spore_formation,Spore Formation,openai/gpt-oss-120b,OpenAI gpt-oss-120b,extensive,TRUE
Clostridium kluyveri,spore_formation,Spore Formation,openai/gpt-oss-120b,OpenAI gpt-oss-120b,extensive,TRUE
Clostridium ljungdahlii,spore_formation,Spore Formation,openai/gpt-oss-120b,OpenAI gpt-oss-120b,extensive,TRUE
Clostridium pasteurianum,spore_formation,Spore Formation,openai/gpt-oss-120b,OpenAI gpt-oss-120b,extensive,TRUE
Corynebacterium urealyticum,spore_formation,Spore Formation,openai/gpt-oss-120b,OpenAI gpt-oss-120b,extensive,FALSE
Dickeya dadantii,spore_formation,Spore Formation,openai/gpt-oss-120b,OpenAI gpt-oss-120b,extensive,FALSE
Eggerthella lenta,spore_formation,Spore Formation,openai/gpt-oss-120b,OpenAI gpt-oss-120b,extensive,FALSE
Erysipelothrix rhusiopathiae,spore_formation,Spore Formation,openai/gpt-oss-120b,OpenAI gpt-oss-120b,extensive,FALSE
Fusobacterium necrophorum,spore_formation,Spore Formation,openai/gpt-oss-120b,OpenAI gpt-oss-120b,extensive,FALSE
Fusobacterium varium,spore_formation,Spore Formation,openai/gpt-oss-120b,OpenAI gpt-oss-120b,extensive,FALSE
Glaesserella parasuis,spore_formation,Spore Formation,openai/gpt-oss-120b,OpenAI gpt-oss-120b,extensive,FALSE
Haemophilus influenzae,spore_formation,Spore Formation,openai/gpt-oss-120b,OpenAI gpt-oss-120b,extensive,FALSE
Halomonas elongata,spore_formation,Spore Formation,openai/gpt-oss-120b,OpenAI gpt-oss-120b,extensive,FALSE
Histophilus somni,spore_formation,Spore Formation,openai/gpt-oss-120b,OpenAI gpt-oss-120b,extensive,FALSE
Lacticaseibacillus paracasei,spore_formation,Spore Formation,openai/gpt-oss-120b,OpenAI gpt-oss-120b,extensive,FALSE
Lactobacillus acidophilus,spore_formation,Spore Formation,openai/gpt-oss-120b,OpenAI gpt-oss-120b,extensive,FALSE
Lactobacillus gasseri,spore_formation,Spore Formation,openai/gpt-oss-120b,OpenAI gpt-oss-120b,extensive,FALSE
Lactobacillus johnsonii,spore_formation,Spore Formation,openai/gpt-oss-120b,OpenAI gpt-oss-120b,extensive,FALSE
Lactococcus lactis,spore_formation,Spore Formation,openai/gpt-oss-120b,OpenAI gpt-oss-120b,extensive,FALSE
Leptospira borgpetersenii,spore_formation,Spore Formation,openai/gpt-oss-120b,OpenAI gpt-oss-120b,extensive,FALSE
Leptospira interrogans,spore_formation,Spore Formation,openai/gpt-oss-120b,OpenAI gpt-oss-120b,extensive,FALSE
Leptospira kirschneri,spore_formation,Spore Formation,openai/gpt-oss-120b,OpenAI gpt-oss-120b,extensive,FALSE
Levilactobacillus brevis,spore_formation,Spore Formation,openai/gpt-oss-120b,OpenAI gpt-oss-120b,extensive,FALSE
Listeria ivanovii,spore_formation,Spore Formation,openai/gpt-oss-120b,OpenAI gpt-oss-120b,extensive,FALSE
Mannheimia haemolytica,spore_formation,Spore Formation,openai/gpt-oss-120b,OpenAI gpt-oss-120b,extensive,FALSE
Mesomycoplasma ovipneumoniae,spore_formation,Spore Formation,openai/gpt-oss-120b,OpenAI gpt-oss-120b,extensive,FALSE
Metamycoplasma hominis,spore_formation,Spore Formation,openai/gpt-oss-120b,OpenAI gpt-oss-120b,extensive,FALSE
Methanosarcina barkeri,spore_formation,Spore Formation,openai/gpt-oss-120b,OpenAI gpt-oss-120b,extensive,FALSE
Mycoplasma mycoides,spore_formation,Spore Formation,openai/gpt-oss-120b,OpenAI gpt-oss-120b,extensive,FALSE
Mycoplasmoides gallisepticum,spore_formation,Spore Formation,openai/gpt-oss-120b,OpenAI gpt-oss-120b,extensive,FALSE
Mycoplasmoides pneumoniae,spore_formation,Spore Formation,openai/gpt-oss-120b,OpenAI gpt-oss-120b,extensive,FALSE
Mycoplasmopsis pulmonis,spore_formation,Spore Formation,openai/gpt-oss-120b,OpenAI gpt-oss-120b,extensive,FALSE
Mycoplasmopsis synoviae,spore_formation,Spore Formation,openai/gpt-oss-120b,OpenAI gpt-oss-120b,extensive,FALSE
Neisseria sicca,spore_formation,Spore Formation,openai/gpt-oss-120b,OpenAI gpt-oss-120b,extensive,FALSE
Nitrobacter winogradskyi,spore_formation,Spore Formation,openai/gpt-oss-120b,OpenAI gpt-oss-120b,extensive,FALSE
Nitrosomonas eutropha,spore_formation,Spore Formation,openai/gpt-oss-120b,OpenAI gpt-oss-120b,extensive,FALSE
Nocardia asteroides,spore_formation,Spore Formation,openai/gpt-oss-120b,OpenAI gpt-oss-120b,extensive,TRUE
Paenibacillus alvei,spore_formation,Spore Formation,openai/gpt-oss-120b,OpenAI gpt-oss-120b,extensive,TRUE
Pantoea stewartii,spore_formation,Spore Formation,openai/gpt-oss-120b,OpenAI gpt-oss-120b,extensive,FALSE
Pasteurella multocida,spore_formation,Spore Formation,openai/gpt-oss-120b,OpenAI gpt-oss-120b,extensive,FALSE
Photorhabdus luminescens,spore_formation,Spore Formation,openai/gpt-oss-120b,OpenAI gpt-oss-120b,extensive,FALSE
Prevotella melaninogenica,spore_formation,Spore Formation,openai/gpt-oss-120b,OpenAI gpt-oss-120b,extensive,FALSE
Prevotella nigrescens,spore_formation,Spore Formation,openai/gpt-oss-120b,OpenAI gpt-oss-120b,extensive,FALSE
Pseudomonas chlororaphis,spore_formation,Spore Formation,openai/gpt-oss-120b,OpenAI gpt-oss-120b,extensive,FALSE
Pseudomonas syringae,spore_formation,Spore Formation,openai/gpt-oss-120b,OpenAI gpt-oss-120b,extensive,FALSE
Ralstonia solanacearum,spore_formation,Spore Formation,openai/gpt-oss-120b,OpenAI gpt-oss-120b,extensive,FALSE
Saccharopolyspora erythraea,spore_formation,Spore Formation,openai/gpt-oss-120b,OpenAI gpt-oss-120b,extensive,TRUE
Salmonella enterica,spore_formation,Spore Formation,openai/gpt-oss-120b,OpenAI gpt-oss-120b,extensive,FALSE
Streptococcus agalactiae,spore_formation,Spore Formation,openai/gpt-oss-120b,OpenAI gpt-oss-120b,extensive,FALSE
Streptococcus equi,spore_formation,Spore Formation,openai/gpt-oss-120b,OpenAI gpt-oss-120b,extensive,FALSE
Streptococcus gallolyticus,spore_formation,Spore Formation,openai/gpt-oss-120b,OpenAI gpt-oss-120b,extensive,FALSE
Streptococcus parasanguinis,spore_formation,Spore Formation,openai/gpt-oss-120b,OpenAI gpt-oss-120b,extensive,FALSE
Streptomyces avermitilis,spore_formation,Spore Formation,openai/gpt-oss-120b,OpenAI gpt-oss-120b,extensive,TRUE
Streptomyces coelicolor,spore_formation,Spore Formation,openai/gpt-oss-120b,OpenAI gpt-oss-120b,extensive,TRUE
Streptomyces hygroscopicus,spore_formation,Spore Formation,openai/gpt-oss-120b,OpenAI gpt-oss-120b,extensive,TRUE
Thiobacillus denitrificans,spore_formation,Spore Formation,openai/gpt-oss-120b,OpenAI gpt-oss-120b,extensive,FALSE
[Clostridium] leptum,spore_formation,Spore Formation,openai/gpt-oss-120b,OpenAI gpt-oss-120b,extensive,TRUE
[Haemophilus] ducreyi,spore_formation,Spore Formation,openai/gpt-oss-120b,OpenAI gpt-oss-120b,extensive,FALSE
Acidipropionibacterium acidipropionici,cell_shape,Cell Shape,openai/gpt-4.1-nano,OpenAI gpt-4.1-nano,extensive,coccus
Actinomyces naeslundii,cell_shape,Cell Shape,openai/gpt-4.1-nano,OpenAI gpt-4.1-nano,extensive,coccus
Actinomyces oris,cell_shape,Cell Shape,openai/gpt-4.1-nano,OpenAI gpt-4.1-nano,extensive,bacillus
Actinomyces viscosus,cell_shape,Cell Shape,openai/gpt-4.1-nano,OpenAI gpt-4.1-nano,extensive,bacillus
Actinoplanes globisporus,cell_shape,Cell Shape,openai/gpt-4.1-nano,OpenAI gpt-4.1-nano,extensive,tail
Actinoplanes missouriensis,cell_shape,Cell Shape,openai/gpt-4.1-nano,OpenAI gpt-4.1-nano,extensive,bacillus
Aerococcus urinae,cell_shape,Cell Shape,openai/gpt-4.1-nano,OpenAI gpt-4.1-nano,extensive,coccus
Aliarcobacter butzleri,cell_shape,Cell Shape,openai/gpt-4.1-nano,OpenAI gpt-4.1-nano,extensive,spirillum
Amycolatopsis albidoflavus,cell_shape,Cell Shape,openai/gpt-4.1-nano,OpenAI gpt-4.1-nano,extensive,bacillus
Amycolatopsis balhimycina,cell_shape,Cell Shape,openai/gpt-4.1-nano,OpenAI gpt-4.1-nano,extensive,bacillus
Amycolatopsis mediterranei,cell_shape,Cell Shape,openai/gpt-4.1-nano,OpenAI gpt-4.1-nano,extensive,bacillus
Amycolatopsis orientalis,cell_shape,Cell Shape,openai/gpt-4.1-nano,OpenAI gpt-4.1-nano,extensive,bacillus
Amycolatopsis rifamycinica,cell_shape,Cell Shape,openai/gpt-4.1-nano,OpenAI gpt-4.1-nano,extensive,bacillus
Anaerobutyricum hallii,cell_shape,Cell Shape,openai/gpt-4.1-nano,OpenAI gpt-4.1-nano,extensive,bacillus
Avibacterium paragallinarum,cell_shape,Cell Shape,openai/gpt-4.1-nano,OpenAI gpt-4.1-nano,extensive,coccus
Bdellovibrio bacteriovorus,cell_shape,Cell Shape,openai/gpt-4.1-nano,OpenAI gpt-4.1-nano,extensive,tail
Brevibacterium linens,cell_shape,Cell Shape,openai/gpt-4.1-nano,OpenAI gpt-4.1-nano,extensive,coccus
Brevundimonas diminuta,cell_shape,Cell Shape,openai/gpt-4.1-nano,OpenAI gpt-4.1-nano,extensive,bacillus
Capnocytophaga gingivalis,cell_shape,Cell Shape,openai/gpt-4.1-nano,OpenAI gpt-4.1-nano,extensive,bacillus
Clostridium hominis,cell_shape,Cell Shape,openai/gpt-4.1-nano,OpenAI gpt-4.1-nano,extensive,bacillus
Corynebacterium amycolatum,cell_shape,Cell Shape,openai/gpt-4.1-nano,OpenAI gpt-4.1-nano,extensive,coccus
Corynebacterium pseudodiphtheriticum,cell_shape,Cell Shape,openai/gpt-4.1-nano,OpenAI gpt-4.1-nano,extensive,coccus
Corynebacterium striatum,cell_shape,Cell Shape,openai/gpt-4.1-nano,OpenAI gpt-4.1-nano,extensive,coccus
Corynebacterium xerosis,cell_shape,Cell Shape,openai/gpt-4.1-nano,OpenAI gpt-4.1-nano,extensive,coccus
Cutibacterium acnes,cell_shape,Cell Shape,openai/gpt-4.1-nano,OpenAI gpt-4.1-nano,extensive,coccus
Deinococcus geothermalis,cell_shape,Cell Shape,openai/gpt-4.1-nano,OpenAI gpt-4.1-nano,extensive,coccus
Deinococcus radiodurans,cell_shape,Cell Shape,openai/gpt-4.1-nano,OpenAI gpt-4.1-nano,extensive,coccus
Desulfatibacillum alkenivorans,cell_shape,Cell Shape,openai/gpt-4.1-nano,OpenAI gpt-4.1-nano,extensive,bacillus
Eggerthella lenta,cell_shape,Cell Shape,openai/gpt-4.1-nano,OpenAI gpt-4.1-nano,extensive,bacillus
Enterococcus durans,cell_shape,Cell Shape,openai/gpt-4.1-nano,OpenAI gpt-4.1-nano,extensive,coccus
Enterococcus faecium,cell_shape,Cell Shape,openai/gpt-4.1-nano,OpenAI gpt-4.1-nano,extensive,coccus
