binomial_name	species_level	trait_motility	trait_gram_staining	trait_aerophilicity	trait_extreme_environment_tolerance	trait_biofilm_formation	trait_animal_pathogenicity	trait_biosafety_level	trait_health_association	trait_host_association	trait_plant_pathogenicity	trait_spore_formation	trait_cell_shape	agg_tier	agg_mean	agg_n_ordinal	agg_na_frac	agg_max	agg_min	agg_mode
Salmonella enterica	extensive	extensive	extensive	extensive	moderate	extensive	extensive	extensive	limited	extensive	limited	limited	extensive	moderate	1.4167	12	0.0000	extensive	limited	extensive
Neisseria gonorrhoeae	extensive	limited	extensive	extensive	moderate	moderate	limited	extensive	limited	extensive	limited	limited	extensive	moderate	1.0000	12	0.0000	extensive	limited	limited
Vibrio cholerae	extensive	extensive	extensive	extensive	extensive	extensive	moderate	extensive	moderate	extensive	limited	NA	extensive	extensive	1.6364	11	0.0833	extensive	limited	extensive
Staphylococcus epidermidis	extensive	limited	extensive	extensive	moderate	extensive	limited	moderate	extensive	moderate	limited	limited	extensive	moderate	1.0833	12	0.0000	extensive	limited	extensive
Clostridium perfringens	extensive	extensive	extensive	extensive	moderate	moderate	extensive	extensive	moderate	extensive	limited	extensive	extensive	extensive	1.5833	12	0.0000	extensive	limited	extensive
Enterococcus faecium	extensive	limited	extensive	moderate	moderate	extensive	moderate	moderate	extensive	moderate	limited	limited	moderate	moderate	1.0000	12	0.0000	extensive	limited	moderate
Acinetobacter baumannii	extensive	moderate	extensive	extensive	moderate	extensive	moderate	extensive	limited	moderate	limited	limited	moderate	moderate	1.0833	12	0.0000	extensive	limited	moderate
Neisseria meningitidis	extensive	moderate	extensive	extensive	moderate	moderate	moderate	extensive	moderate	extensive	limited	limited	extensive	moderate	1.2500	12	0.0000	extensive	limited	moderate
Streptococcus mutans	extensive	limited	extensive	moderate	moderate	extensive	limited	moderate	moderate	moderate	limited	limited	extensive	moderate	0.9167	12	0.0000	extensive	limited	moderate
Proteus mirabilis	extensive	extensive	extensive	extensive	moderate	extensive	moderate	moderate	moderate	moderate	limited	limited	extensive	moderate	1.2500	12	0.0000	extensive	limited	extensive
Campylobacter jejuni	extensive	extensive	moderate	extensive	moderate	moderate	extensive	moderate	extensive	extensive	limited	limited	moderate	moderate	1.2500	12	0.0000	extensive	limited	extensive
Agrobacterium tumefaciens	extensive	extensive	extensive	extensive	moderate	extensive	limited	extensive	limited	extensive	extensive	limited	extensive	moderate	1.4167	12	0.0000	extensive	limited	extensive
Pseudomonas fluorescens	extensive	extensive	moderate	extensive	moderate	extensive	limited	moderate	limited	limited	limited	limited	extensive	moderate	0.9167	12	0.0000	extensive	limited	limited
Bacillus anthracis	extensive	moderate	extensive	moderate	moderate	moderate	extensive	extensive	limited	moderate	limited	extensive	extensive	moderate	1.2500	12	0.0000	extensive	limited	moderate
Serratia marcescens	extensive	extensive	extensive	extensive	moderate	extensive	moderate	moderate	limited	moderate	limited	limited	extensive	moderate	1.1667	12	0.0000	extensive	limited	extensive
Streptococcus thermophilus	extensive	limited	extensive	moderate	moderate	moderate	limited	limited	extensive	limited	limited	limited	moderate	moderate	0.6667	12	0.0000	extensive	limited	limited
Pseudomonas putida	extensive	extensive	moderate	extensive	moderate	moderate	limited	moderate	limited	limited	limited	limited	extensive	moderate	0.8333	12	0.0000	extensive	limited	limited
Bifidobacterium longum	extensive	limited	extensive	moderate	moderate	moderate	limited	moderate	extensive	extensive	limited	limited	moderate	moderate	0.9167	12	0.0000	extensive	limited	moderate
Legionella pneumophila	extensive	moderate	moderate	extensive	moderate	extensive	extensive	extensive	limited	extensive	limited	limited	moderate	moderate	1.1667	12	0.0000	extensive	limited	extensive
Lactococcus lactis	extensive	limited	extensive	moderate	moderate	moderate	limited	moderate	extensive	limited	limited	limited	moderate	moderate	0.7500	12	0.0000	extensive	limited	limited
Streptococcus agalactiae	extensive	moderate	extensive	moderate	moderate	extensive	extensive	moderate	limited	extensive	limited	limited	extensive	moderate	1.1667	12	0.0000	extensive	limited	extensive
Yersinia pestis	extensive	moderate	extensive	moderate	moderate	moderate	extensive	extensive	limited	extensive	limited	limited	extensive	moderate	1.1667	12	0.0000	extensive	limited	extensive
Enterobacter cloacae	extensive	extensive	extensive	moderate	moderate	moderate	moderate	moderate	moderate	moderate	limited	limited	moderate	moderate	1.0000	12	0.0000	extensive	limited	moderate
Pseudomonas syringae	extensive	extensive	moderate	moderate	moderate	moderate	limited	limited	limited	extensive	extensive	limited	moderate	moderate	0.9167	12	0.0000	extensive	limited	moderate
Bifidobacterium bifidum	extensive	limited	extensive	moderate	moderate	moderate	limited	moderate	extensive	moderate	limited	limited	moderate	moderate	0.8333	12	0.0000	extensive	limited	moderate
Clostridioides difficile	extensive	moderate	extensive	moderate	moderate	moderate	extensive	extensive	extensive	extensive	limited	extensive	moderate	moderate	1.4167	12	0.0000	extensive	limited	extensive
Moraxella catarrhalis	extensive	limited	extensive	extensive	moderate	moderate	limited	moderate	moderate	moderate	limited	NA	moderate	moderate	0.9091	11	0.0833	extensive	limited	moderate
Proteus vulgaris	extensive	extensive	extensive	extensive	moderate	moderate	moderate	moderate	limited	moderate	limited	limited	extensive	moderate	1.0833	12	0.0000	extensive	limited	moderate
Aeromonas hydrophila	extensive	extensive	extensive	extensive	moderate	extensive	extensive	moderate	moderate	moderate	limited	limited	extensive	moderate	1.3333	12	0.0000	extensive	limited	extensive
Yersinia enterocolitica	extensive	extensive	extensive	moderate	moderate	moderate	extensive	moderate	moderate	extensive	limited	limited	moderate	moderate	1.1667	12	0.0000	extensive	limited	moderate
Pasteurella multocida	extensive	moderate	extensive	extensive	moderate	moderate	extensive	moderate	limited	extensive	limited	limited	moderate	moderate	1.0833	12	0.0000	extensive	limited	moderate
Vibrio parahaemolyticus	extensive	extensive	extensive	extensive	moderate	extensive	moderate	moderate	limited	extensive	limited	limited	extensive	moderate	1.2500	12	0.0000	extensive	limited	extensive
Gardnerella vaginalis	extensive	moderate	extensive	moderate	moderate	extensive	limited	moderate	extensive	moderate	limited	limited	moderate	moderate	1.0000	12	0.0000	extensive	limited	moderate
Xanthomonas campestris	extensive	moderate	extensive	moderate	moderate	extensive	limited	moderate	limited	moderate	extensive	limited	moderate	moderate	1.0000	12	0.0000	extensive	limited	moderate
Bacillus amyloliquefaciens	extensive	moderate	extensive	extensive	moderate	extensive	limited	limited	moderate	limited	limited	moderate	extensive	moderate	1.0000	12	0.0000	extensive	limited	moderate
Shigella flexneri	extensive	moderate	extensive	extensive	moderate	moderate	moderate	extensive	limited	moderate	limited	limited	extensive	moderate	1.0833	12	0.0000	extensive	limited	moderate
Burkholderia cepacia	extensive	extensive	moderate	extensive	moderate	extensive	moderate	extensive	moderate	limited	limited	limited	moderate	moderate	1.0833	12	0.0000	extensive	limited	moderate
Corynebacterium diphtheriae	extensive	limited	extensive	extensive	moderate	moderate	limited	extensive	limited	moderate	limited	limited	moderate	moderate	0.8333	12	0.0000	extensive	limited	limited
Stenotrophomonas maltophilia	extensive	extensive	extensive	extensive	moderate	extensive	moderate	moderate	limited	moderate	limited	limited	moderate	moderate	1.0833	12	0.0000	extensive	limited	moderate
Klebsiella oxytoca	extensive	moderate	extensive	extensive	moderate	moderate	moderate	moderate	moderate	moderate	limited	limited	extensive	moderate	1.0833	12	0.0000	extensive	limited	moderate
Clostridium tetani	extensive	moderate	extensive	limited	moderate	limited	extensive	extensive	limited	moderate	limited	extensive	extensive	moderate	1.0833	12	0.0000	extensive	limited	extensive
Ralstonia solanacearum	extensive	extensive	moderate	moderate	moderate	extensive	limited	moderate	limited	extensive	extensive	limited	moderate	moderate	1.0833	12	0.0000	extensive	limited	moderate
Lactobacillus gasseri	extensive	moderate	moderate	moderate	moderate	moderate	limited	limited	extensive	moderate	limited	limited	moderate	moderate	0.7500	12	0.0000	extensive	limited	moderate
Bifidobacterium animalis	extensive	limited	moderate	moderate	moderate	moderate	limited	moderate	extensive	moderate	limited	limited	moderate	moderate	0.7500	12	0.0000	extensive	limited	moderate
Xylella fastidiosa	extensive	extensive	moderate	moderate	moderate	extensive	limited	extensive	limited	extensive	extensive	limited	moderate	moderate	1.1667	12	0.0000	extensive	limited	extensive
Micrococcus luteus	extensive	limited	extensive	extensive	moderate	moderate	limited	moderate	limited	limited	limited	limited	extensive	moderate	0.7500	12	0.0000	extensive	limited	limited
Corynebacterium glutamicum	extensive	limited	moderate	extensive	moderate	moderate	limited	limited	limited	limited	limited	limited	moderate	moderate	0.5000	12	0.0000	extensive	limited	limited
Shigella sonnei	extensive	moderate	extensive	moderate	moderate	moderate	moderate	moderate	moderate	moderate	limited	limited	extensive	moderate	1.0000	12	0.0000	extensive	limited	moderate
Streptococcus suis	extensive	limited	moderate	moderate	moderate	moderate	extensive	moderate	moderate	extensive	limited	limited	moderate	moderate	0.9167	12	0.0000	extensive	limited	moderate
Shigella dysenteriae	extensive	moderate	extensive	moderate	moderate	moderate	moderate	extensive	limited	moderate	limited	limited	extensive	moderate	1.0000	12	0.0000	extensive	limited	moderate
Burkholderia pseudomallei	extensive	extensive	moderate	extensive	extensive	extensive	extensive	extensive	limited	moderate	limited	limited	moderate	moderate	1.2500	12	0.0000	extensive	limited	extensive
Streptomyces coelicolor	extensive	moderate	moderate	extensive	moderate	moderate	limited	limited	limited	limited	limited	moderate	moderate	moderate	0.6667	12	0.0000	extensive	limited	moderate
Aggregatibacter actinomycetemcomitans	extensive	moderate	extensive	moderate	moderate	extensive	moderate	moderate	moderate	moderate	limited	limited	moderate	moderate	1.0000	12	0.0000	extensive	limited	moderate
Staphylococcus saprophyticus	extensive	limited	extensive	moderate	moderate	moderate	limited	moderate	limited	moderate	limited	limited	moderate	moderate	0.6667	12	0.0000	extensive	limited	moderate
Bordetella bronchiseptica	extensive	extensive	extensive	extensive	moderate	extensive	extensive	moderate	moderate	extensive	limited	limited	moderate	moderate	1.3333	12	0.0000	extensive	limited	extensive
Brucella melitensis	extensive	moderate	extensive	extensive	moderate	moderate	extensive	extensive	limited	extensive	limited	limited	moderate	moderate	1.1667	12	0.0000	extensive	limited	extensive
[Haemophilus] ducreyi	extensive	moderate	moderate	moderate	limited	moderate	limited	moderate	limited	moderate	NA	NA	moderate	moderate	0.7000	10	0.1667	moderate	limited	moderate
Deinococcus radiodurans	extensive	moderate	moderate	extensive	extensive	moderate	limited	extensive	limited	limited	limited	limited	extensive	moderate	0.9167	12	0.0000	extensive	limited	limited
Streptococcus mitis	extensive	limited	extensive	moderate	limited	moderate	limited	moderate	moderate	moderate	limited	limited	moderate	moderate	0.6667	12	0.0000	extensive	limited	moderate
Streptococcus salivarius	extensive	limited	extensive	moderate	limited	moderate	limited	limited	extensive	moderate	limited	limited	moderate	moderate	0.6667	12	0.0000	extensive	limited	limited
Vibrio harveyi	extensive	extensive	moderate	extensive	moderate	extensive	limited	limited	limited	moderate	limited	NA	moderate	moderate	0.9091	11	0.0833	extensive	limited	moderate
Xanthomonas oryzae	extensive	moderate	moderate	moderate	moderate	moderate	limited	moderate	limited	extensive	extensive	limited	moderate	moderate	0.9167	12	0.0000	extensive	limited	moderate
Erwinia amylovora	extensive	moderate	moderate	moderate	moderate	moderate	limited	moderate	limited	moderate	extensive	limited	moderate	moderate	0.8333	12	0.0000	extensive	limited	moderate
Azospirillum brasilense	extensive	extensive	moderate	extensive	moderate	moderate	limited	limited	limited	moderate	limited	limited	moderate	moderate	0.7500	12	0.0000	extensive	limited	moderate
Prevotella intermedia	extensive	moderate	moderate	moderate	moderate	moderate	moderate	moderate	moderate	moderate	limited	limited	moderate	moderate	0.8333	12	0.0000	moderate	limited	moderate
Leptospira interrogans	extensive	extensive	moderate	extensive	moderate	moderate	extensive	extensive	moderate	extensive	limited	NA	moderate	moderate	1.3636	11	0.0833	extensive	limited	extensive
Sinorhizobium meliloti	extensive	extensive	extensive	moderate	moderate	moderate	limited	moderate	limited	moderate	limited	limited	moderate	moderate	0.8333	12	0.0000	extensive	limited	moderate
Yersinia pseudotuberculosis	extensive	extensive	extensive	moderate	moderate	moderate	extensive	moderate	moderate	moderate	limited	limited	extensive	moderate	1.1667	12	0.0000	extensive	limited	moderate
Streptomyces griseus	extensive	moderate	moderate	extensive	moderate	moderate	limited	moderate	limited	limited	limited	moderate	moderate	moderate	0.7500	12	0.0000	extensive	limited	moderate
Bacteroides thetaiotaomicron	extensive	moderate	extensive	moderate	moderate	moderate	limited	moderate	extensive	moderate	limited	limited	moderate	moderate	0.9167	12	0.0000	extensive	limited	moderate
Faecalibacterium prausnitzii	extensive	limited	extensive	moderate	moderate	moderate	limited	limited	extensive	moderate	limited	limited	moderate	moderate	0.7500	12	0.0000	extensive	limited	limited
Thermotoga maritima	extensive	moderate	moderate	moderate	extensive	limited	limited	limited	limited	NA	limited	limited	moderate	moderate	0.5455	11	0.0833	extensive	limited	limited
Actinobacillus pleuropneumoniae	extensive	moderate	moderate	moderate	moderate	moderate	extensive	moderate	limited	extensive	limited	limited	moderate	moderate	0.9167	12	0.0000	extensive	limited	moderate
Cutibacterium acnes	extensive	moderate	extensive	moderate	moderate	moderate	limited	moderate	extensive	moderate	limited	limited	moderate	moderate	0.9167	12	0.0000	extensive	limited	moderate
Listeria innocua	extensive	moderate	extensive	moderate	moderate	moderate	limited	moderate	limited	moderate	limited	limited	moderate	moderate	0.7500	12	0.0000	extensive	limited	moderate
Campylobacter coli	extensive	extensive	moderate	extensive	moderate	moderate	moderate	moderate	moderate	moderate	limited	limited	moderate	moderate	1.0000	12	0.0000	extensive	limited	moderate
Staphylococcus haemolyticus	extensive	limited	moderate	moderate	moderate	moderate	limited	moderate	moderate	moderate	limited	limited	moderate	moderate	0.6667	12	0.0000	moderate	limited	moderate
Chromobacterium violaceum	extensive	extensive	extensive	extensive	moderate	moderate	moderate	moderate	limited	limited	limited	limited	moderate	moderate	0.9167	12	0.0000	extensive	limited	moderate
Eikenella corrodens	extensive	limited	extensive	moderate	limited	moderate	limited	moderate	moderate	moderate	limited	limited	moderate	moderate	0.6667	12	0.0000	extensive	limited	moderate
Bacillus velezensis	extensive	moderate	moderate	moderate	moderate	moderate	limited	limited	moderate	limited	limited	moderate	moderate	moderate	0.6667	12	0.0000	moderate	limited	moderate
Mannheimia haemolytica	extensive	moderate	extensive	extensive	moderate	moderate	extensive	moderate	limited	extensive	limited	limited	moderate	moderate	1.0833	12	0.0000	extensive	limited	moderate
Alcaligenes faecalis	extensive	moderate	moderate	moderate	moderate	moderate	limited	moderate	moderate	limited	limited	limited	moderate	moderate	0.6667	12	0.0000	moderate	limited	moderate
Vibrio anguillarum	extensive	moderate	moderate	moderate	moderate	moderate	extensive	limited	limited	moderate	limited	NA	moderate	moderate	0.8182	11	0.0833	extensive	limited	moderate
Pediococcus pentosaceus	extensive	limited	extensive	moderate	moderate	moderate	limited	limited	moderate	moderate	limited	limited	moderate	moderate	0.6667	12	0.0000	extensive	limited	moderate
Clostridium acetobutylicum	extensive	moderate	moderate	moderate	moderate	moderate	limited	moderate	limited	limited	limited	moderate	extensive	moderate	0.7500	12	0.0000	extensive	limited	moderate
Thermus aquaticus	extensive	moderate	moderate	extensive	extensive	limited	NA	limited	limited	limited	limited	limited	moderate	moderate	0.6364	11	0.0833	extensive	limited	limited
Treponema denticola	extensive	extensive	moderate	moderate	moderate	moderate	limited	limited	moderate	moderate	limited	limited	extensive	moderate	0.8333	12	0.0000	extensive	limited	moderate
Mycobacterium marinum	extensive	moderate	limited	moderate	moderate	moderate	extensive	moderate	limited	moderate	limited	limited	moderate	moderate	0.7500	12	0.0000	extensive	limited	moderate
Geobacillus stearothermophilus	extensive	moderate	extensive	extensive	extensive	moderate	limited	moderate	limited	limited	limited	extensive	extensive	moderate	1.0833	12	0.0000	extensive	limited	extensive
Tannerella forsythia	extensive	limited	moderate	moderate	moderate	moderate	limited	limited	moderate	moderate	limited	NA	moderate	moderate	0.6364	11	0.0833	moderate	limited	moderate
Burkholderia cenocepacia	extensive	extensive	moderate	moderate	moderate	extensive	moderate	moderate	moderate	moderate	limited	limited	moderate	moderate	1.0000	12	0.0000	extensive	limited	moderate
Lactobacillus crispatus	extensive	limited	extensive	moderate	moderate	moderate	limited	limited	extensive	moderate	limited	limited	moderate	moderate	0.7500	12	0.0000	extensive	limited	limited
Enterococcus hirae	extensive	limited	extensive	moderate	moderate	limited	moderate	limited	limited	moderate	limited	limited	moderate	moderate	0.5833	12	0.0000	extensive	limited	limited
Xanthomonas axonopodis	extensive	moderate	moderate	moderate	limited	moderate	limited	moderate	limited	moderate	extensive	limited	moderate	moderate	0.7500	12	0.0000	extensive	limited	moderate
Rhodopseudomonas palustris	extensive	extensive	moderate	extensive	moderate	moderate	limited	limited	limited	limited	limited	limited	moderate	moderate	0.6667	12	0.0000	extensive	limited	limited
Cronobacter sakazakii	extensive	moderate	extensive	extensive	moderate	extensive	moderate	moderate	limited	limited	limited	limited	moderate	moderate	0.9167	12	0.0000	extensive	limited	moderate
Myxococcus xanthus	extensive	extensive	moderate	moderate	moderate	extensive	limited	limited	limited	limited	limited	limited	extensive	moderate	0.7500	12	0.0000	extensive	limited	limited
Pantoea agglomerans	extensive	moderate	moderate	moderate	moderate	moderate	moderate	moderate	moderate	moderate	moderate	limited	moderate	moderate	0.9167	12	0.0000	moderate	limited	moderate
Rickettsia rickettsii	extensive	moderate	limited	moderate	moderate	limited	extensive	extensive	limited	extensive	limited	NA	moderate	moderate	0.9091	11	0.0833	extensive	limited	moderate
Acinetobacter lwoffii	extensive	moderate	moderate	moderate	moderate	moderate	limited	moderate	limited	limited	limited	limited	moderate	moderate	0.5833	12	0.0000	moderate	limited	moderate
Streptococcus equi	extensive	limited	extensive	moderate	moderate	moderate	extensive	moderate	limited	extensive	NA	limited	moderate	moderate	1.0000	11	0.0833	extensive	limited	moderate
Paenibacillus polymyxa	extensive	moderate	extensive	moderate	moderate	moderate	limited	moderate	moderate	limited	limited	moderate	moderate	moderate	0.8333	12	0.0000	extensive	limited	moderate
Streptomyces avermitilis	extensive	limited	moderate	moderate	moderate	moderate	limited	moderate	NA	limited	limited	limited	moderate	moderate	0.5455	11	0.0833	moderate	limited	moderate
Mycobacterium ulcerans	extensive	limited	limited	moderate	moderate	limited	limited	moderate	limited	moderate	limited	limited	moderate	limited	0.4167	12	0.0000	moderate	limited	limited
Fusobacterium necrophorum	extensive	moderate	extensive	moderate	moderate	moderate	extensive	moderate	moderate	moderate	limited	limited	moderate	moderate	1.0000	12	0.0000	extensive	limited	moderate
Lactobacillus johnsonii	extensive	moderate	moderate	moderate	moderate	moderate	limited	limited	extensive	moderate	limited	limited	moderate	moderate	0.7500	12	0.0000	extensive	limited	moderate
Bifidobacterium adolescentis	extensive	moderate	moderate	moderate	moderate	moderate	limited	moderate	extensive	moderate	limited	limited	moderate	moderate	0.8333	12	0.0000	extensive	limited	moderate
Staphylococcus hominis	extensive	limited	moderate	moderate	moderate	moderate	limited	moderate	moderate	moderate	limited	limited	moderate	moderate	0.6667	12	0.0000	moderate	limited	moderate
Providencia rettgeri	extensive	moderate	moderate	moderate	moderate	moderate	moderate	moderate	moderate	moderate	limited	limited	moderate	moderate	0.8333	12	0.0000	moderate	limited	moderate
Shewanella putrefaciens	extensive	extensive	moderate	extensive	moderate	moderate	limited	moderate	limited	limited	limited	limited	moderate	moderate	0.7500	12	0.0000	extensive	limited	moderate
Streptococcus gordonii	extensive	limited	extensive	moderate	moderate	moderate	limited	limited	moderate	moderate	limited	NA	moderate	moderate	0.7273	11	0.0833	extensive	limited	moderate
Burkholderia mallei	extensive	moderate	extensive	moderate	moderate	moderate	extensive	extensive	limited	extensive	limited	limited	moderate	moderate	1.0833	12	0.0000	extensive	limited	moderate
Streptomyces viridochromogenes	extensive	limited	moderate	moderate	limited	limited	limited	limited	limited	limited	limited	limited	moderate	limited	0.2500	12	0.0000	moderate	limited	limited
Streptococcus dysgalactiae	extensive	limited	extensive	moderate	moderate	moderate	extensive	moderate	limited	moderate	NA	limited	moderate	moderate	0.9091	11	0.0833	extensive	limited	moderate
Mycobacterium kansasii	extensive	limited	limited	extensive	moderate	moderate	moderate	moderate	limited	limited	NA	limited	moderate	moderate	0.6364	11	0.0833	extensive	limited	limited
Actinomyces naeslundii	extensive	moderate	moderate	moderate	moderate	moderate	moderate	moderate	moderate	moderate	NA	limited	moderate	moderate	0.9091	11	0.0833	moderate	limited	moderate
Streptomyces hygroscopicus	extensive	moderate	moderate	moderate	moderate	moderate	limited	limited	limited	limited	limited	limited	moderate	moderate	0.5000	12	0.0000	moderate	limited	moderate
Rhodococcus erythropolis	extensive	limited	moderate	moderate	moderate	limited	limited	limited	limited	limited	limited	limited	moderate	limited	0.3333	12	0.0000	moderate	limited	limited
Achromobacter xylosoxidans	extensive	moderate	moderate	extensive	moderate	moderate	moderate	moderate	limited	moderate	limited	limited	moderate	moderate	0.8333	12	0.0000	extensive	limited	moderate
Streptococcus uberis	extensive	limited	moderate	moderate	limited	moderate	moderate	limited	limited	moderate	NA	limited	moderate	moderate	0.5455	11	0.0833	moderate	limited	moderate
Citrobacter koseri	extensive	moderate	extensive	moderate	moderate	moderate	moderate	moderate	moderate	moderate	limited	limited	moderate	moderate	0.9167	12	0.0000	extensive	limited	moderate
Clostridium sporogenes	extensive	moderate	moderate	moderate	moderate	moderate	limited	moderate	moderate	limited	limited	moderate	moderate	moderate	0.7500	12	0.0000	moderate	limited	moderate
Actinomyces viscosus	extensive	moderate	moderate	moderate	moderate	moderate	moderate	moderate	moderate	moderate	limited	limited	moderate	moderate	0.8333	12	0.0000	moderate	limited	moderate
Shigella boydii	extensive	moderate	extensive	moderate	moderate	moderate	moderate	moderate	limited	moderate	limited	limited	extensive	moderate	0.9167	12	0.0000	extensive	limited	moderate
Providencia stuartii	extensive	moderate	extensive	moderate	moderate	moderate	moderate	moderate	limited	moderate	limited	limited	moderate	moderate	0.8333	12	0.0000	extensive	limited	moderate
Pectobacterium carotovorum	extensive	moderate	moderate	moderate	moderate	moderate	limited	moderate	limited	moderate	extensive	limited	moderate	moderate	0.8333	12	0.0000	extensive	limited	moderate
Erysipelothrix rhusiopathiae	extensive	moderate	extensive	extensive	moderate	moderate	extensive	moderate	limited	moderate	limited	limited	moderate	moderate	1.0000	12	0.0000	extensive	limited	moderate
Rickettsia prowazekii	extensive	moderate	moderate	moderate	moderate	limited	extensive	extensive	limited	extensive	limited	limited	moderate	moderate	0.9167	12	0.0000	extensive	limited	moderate
Desulfovibrio vulgaris	extensive	extensive	moderate	moderate	extensive	moderate	limited	moderate	limited	limited	limited	limited	extensive	moderate	0.8333	12	0.0000	extensive	limited	limited
Bordetella parapertussis	extensive	moderate	moderate	moderate	limited	moderate	moderate	moderate	limited	moderate	limited	limited	moderate	moderate	0.6667	12	0.0000	moderate	limited	moderate
Nocardia asteroides	extensive	moderate	moderate	moderate	moderate	moderate	moderate	moderate	limited	limited	limited	limited	moderate	moderate	0.6667	12	0.0000	moderate	limited	moderate
Halobacterium salinarum	extensive	extensive	limited	extensive	extensive	moderate	NA	moderate	NA	NA	NA	limited	moderate	moderate	1.1250	8	0.3333	extensive	limited	extensive
Aeromonas veronii	extensive	extensive	moderate	moderate	moderate	moderate	moderate	moderate	moderate	moderate	limited	limited	moderate	moderate	0.9167	12	0.0000	extensive	limited	moderate
Streptococcus iniae	extensive	moderate	moderate	moderate	moderate	moderate	moderate	limited	limited	moderate	limited	limited	moderate	moderate	0.6667	12	0.0000	moderate	limited	moderate
Pseudomonas chlororaphis	extensive	moderate	moderate	moderate	moderate	moderate	limited	limited	limited	limited	limited	limited	moderate	moderate	0.5000	12	0.0000	moderate	limited	moderate
Staphylococcus pseudintermedius	extensive	limited	moderate	moderate	moderate	moderate	extensive	moderate	moderate	moderate	limited	limited	moderate	moderate	0.8333	12	0.0000	extensive	limited	moderate
Prevotella nigrescens	extensive	moderate	moderate	moderate	limited	moderate	limited	limited	limited	moderate	limited	limited	moderate	moderate	0.5000	12	0.0000	moderate	limited	moderate
Desulfovibrio desulfuricans	extensive	extensive	moderate	moderate	moderate	moderate	limited	moderate	limited	limited	limited	limited	moderate	moderate	0.6667	12	0.0000	extensive	limited	moderate
Staphylococcus xylosus	extensive	limited	moderate	moderate	moderate	moderate	limited	moderate	moderate	moderate	limited	limited	moderate	moderate	0.6667	12	0.0000	moderate	limited	moderate
Haloferax volcanii	extensive	extensive	limited	moderate	extensive	moderate	NA	moderate	limited	limited	limited	limited	moderate	moderate	0.7273	11	0.0833	extensive	limited	limited
Lacticaseibacillus paracasei	extensive	limited	extensive	moderate	moderate	moderate	limited	moderate	extensive	moderate	limited	limited	moderate	moderate	0.8333	12	0.0000	extensive	limited	moderate
Propionibacterium freudenreichii	extensive	limited	moderate	moderate	moderate	moderate	limited	limited	extensive	limited	limited	limited	moderate	moderate	0.5833	12	0.0000	extensive	limited	limited
Mycobacterium intracellulare	extensive	limited	limited	moderate	moderate	moderate	moderate	moderate	limited	moderate	limited	limited	moderate	moderate	0.5833	12	0.0000	moderate	limited	moderate
Actinomyces oris	extensive	limited	moderate	moderate	limited	moderate	limited	moderate	moderate	moderate	limited	limited	moderate	moderate	0.5833	12	0.0000	moderate	limited	moderate
